ID,Model,Topic,Power_Distance,Register,Sensitivity,CAS,FTV,Bias,model_Relational_Alignment,model_Indirectness,model_Facesaving,model_Cultural_Appropriateness,model_Directness_Threat,model_Hierarchy_Violation,gold_Relational_Alignment,gold_Indirectness,gold_Facesaving,gold_Cultural_Appropriateness,gold_Directness_Threat,gold_Hierarchy_Violation
55,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
55,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
59,Qalb-1.0-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
59,Meta-Llama-3.1-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
59,Qwen2.5-7B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
63,Meta-Llama-3.1-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
63,Qalb-1.0-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
63,Qwen2.5-7B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
65,Qwen2.5-7B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
65,Qalb-1.0-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
65,Meta-Llama-3.1-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
71,Meta-Llama-3.1-8B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
71,Qalb-1.0-8B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
71,Qwen2.5-7B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
72,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
72,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
72,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
81,Qwen2.5-7B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
81,Meta-Llama-3.1-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
81,Qalb-1.0-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
82,Qwen2.5-7B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
82,Meta-Llama-3.1-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
82,Qalb-1.0-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
88,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
88,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
88,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
89,Meta-Llama-3.1-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
89,Qwen2.5-7B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
89,Qalb-1.0-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
92,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
92,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
92,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
95,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
95,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
95,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
100,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
100,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
100,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
103,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
103,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
103,Meta-Llama-3.1-8B-Instruct,,High,,,0.625,0.0,0.375,3.0,2.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
106,Qwen2.5-7B-Instruct,,High,,,0.9688,0.0,0.0312,4.0,4.0,4.0,4.0,0.0,0.0,3.5,4.0,4.0,4.0,0.0,0.0
106,Meta-Llama-3.1-8B-Instruct,,High,,,0.9688,0.0,0.0312,4.0,4.0,4.0,4.0,0.0,0.0,3.5,4.0,4.0,4.0,0.0,0.0
106,Qalb-1.0-8B-Instruct,,High,,,0.9688,0.0,0.0312,4.0,4.0,4.0,4.0,0.0,0.0,3.5,4.0,4.0,4.0,0.0,0.0
107,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
107,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
107,Qwen2.5-7B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
111,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
111,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
111,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
122,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.375,0.0,0.625,2.0,1.0,1.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
122,Qalb-1.0-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
122,Qwen2.5-7B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
124,Meta-Llama-3.1-8B-Instruct,,Low,,,0.875,0.0,0.125,4.0,3.0,4.0,4.0,0.0,0.0,3.5,3.5,3.5,3.5,0.0,0.0
124,Qalb-1.0-8B-Instruct,,Low,,,0.875,0.0,0.125,4.0,3.0,4.0,4.0,0.0,0.0,3.5,3.5,3.5,3.5,0.0,0.0
124,Qwen2.5-7B-Instruct,,Low,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3.5,3.5,3.5,3.5,0.0,0.0
129,Qalb-1.0-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
129,Qwen2.5-7B-Instruct,,Medium,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
129,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.875,0.0,0.125,4.0,3.0,3.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
131,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
131,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
131,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
135,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
135,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
135,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
136,Qwen2.5-7B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
136,Meta-Llama-3.1-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
136,Qalb-1.0-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
139,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
139,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
139,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
146,Qwen2.5-7B-Instruct,,Low,,,0.4375,0.0,0.5625,2.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
146,Qalb-1.0-8B-Instruct,,Low,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
146,Meta-Llama-3.1-8B-Instruct,,Low,,,0.6875,0.0,0.3125,3.0,2.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
150,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
150,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
150,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
152,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
152,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
152,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
154,Qalb-1.0-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
154,Qwen2.5-7B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
154,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
157,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
157,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
157,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
161,Qwen2.5-7B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
161,Meta-Llama-3.1-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
161,Qalb-1.0-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
162,Meta-Llama-3.1-8B-Instruct,,High,,,0.9062,0.0,0.0938,4.0,4.0,4.0,4.0,0.0,0.0,3.5,3.0,4.0,4.0,0.0,0.0
162,Qwen2.5-7B-Instruct,,High,,,0.9688,0.0,0.0312,4.0,3.0,4.0,4.0,0.0,0.0,3.5,3.0,4.0,4.0,0.0,0.0
162,Qalb-1.0-8B-Instruct,,High,,,0.2188,0.0,0.7812,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.0,4.0,4.0,0.0,0.0
167,Qwen2.5-7B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
167,Meta-Llama-3.1-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
167,Qalb-1.0-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
170,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
170,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
170,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
175,Qwen2.5-7B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
175,Qalb-1.0-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
175,Meta-Llama-3.1-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
188,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
188,Qwen2.5-7B-Instruct,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
