ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,"""جی، مزید کچھ نہیں، میں آپ کی خدمतوں کا شکریہ کرتا ہو",4,4,4,4,0,0,"""بہت شکریہ، آپ کی مہمان نوازی کافی ہے۔""",3,3,3,3,0,0,"""میزبان جان، آپ کی بہت مہربانی، مگر مجھے یہی یہی کافی تھا۔""",2,2,2,2,0,0,"""شکر ہوگا، آپ کی مہمان نوازی کا شکریہ۔ ابھی کچھ ضرورت نہیں",3,3,3,3,0,0
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,3,4,4,0,0,"""ارے یار، تمہیں کیا کہنا تھا، میں بس یہی کرتا رہا �",3,3,3,3,0,0,"""یار، آج تو نہیں جا سکوں گا، لیکن اگلی بار ضرور چلیں گے!""",3,3,3,3,0,0,"""جی، مراہم یار، میرے ساتھ جم چلےں۔""",2,2,2,2,0,0,"""یار، تم آ گئے، بس ابھی کچھ دیر میں نہیں جا سکتا، پھر آگ�",3,3,3,3,0,0
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی اماں، میں نے بہت کم کھایا ہے، بس ابھی کچھ مزید کھا لو",3,3,3,3,0,0,"""بہت شکریہ، آنٹی، مگر میں نے کافی کھا لیا ہے۔ آپ کی مہربانی ہے!""",2,2,2,2,0,0,"""جی دادی، مگر میں بہت کم کھایا ہے، تھوڑا سا اضافہ کر دی",2,2,2,2,0,0,"""جی، امی، ابھی کچھ کھا لوں گی، آپ کی مہربانی کا شکریہ۔""",4,4,4,4,0,0
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,"""جی، میزبان جان، بس ابھی چائے دوبارہ ڈالیں۔"" (میزبان)
""جی، بس ابھ",2,2,2,2,0,0,"""جی، بہت کوشش کرتے ہیں، چلے آئیے۔""",1,1,1,1,0,0,"""جی، اگر آپ کو تکلیف نہ ہو تو ایک کپ اور دے دیں، بہت مہربانی!""",1,1,1,1,0,0,"""جی، میں آپ کی طرف سے چائے پیش کرتا ہوں۔""",3,3,3,3,0,0
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""چچا جان، میں واپس گھر جا رہا ہوں، صبح آرام سے چلے جانا",3,3,3,3,0,0,"""چچا جان، آپ کی بہت مہربانی، مگر آپ زحمت نہ کریں۔ میں یہا�",3,3,3,3,0,0,"""چچا جان، آپ کی دعوت کا بہت شکریہ، مگر مجھے گھر جانا ہے۔ ان شاء اللہ جلد ہی دوبارہ آؤں گا۔""",4,4,4,4,0,0,"""جی چچاجان، آپ کی بہت مہربانی۔ لیکن مجھے واپس جانا ہے، یہ",2,2,2,2,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,"""بھائی، میں آئیں گیں، خوشی سے!""",2,2,2,2,0,0,"""جی، میں ضرور آؤں گا۔""",3,3,3,3,0,0,"""ضرور، یار! مجھے بہت خوشی ہوگی، بتاؤ کس وقت آنا ہے؟""",2,2,2,2,0,0,"""جی، یقیناً، میں ضرور آؤں گا۔ آپ کی دعوت کا شکریہ!""",2,2,2,2,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی، کل شام ہمیں آپ کے گھر کھانے پر حاضر ہونا ہے۔""",2,2,2,2,0,0,"""ضرور، آپ کی دعوت قبول ہے۔ کل شام آپ کے گھر آؤں گا۔""",3,3,3,3,0,0,"""جی، مرسلاً آں گا۔ میری جانب سے بھی خوشی ہوگی۔""",2,2,2,2,0,0,"""جی پڑوسی، کل شام ضرور آئیں گے، آپ کی دعوت کا شکریہ!""",2,2,2,2,0,0
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,"""چچا جان، میں اتوار کو آئے گا، آپ کی دعوت کو بہت شکریہ۔",3,3,3,3,0,0,"""جی چچا جان، اتوار کو ضرور آؤں گا۔""",3,3,3,3,0,0,"""جی چچا جان، آپ کی دعوت قبول کرنے کے لیے خوش ہوں گا۔""",3,3,3,3,0,0,"""چچا جان، آپ کی دعوت کا بہت شکریہ، مگر مجھے کچھ مصروفیات ہیں، اس لیے نہیں آ سکوں گا۔""",4,4,4,4,0,0
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,4,4,4,0,0,"""بہت اچھا خیال ہے! چلیں، لنچ کرتے ہیں۔""",2,2,2,2,0,0,"""جی، میں آج آئیں گا۔ اپنا نیکٹ بھی لیا گا۔""",3,3,3,3,0,0,"""جی یار، بس ابھی آؤں گا، کچھ دیر انتظار کر لیتا ہوں۔""",4,4,4,4,0,0,"""جی یار، آج لنچ کرنا بہت اچھا ہوگا، بس چلو، میں تیار ہو ج",3,3,3,3,0,0
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,"""ساسی، آپ کی دعوت بہت خوبصورت ہے، مگر میں مصروفیت کی وجہ سے نہی",4,4,4,4,0,0,"""جی، میں آ آئیں گا، بہت مبارک ہوں۔""",3,3,3,3,0,0,"""جی ساسی، آپ کی دعوت سے بہت خوش ہوا، لیکن مجھے ابھی ایک کام ہے،",3,3,3,3,0,1,"""جی ساس، آپ کی دعوت کا بہت شکریہ، مگر مجھے کچھ کام ہیں، اس لیے آج نہیں آ سکوں گا۔""",3,3,3,3,0,1
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی، میں آئیں گی۔ بہت مبارک ہوں۔""",3,3,3,3,0,0,"""ارے، یار، کل رات کے ڈنر کے لیے بہت شکریہ!"" (Answer in English)
""",2,2,2,2,0,0,"""یار، بہت شکریہ! کل رات میں آ جاؤں گا، تم لوگوں کے ساتھ کھانا کھانے کا مزہ آئے گا۔""",2,2,2,2,0,0,"""یار، کل رات ضرور آؤں گا، بس بتا دو کہ کتنے بجھے ہیں اور ک",2,2,2,2,0,0
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,4,4,0,0,"""بھتیجا جان، میں آئیں گے، شام کو آپ کے گھر میں چائے ا",3,3,3,1,0,0,"""جی پڑوسی جان، آپ کی دعوت کا شکریہ۔ ابھی کچھ کام ہیں، لیکن آج شام",3,3,3,3,0,0,"""جی، میں ضرور آؤں گا۔ بس آپ کو بتانا چاہتا تھا کہ میں مصروفیت کی وج",3,3,3,3,0,0,"""بہت شکریہ! میں کوشش کروں گا کہ ضرور آ سکوں۔""",3,3,3,3,0,0
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,4,4,4,4,0,0,"""جی، یار، بس ابھی کچھ دیر میں آؤں گا، پھر آگے ساتھ کھانا۔",2,2,2,2,0,0,"""بہت شکریہ! میں ضرور آؤں گا، تمہاری دعوت کا انتظار رہے گا۔""",2,2,2,2,0,0,"""جی یار، آج تو میں مصروف ہوں، لیکن آج رات ضرور آؤں گا، کھانا کھ",3,3,3,3,0,0,"""بہت مبارک ہو، آئیں گے۔ کھانا ساتھ کھاں گے۔""",3,3,3,3,0,0
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,4,3,4,4,0,0,"""جی استاد، آپ کی دعوت قبول ہے۔ بس کچھ وقت کا خیال رکھیں۔""",2,2,2,2,0,0,"""جی، سرباز جان، اگر وقت ہو تو میں آں گا۔""",3,3,3,3,0,0,"""جی سر، آپ کی دعوت سے بہت خوش ہوا، لیکن مجھے یہاں ایک ضروری کام �",3,3,3,3,0,0,"""سر، بہت مہربانی، مگر مجھے کچھ کام ہے، اس لیے آج نہیں آ سکوں گا۔""",4,4,4,4,0,0
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,4,4,4,0,0,"""جی ماموں، میں کوشش کروں گی کہ آپ کے گھر آ سکوں۔ آپ سب کی محبت کا بہت شکریہ۔""",3,3,3,3,0,0,"""جی ماموں، آپ کی دعوت قبول کرنے کے لیے خوش ہوں۔ ہفتے کو",4,4,4,4,0,0,"""ماموں جان، ہفتے کے دن آپ کے گھر آنے کے لیے بہت شکری�",2,2,2,2,0,0,"""مамوں جان، اہم ہے کہ میں آ آں گی، لیکن آج میں کچھ دیر",2,2,2,2,0,0
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,3,4,4,4,0,0,"""جی، بس ابھی کہیں گزر رہا ہوں، بس ابھی کہیں گزر ر�",2,2,2,2,0,0,"""یار، آج تو مجھے کچھ اور مصروفیت ہے، لیکن اگلی بار ضرور چلیں گے!""",2,2,2,2,0,0,"""حیرت میں گرم ہو گئی، بھائی، میں آگے بڑھ رہا ہوں۔",2,2,2,2,0,0,"""شکریہ یار، بس آج کے لیے ڈنر کرنے کی صلاحیت نہیں ہ�",3,3,3,3,0,0
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,3,4,4,0,0,"""پڑوسی جان، آپ کی دعوت قبول کروں گا، بس وقت کا مسئلہ ہے، میرے پاس ک",3,3,3,3,0,0,"""جی پڑوسی، آپ کی دعوت قبول کرنے کے لیے خوشی ہوئی، لیکن ابھی کچھ کام",3,3,3,3,0,0,"""بہت شکریہ! میں کوشش کروں گا کہ آ سکوں۔""",2,2,2,2,0,1,"""بھتیجا جان، میں آئیں گے، خوشی سے میں آپ کے ساتھ کھانا کھ",2,2,2,2,0,0
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,3,2,4,4,0,0,"""خالہ جان، بہت شکریہ، مگر مجھے معاف کریں، میں کل نہیں آ سکوں گی۔""",3,3,3,3,0,0,"""خالہ جان، کل کھانے پر ضرور آؤں گا۔""",3,3,3,3,0,1,"""جی خالہ، میں کل آئیں گی۔ میں آپ کی دعوت کا شکریہ کرتی",3,3,3,3,0,0,"""خالہ جان، کل ضرور آنا، آپ کی دعوت کا شکریہ۔""",4,4,4,4,0,0
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,3,4,4,0,0,"""یار، آج تو گھر پر ہی کھانا بن رہا ہے، لیکن کل چلیں گے۔""",2,2,2,2,0,0,"""جی یار، بس آج کھانا کھا کر آجاؤں گا، پھر باہر کھانا کھا کر آج",3,3,3,3,0,0,"""بہت مبارک ہو، آج کھانے کی بہت خوشی ہوگی۔""",2,2,2,2,0,0,"""جی، یار، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا",3,3,3,3,0,0
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,"""جی، آپ کی دعوت میں شکریہ، لیکن میں ایک کام کے وسط ہوں",3,3,3,3,0,0,"""بہت شکریہ، آپ کی مہربانی ہے، مگر مجھے کچھ کام ہیں، ان شاء اللہ اگلی بار ضرور آؤں گا۔""",3,3,3,3,0,0,"""جی بزرگ جان، آپ کی دعوت کا شکریہ۔ مگر آپ کی مرضی کے خلاف مجھے کسی کام کی وجہ س�",2,2,2,2,0,0,"""جی بزرگ، آپ کی دعوت قبول کروں گا، مگر میرے پاس اس وقت کسی اور کام کے لیے وقت نہ",3,3,3,3,0,0
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""بزرگ صاحب، آپ کی مہربانی کا شکریہ۔ آپ کی پیارے بچوں کی طرح ہیں",4,4,4,4,0,0,"""بزرگ جان، ممنون ہوں لیکن آج میں کچھ رقم نہیں ہے۔ آپ کی م",3,3,3,3,0,0,"""بہت شکریہ، لیکن میں یہ نہیں لے سکتا۔ آپ کی دعا اور محبت میرے لیے کافی ہیں۔""",3,3,3,3,0,0,"""بزرگ صاحب، آپ کی بہت مہربانی، مگر میں نے پہلے ہی اپنے",2,2,2,2,0,0
