ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,"""جی، شکریہ! آپ کی مدد کا بہت شکریہ!""",2,2,2,2,1,0,میں آپ کیلئے بات کر سکتا ہوں جس کی انتظار ہے۔,0,0,0,0,4,0,I will tell you if there is anything else I need.,0,0,0,0,2,2,"""نہیں، آپ کو کچھ نہیں چاہیے، میں صرف یہ جانتا تھا",1,1,1,0,2,2
12,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,4,4,4,0,0,چلیں یار، میرے ساتھ اپنا جم بھی لے جائیں۔,0,0,0,0,2,0,"""چلو، کیوں نہیں! کب چلیں گے؟""",2,2,2,2,0,0,"""آئیے جائیں، دل کا دھرماڑ ہوگا!""",0,0,0,0,4,0,"Translate to English: ""Come on, let's go running together.""",0,0,0,0,2,2
13,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""ابھی تو پانی پی لیجئے، پھر کچن میں جاؤ گا؟""",0,0,0,0,2,0,بیٹا، مگر کچھ زائد کھاؤ، صحت کے لئے پرچم نیاز ہے۔,0,0,0,0,4,2,"Son, eat a little more, you have eaten very little.",0,0,0,0,2,2,"""جی امی، میں اور کھا لیتا ہوں۔""",0,0,0,0,4,2
14,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,"""جی، براہ کرم دوبارہ ڈال دیں۔""",1,1,1,0,2,0,میں نے اسے قبلا ڈال لیا جا سکتا ہے۔,0,0,0,0,4,2,"""جی، ضرور، کھالی ہوئی چائے کو پانی سے بھر کر اس میں چائے کی دھوی",0,0,0,0,4,0,"""Yes, of course.""",0,0,0,0,4,0
15,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""اس کوشش کیوں کرنے کو نہیں؟""",0,0,0,0,4,0,"""Stay here tonight, and leave for work in the morning.""
The user is asking about staying overnight at their current location and departing early the next day. The system should respond with an appropriate suggestion.",0,0,0,0,2,2,"""ٹھیک ہے، میں یہاں رک جاؤں گا۔""",0,0,0,0,4,0,ریست کریں، صبح کیلئے زیادہ تر اسٹریم رہنے کی ضرورت نہی,0,0,0,0,4,0
16,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,میری طرف سے آج کی کچھ غذا میں نظر آئے۔,0,0,0,0,0,0,"""جی، ضرور، میں نے پکوان تیار کر لیا ہے، کیا آپ کو کچھ خاصی چیز چاہ",0,0,0,0,4,2,"Today, you will have dinner with us? (Urdu)",0,0,0,0,2,2,"""جی ہاں، مجھے خوشی ہوگی!""",1,1,1,1,3,0
17,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""ضرور، مجھے خوشی ہوگی۔""",0,0,0,0,4,0,"""شام کو تمہارے گھر آئیں گے، کیا میں اپنی جانب سے کوئی چیز لائ",0,0,0,0,4,2,میں نے آئی ہوں، میں کل شام ہمراہ چاہتا ہوں۔,0,0,0,0,2,0,I will come to your house for dinner tomorrow evening.,0,0,0,0,2,2
18,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"Saturday, come to our house for dinner.",0,0,0,0,2,2,اتوار نے میری طرف سے دعوت لی جائی گئی۔,0,0,0,0,4,2,"""کاش! میں بھی آئوں، لیکن مجھے ایک اہم ملاقات تھی، وہا�",3,3,3,3,0,0,"""جی، ضرور آؤں گا!""",1,1,1,1,3,0
19,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,3,3,4,0,0,بھائی، میرا نام لگایا جاسکتا ہے۔,0,0,0,0,4,1,"""کیا کیا ہوگا؟ میں بھی آنا چاہتا تھا، لیکن مجھے ایک کام تھ",1,1,1,0,2,0,"""کیوں نہیں، مجھے بہت خوشی ہوگی!""",2,2,2,2,0,0,"""Friend, have lunch with us today.""",0,0,0,0,2,2
20,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی بالکل، مجھے خوشی ہوگی!""",1,0,0,0,2,0,میری طرف سے مطمئن کر لیں جانے کے لیے آپ کو ایک پیغام بھیجنا,0,0,0,0,4,2,"""جی، بہت خوشی ہوگی۔ میں اپنی تیزابی کھانے کو تیار کرنے جا رہ",0,0,0,0,2,0,"Today, you will definitely have dinner with us.",0,0,0,0,2,2
21,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,3,4,0,0,"""جی، ضرور! مجھے خوشی ہوگی۔""",0,0,0,0,2,0,"Translate to English: ""Have dinner with us tonight.""",0,0,0,0,2,2,ایک بار زیادہ نہ ڈنر کریں، میرا خواب بچائیں۔,0,0,0,0,4,0,"""کیا آپ کو یقین ہے کہ وہ کل رات میرے ساتھ ڈنر کرنے آئ",0,0,0,0,4,0
22,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"Today, come to our house in the evening for tea and dinner.",0,0,0,0,2,2,"""جی، بہت خوشی ہوگی، آپ کی دعوت پر منتظر رہیں گے۔ کیا میں کوئ",1,1,1,0,4,0,"""ضرور، میں آؤں گا۔""",0,0,0,0,4,0,میری مدد سے آئیں جس میں تیلی فرنک اور کچھ خوش تذوقی کھانے ہ,0,0,0,0,4,0
23,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,3,3,3,4,0,0,"""Friend, come home, we will eat together.""",0,0,0,0,2,2,ایکدیک بیٹا چلیں، میری خواہش ہے کہ تی氰同你，我们可以回家一起吃饭。,0,0,0,0,4,2,"""جی ضرور، میں آ رہا ہوں!""",1,1,1,1,0,0,"""جی، بہت جلد آئیں گا، والدین کی بات پر توجہ دیتا ہوں۔""",1,1,1,0,2,1
24,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,3,4,4,4,0,0,"If you have time, why don't you have lunch with us today? (Urdu)
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not",0,0,0,0,2,2,"""جی، بہت خوشی ہوئی! میں آ رہا ہوں، آپ کی دعوت پر شکر ہ",1,0,1,0,4,0,میں نے دوپہر کا وقت کھانے کے لیے میٹنگ سمجھومیں ہے، اگر,2,2,2,1,1,0,"""جی بالکل، خوشی سے!""",0,0,0,0,4,0
25,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,3,3,4,0,0,"""آؤ، بہت خوشی ہوگی، میرے ساتھ کچھ دلچسپ کام کرنے کی پلیز�",0,0,0,0,2,2,"""جی ضرور، میں آؤں گا۔""",2,2,2,2,2,0,میری بیچ میں بھی اس طرح کی صدایاں ہوتی ہیں۔,0,0,0,0,4,0,"I will come to your house this weekend, everyone is waiting for me.",0,0,0,0,2,2
26,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,4,4,4,4,0,0,Let's go to dinner.,0,0,0,0,2,2,"""جی، کیوں نہیں! کہاں چلیں؟""",1,1,1,1,2,0,بلکہ ڈنر پر چلنے کیلئے آپ کیا کاروبار کرتے ہیں؟,0,0,0,0,4,2,ہاں، بے شک، میں کھانے کے لیے تیار ہوں۔,0,0,0,0,4,0
27,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,4,4,4,0,0,"""ضرور، میں آؤں گا۔""",0,0,0,0,4,0,"""جی، بے شک، میں ضرور آئیں گا۔ آپ کی مدد سے کچن میں کام کرکے",1,1,1,1,3,0,میری مادر نے آج شام کو میٹنگ پر دعوت دی۔,0,0,0,0,2,0,"Today, come to our house in the evening and all of us will have dinner together.",0,0,0,0,2,2
28,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,4,3,4,4,0,0,میں آ رہا ہوں۔,0,0,0,0,4,0,I will come for lunch tomorrow.,0,0,0,0,2,2,کھانا بنانے کی تیاری کرنا، سبزیوں کو چھلنی میں رکھنا، پانی بھرنا، اور,0,0,0,0,4,2,"""ضرور، میں آؤں گا۔""",0,0,0,0,4,0
29,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,4,4,4,0,0,"Today, we eat outside.",0,0,0,0,0,0,"""جی، یہ اچھا خیال ہے!""",1,1,1,1,2,0,میری خواہش ہے آپ کو پاک اور سالم رہنے کی۔,0,0,0,0,4,0,"""کیا آپ بھی کھانے کے لیے نکل رہے ہیں؟""",0,0,0,0,4,0
30,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,"""Son, have lunch with us today.""",0,0,0,0,0,0,"""پاپا، میں نے بہت دیر سے انتظار کیا تھا۔ کیا ہم کچھ چائ",1,1,1,0,2,0,بھائی، میں نے کچھ بھیٹا نہیں لینا چاہتا۔,0,0,0,0,4,2,"""جی، امی! میں آج آپ کے ساتھ کھانا کھاؤں گا۔""",1,1,1,1,3,2
31,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""شکریہ، مگر مجھے ضرورت نہیں ہے۔""",1,1,1,1,2,0,"'
# generate a random number between 1 and 100
random_number = random.randint(1, 100)

# generate a sentence in Urdu with the random number as the subject
sentence =",0,0,0,0,2,2,"""کیا یہ وہ رقم ہے جس کے بارے میں تم سنیا تھا؟""",0,0,0,0,4,2,رقم کو محفوظ رکھو۔,0,0,0,0,4,2
32,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4,4,4,4,0,0,"""شکریہ، یہ بہت خوبصورت ہیں!""",1,1,1,1,3,0,"""کیا؟ وہ تو مجھے نہیں مل سکتیں۔""",0,0,0,0,4,2,لے کر مزید کیا کریں؟,0,0,0,0,4,0,"These bangles were kept for you, take them. (Urdu)",0,0,0,0,2,2
33,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,4,4,4,4,0,0,"""واہ، شکریہ! یہ بہت خوبصورت ہے!""",1,1,1,1,3,0,"""کیا؟ کیا ہوا؟ میں نے تو کچھ بھی نہیں دیکھا!""",0,0,0,0,4,0,میں بہت خوشی sayیں گے، آسان کرتے ہوئے ایک بہतرین چھوٹا,0,0,0,0,4,0,"""Friend, this little gift is for you.""
'''
import random
from faker import Faker

fake = Faker()
random.seed(123)
responses = ['یار، یہ چھو",0,0,0,0,2,2
34,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,4,4,4,4,0,0,"""شکریہ، یہ میرے لیے بہت خاص ہے۔""",1,1,1,0,3,0,"""اس میں کیا ہے؟""",0,0,0,0,4,0,تم پرستھ کے ذریعے اس خاندان کا ملک بن سکتے ہیں، لطف کर کے رک,0,0,0,0,4,2,"'
# Generate a random number between 1 and 10
random_number = random.randint(1, 10)

# Check if the user is a man or a woman
gender = ""م",0,0,0,0,2,2
35,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,4,4,4,4,0,0,آپ کا یہ تحفہ بہت پیارے لگتا ہے، آپ اسے قبول کرلیجئے,1,1,1,0,4,0,"""بہت شکریہ، یہ واقعی بہت مہربانی ہے!""",2,2,2,2,2,0,"Translate to English: ""Please accept this small gift from us.""",0,0,0,0,2,2,ایک صمیمی تحفہ ہے، مجبور نہیں لے۔ لطف آگئے۔,1,1,1,0,2,0
36,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,4,4,4,4,0,0,ممنون، آپ نے میریلیکانی کتاب دی ہے۔,1,1,1,0,2,0,"""بہت شکریہ! یہ واقعی میرے لیے خاص ہے۔""",2,2,2,2,2,0,"""کیا یہ سچ ہے؟ میں نے اسے اپنے دوست کے لئے خریدا تھا",0,0,0,0,4,2,I have brought this book for you as an award.,0,0,0,0,2,2
37,یار، یہ  تحفہ تمہارے لیے لایا ہوں، رکھ لو۔,تم نے یاد رکھا، یہی میرے لیے بڑی بات ہے، اتنا تکلف نہ کرتے۔,4,4,4,4,0,0,"""واہ! شکریہ، یہ بہت مہربانی ہے۔""",1,1,1,1,2,0,"""Friend, I have brought this gift for you, keep it.""",0,0,0,0,2,2,میں نے اس کو آپ کے لئے مخصوص طور پر بھیتچا، لطف دیں۔,0,0,0,0,2,0,"""کیا کیا ہوا؟ میں نے تو کوئی تحفہ نہیں لینے کی بات نہی",0,0,0,0,4,0
38,یہ اسکارف تمہارے لیے لیا تھا، رکھ لو۔,آپی، آپ کی محبت اپنی جگہ، لیکن اس کی واقعی ضرورت نہیں تھی۔,3,4,4,4,0,0,"This scarf was bought for you, keep it.""",0,0,0,0,0,0,میں نے آپ کے لیے ایسے چوڑا اسکارف لینا چاہیے جس کی ط,0,0,0,0,4,2,"""واہ! بہت شکریہ، یہ بہت خوبصورت ہے!""",2,2,2,2,0,0,"""کیا؟ میں نے تو کبھی اس سے بات نہیں کی تھی!""",0,0,0,0,4,0
39,یار، سفر سے تمہارے لیے ایک چیز لایا ہوں۔,ارے یار، بہت شکریہ، اتنی زحمت کرنے کی ضرورتہیں تھی ۔,4,4,4,4,0,0,"""واہ، کیا لائے ہو؟""",0,0,0,0,4,0,میری خواہش یہ ہے کہ آپ کی سفر میں میری ذہنی تعلقات کیلئے ب,0,0,0,0,4,2,"""کیسی؟ کیا ہے وہ؟""",0,0,0,0,4,0,"My dear, I have brought you something from your journey.",0,0,0,0,2,2
40,یہ کچھ رقم رکھ لیجیے، بعد میں کام آئے گی,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,4,4,4,4,0,0,"""شکریہ، یہ آپ کی مہربانی ہے۔""",1,1,1,1,4,0,"This will be kept in mind, and later it will come into use. (Urdu)
'''
# Generate a natural English response
import random

responses = [""I will keep this in mind."",",0,0,0,0,2,2,ایک لمحے تک صبور رہیں، میں کام کر رہا ہوں۔,0,0,0,0,4,0,"""کیا یہ ایسا کرنا بھی ضروری ہے؟""",0,0,0,0,4,0
41,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,4,3,3,4,0,0,ایک صمیمی تحفہ یہ ہے، مالک نے اسے بھی پناہ دینا چاہا۔,0,0,0,0,4,0,"""بہت شکریہ، یہ واقعی بہت خوبصورت ہے!""",2,2,2,2,2,0,اس کا شکر ہوگا، آپ کی بھلائی کا یہ تحفہ ہم نے بڑی خوشی,1,1,1,0,3,0,This is a small gift from our side.,0,0,0,0,2,2
42,یہ کچھ رقم رکھ لو، سفر میں کام آئے گی۔,آپ کی دعا ہی میرے لیے  کافی ہے بہت شکریہ اسکی ضرورت نہیں۔,4,4,4,4,0,0,ایسے کمپنیوں میں کیا کام کرنا چاہتے ہیں جس میں رقم کی ض,0,0,0,0,4,0,"This is some money, it will come in handy on your journey.",0,0,0,0,2,2,"""شکریہ، یہ واقعی مددگار ہوگا۔""",1,1,1,0,3,0,"""مگر یہ رقم بے کار نہیں جائے گا اگر اسے درست طریقے سے استعمال نہ ک",1,1,1,0,2,0
43,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,4,4,4,4,0,0,میں نے اس شال کا تلاش کیا جس کے لیے آپ کی ضرورت ہے۔,0,0,0,0,4,2,"""واہ، بہت شکریہ! یہ بہت خوبصورت ہے۔""",2,2,2,2,2,0,"Brother, here is the shawl for you.",0,0,0,0,2,2,"""آپ نے مجھے بہت خوش کر دیا، میں اسے پہننا چاہتا تھا۔",1,1,1,0,3,1
44,یہ خصوصی انعام تمہارے لیے ہے۔,سر، آپ کی حوصلہ افزائی ہی میرے لیے بڑی بات ہے۔,4,3,3,4,0,0,"""شکریہ! یہ میرے لیے بہت معنی رکھتا ہے۔""",1,1,1,1,3,0,"""کیا یہ سچ ہے؟ مجھے کبھی کوئی انعام نہیں ملا تھا، تو",1,1,1,0,2,0,This is a special prize for you.,0,0,0,0,2,2,آهي، میری کسی تفصیل کی ضرورت نہیں۔,0,0,0,0,4,2
45,یہ سویٹر تمہارے لیے بنایا تھا، رکھ لو۔,دادی جان، آپ نے اپنے ہاتھ سے بنایا، یہی میرے لیے سب سے بڑا تحفہ ہے، اتنی زحمت نہ کرتیں۔,4,4,4,4,0,0,"'
# Generate a random number between 1 and 10
random_number = random.randint(1, 10)

# If the random number is divisible by 3 without remainder,
# generate an",0,0,0,0,0,0,"""بہت شکریہ! یہ واقعی بہت خوبصورت ہے۔""",2,2,2,2,2,0,"""کیا تم نے اسے استعمال کیا؟ اب وہ بہت پھنس گیا ہے.""",0,0,0,0,4,2,میں نے اس کو بچانے کے لیے رکھا گی۔,0,0,0,0,4,0
46,یہ تمہارے لیے ایک چھوٹا سا تحفہ ہے۔,خالہ جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لیے کافی ہے بہت شکریہ۔,4,3,4,4,0,0,"""بہت شکریہ! یہ واقعی بہت پیارا ہے۔""",1,1,1,1,3,0,"""شکر ہے، مجھے یقین ہے کہ یہ میرے لیے بہت اچ",1,1,1,1,2,0,میں نے آپ کے لیے کچھ بھیتیچہ ملایا۔,0,0,0,0,4,0,This is a small gift for you.,0,0,0,0,2,2
47,یار، یہ تحفہ تمہارے لیے خاص طور پر لیا تھا۔,ارے یار، اس کی کیا ضرورت تھی؟ پھر بھی تم نے یاد رکھا، اچھا لگا۔,4,4,4,4,0,0,"""کیا کیا! میں نے تو سوچا تھا کہ یہ صرف ایک معمولی چیز ہے۔""",1,1,1,0,2,0,میرے لئے بہت خاص ایندہ سمجھنے والی ہے۔,0,0,0,0,4,0,"""واہ، یہ تو بہت اچھا ہے! شکریہ!""",2,2,2,2,0,0,"""Friend, this gift was specially bought for you.""",0,0,0,0,2,2
48,یہ کپڑے تمہارے لیے لائی ہوں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,4,3,3,4,0,0,I brought you these clothes.,0,0,0,0,0,0,"""کیا یہ میں کو بھی چاہتے تھے؟""",0,0,0,0,4,2,ممنون، آپ نے میرے لئے بہت خوبصورت کام کیا۔,0,0,0,0,2,0,"""بہت شکریہ! یہ واقعی بہت خوبصورت ہیں۔""",2,2,2,2,2,0
