ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,"""جی، شکریہ! آپ کی مدد کا بہت شکریہ!""",,,,,,,میں آپ کیلئے بات کر سکتا ہوں جس کی انتظار ہے۔,,,,,,,I will tell you if there is anything else I need.,,,,,,,"""نہیں، آپ کو کچھ نہیں چاہیے، میں صرف یہ جانتا تھا",,,,,,
12,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,چلیں یار، میرے ساتھ اپنا جم بھی لے جائیں۔,,,,,,,"""چلو، کیوں نہیں! کب چلیں گے؟""",,,,,,,"""آئیے جائیں، دل کا دھرماڑ ہوگا!""",,,,,,,"Translate to English: ""Come on, let's go running together.""",,,,,,
13,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,"""ابھی تو پانی پی لیجئے، پھر کچن میں جاؤ گا؟""",,,,,,,بیٹا، مگر کچھ زائد کھاؤ، صحت کے لئے پرچم نیاز ہے۔,,,,,,,"Son, eat a little more, you have eaten very little.",,,,,,,"""جی امی، میں اور کھا لیتا ہوں۔""",,,,,,
14,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,"""جی، براہ کرم دوبارہ ڈال دیں۔""",,,,,,,میں نے اسے قبلا ڈال لیا جا سکتا ہے۔,,,,,,,"""جی، ضرور، کھالی ہوئی چائے کو پانی سے بھر کر اس میں چائے کی دھوی",,,,,,,"""Yes, of course.""",,,,,,
15,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""اس کوشش کیوں کرنے کو نہیں؟""",,,,,,,"""Stay here tonight, and leave for work in the morning.""
The user is asking about staying overnight at their current location and departing early the next day. The system should respond with an appropriate suggestion.",,,,,,,"""ٹھیک ہے، میں یہاں رک جاؤں گا۔""",,,,,,,ریست کریں، صبح کیلئے زیادہ تر اسٹریم رہنے کی ضرورت نہی,,,,,,
16,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,,,,,,,میری طرف سے آج کی کچھ غذا میں نظر آئے۔,,,,,,,"""جی، ضرور، میں نے پکوان تیار کر لیا ہے، کیا آپ کو کچھ خاصی چیز چاہ",,,,,,,"Today, you will have dinner with us? (Urdu)",,,,,,,"""جی ہاں، مجھے خوشی ہوگی!""",,,,,,
17,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"""ضرور، مجھے خوشی ہوگی۔""",,,,,,,"""شام کو تمہارے گھر آئیں گے، کیا میں اپنی جانب سے کوئی چیز لائ",,,,,,,میں نے آئی ہوں، میں کل شام ہمراہ چاہتا ہوں۔,,,,,,,I will come to your house for dinner tomorrow evening.,,,,,,
18,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"Saturday, come to our house for dinner.",,,,,,,اتوار نے میری طرف سے دعوت لی جائی گئی۔,,,,,,,"""کاش! میں بھی آئوں، لیکن مجھے ایک اہم ملاقات تھی، وہا�",,,,,,,"""جی، ضرور آؤں گا!""",,,,,,
19,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,,,,,,,بھائی، میرا نام لگایا جاسکتا ہے۔,,,,,,,"""کیا کیا ہوگا؟ میں بھی آنا چاہتا تھا، لیکن مجھے ایک کام تھ",,,,,,,"""کیوں نہیں، مجھے بہت خوشی ہوگی!""",,,,,,,"""Friend, have lunch with us today.""",,,,,,
20,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"""جی بالکل، مجھے خوشی ہوگی!""",,,,,,,میری طرف سے مطمئن کر لیں جانے کے لیے آپ کو ایک پیغام بھیجنا,,,,,,,"""جی، بہت خوشی ہوگی۔ میں اپنی تیزابی کھانے کو تیار کرنے جا رہ",,,,,,,"Today, you will definitely have dinner with us.",,,,,,
21,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,"""جی، ضرور! مجھے خوشی ہوگی۔""",,,,,,,"Translate to English: ""Have dinner with us tonight.""",,,,,,,ایک بار زیادہ نہ ڈنر کریں، میرا خواب بچائیں۔,,,,,,,"""کیا آپ کو یقین ہے کہ وہ کل رات میرے ساتھ ڈنر کرنے آئ",,,,,,
22,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,"Today, come to our house in the evening for tea and dinner.",,,,,,,"""جی، بہت خوشی ہوگی، آپ کی دعوت پر منتظر رہیں گے۔ کیا میں کوئ",,,,,,,"""ضرور، میں آؤں گا۔""",,,,,,,میری مدد سے آئیں جس میں تیلی فرنک اور کچھ خوش تذوقی کھانے ہ,,,,,,
23,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,,,,,,,"""Friend, come home, we will eat together.""",,,,,,,ایکدیک بیٹا چلیں، میری خواہش ہے کہ تی氰同你，我们可以回家一起吃饭。,,,,,,,"""جی ضرور، میں آ رہا ہوں!""",,,,,,,"""جی، بہت جلد آئیں گا، والدین کی بات پر توجہ دیتا ہوں۔""",,,,,,
24,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,,,,,,,"If you have time, why don't you have lunch with us today? (Urdu)
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not",,,,,,,"""جی، بہت خوشی ہوئی! میں آ رہا ہوں، آپ کی دعوت پر شکر ہ",,,,,,,میں نے دوپہر کا وقت کھانے کے لیے میٹنگ سمجھومیں ہے، اگر,,,,,,,"""جی بالکل، خوشی سے!""",,,,,,
25,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""آؤ، بہت خوشی ہوگی، میرے ساتھ کچھ دلچسپ کام کرنے کی پلیز�",,,,,,,"""جی ضرور، میں آؤں گا۔""",,,,,,,میری بیچ میں بھی اس طرح کی صدایاں ہوتی ہیں۔,,,,,,,"I will come to your house this weekend, everyone is waiting for me.",,,,,,
26,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,,,,,,,Let's go to dinner.,,,,,,,"""جی، کیوں نہیں! کہاں چلیں؟""",,,,,,,بلکہ ڈنر پر چلنے کیلئے آپ کیا کاروبار کرتے ہیں؟,,,,,,,ہاں، بے شک، میں کھانے کے لیے تیار ہوں۔,,,,,,
27,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,,,,,,,"""ضرور، میں آؤں گا۔""",,,,,,,"""جی، بے شک، میں ضرور آئیں گا۔ آپ کی مدد سے کچن میں کام کرکے",,,,,,,میری مادر نے آج شام کو میٹنگ پر دعوت دی۔,,,,,,,"Today, come to our house in the evening and all of us will have dinner together.",,,,,,
28,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,,,,,,,میں آ رہا ہوں۔,,,,,,,I will come for lunch tomorrow.,,,,,,,کھانا بنانے کی تیاری کرنا، سبزیوں کو چھلنی میں رکھنا، پانی بھرنا، اور,,,,,,,"""ضرور، میں آؤں گا۔""",,,,,,
29,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,,,,,,,"Today, we eat outside.",,,,,,,"""جی، یہ اچھا خیال ہے!""",,,,,,,میری خواہش ہے آپ کو پاک اور سالم رہنے کی۔,,,,,,,"""کیا آپ بھی کھانے کے لیے نکل رہے ہیں؟""",,,,,,
30,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,,,,,,,"""Son, have lunch with us today.""",,,,,,,"""پاپا، میں نے بہت دیر سے انتظار کیا تھا۔ کیا ہم کچھ چائ",,,,,,,بھائی، میں نے کچھ بھیٹا نہیں لینا چاہتا۔,,,,,,,"""جی، امی! میں آج آپ کے ساتھ کھانا کھاؤں گا۔""",,,,,,
31,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,,,,,,,"""شکریہ، مگر مجھے ضرورت نہیں ہے۔""",,,,,,,"'''
# generate a random number between 1 and 100
random_number = random.randint(1, 100)

# generate a sentence in Urdu with the random number as the subject
sentence =",,,,,,,"""کیا یہ وہ رقم ہے جس کے بارے میں تم سنیا تھا؟""",,,,,,,رقم کو محفوظ رکھو۔,,,,,,
32,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,,,,,,,"""شکریہ، یہ بہت خوبصورت ہیں!""",,,,,,,"""کیا؟ وہ تو مجھے نہیں مل سکتیں۔""",,,,,,,لے کر مزید کیا کریں؟,,,,,,,"These bangles were kept for you, take them. (Urdu)",,,,,,
33,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,,,,,,,"""واہ، شکریہ! یہ بہت خوبصورت ہے!""",,,,,,,"""کیا؟ کیا ہوا؟ میں نے تو کچھ بھی نہیں دیکھا!""",,,,,,,میں بہت خوشی sayیں گے، آسان کرتے ہوئے ایک بہतرین چھوٹا,,,,,,,"""Friend, this little gift is for you.""
'''
import random
from faker import Faker

fake = Faker()
random.seed(123)
responses = ['یار، یہ چھو",,,,,,
34,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,,,,,,,"""شکریہ، یہ میرے لیے بہت خاص ہے۔""",,,,,,,"""اس میں کیا ہے؟""",,,,,,,تم پرستھ کے ذریعے اس خاندان کا ملک بن سکتے ہیں، لطف کर کے رک,,,,,,,"'''
# Generate a random number between 1 and 10
random_number = random.randint(1, 10)

# Check if the user is a man or a woman
gender = ""م",,,,,,
35,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,,,,,,,آپ کا یہ تحفہ بہت پیارے لگتا ہے، آپ اسے قبول کرلیجئے,,,,,,,"""بہت شکریہ، یہ واقعی بہت مہربانی ہے!""",,,,,,,"Translate to English: ""Please accept this small gift from us.""",,,,,,,ایک صمیمی تحفہ ہے، مجبور نہیں لے۔ لطف آگئے۔,,,,,,
36,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,,,,,,,ممنون، آپ نے میریلیکانی کتاب دی ہے۔,,,,,,,"""بہت شکریہ! یہ واقعی میرے لیے خاص ہے۔""",,,,,,,"""کیا یہ سچ ہے؟ میں نے اسے اپنے دوست کے لئے خریدا تھا",,,,,,,I have brought this book for you as an award.,,,,,,
37,یار، یہ  تحفہ تمہارے لیے لایا ہوں، رکھ لو۔,تم نے یاد رکھا، یہی میرے لیے بڑی بات ہے، اتنا تکلف نہ کرتے۔,,,,,,,"""واہ! شکریہ، یہ بہت مہربانی ہے۔""",,,,,,,"""Friend, I have brought this gift for you, keep it.""",,,,,,,میں نے اس کو آپ کے لئے مخصوص طور پر بھیتچا، لطف دیں۔,,,,,,,"""کیا کیا ہوا؟ میں نے تو کوئی تحفہ نہیں لینے کی بات نہی",,,,,,
38,یہ اسکارف تمہارے لیے لیا تھا، رکھ لو۔,آپی، آپ کی محبت اپنی جگہ، لیکن اس کی واقعی ضرورت نہیں تھی۔,,,,,,,"This scarf was bought for you, keep it.""",,,,,,,میں نے آپ کے لیے ایسے چوڑا اسکارف لینا چاہیے جس کی ط,,,,,,,"""واہ! بہت شکریہ، یہ بہت خوبصورت ہے!""",,,,,,,"""کیا؟ میں نے تو کبھی اس سے بات نہیں کی تھی!""",,,,,,
39,یار، سفر سے تمہارے لیے ایک چیز لایا ہوں۔,ارے یار، بہت شکریہ، اتنی زحمت کرنے کی ضرورتہیں تھی ۔,,,,,,,"""واہ، کیا لائے ہو؟""",,,,,,,میری خواہش یہ ہے کہ آپ کی سفر میں میری ذہنی تعلقات کیلئے ب,,,,,,,"""کیسی؟ کیا ہے وہ؟""",,,,,,,"My dear, I have brought you something from your journey.",,,,,,
40,یہ کچھ رقم رکھ لیجیے، بعد میں کام آئے گی,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,,,,,,,"""شکریہ، یہ آپ کی مہربانی ہے۔""",,,,,,,"This will be kept in mind, and later it will come into use. (Urdu)
'''
# Generate a natural English response
import random

responses = [""I will keep this in mind."",",,,,,,,ایک لمحے تک صبور رہیں، میں کام کر رہا ہوں۔,,,,,,,"""کیا یہ ایسا کرنا بھی ضروری ہے؟""",,,,,,
41,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,,,,,,,ایک صمیمی تحفہ یہ ہے، مالک نے اسے بھی پناہ دینا چاہا۔,,,,,,,"""بہت شکریہ، یہ واقعی بہت خوبصورت ہے!""",,,,,,,اس کا شکر ہوگا، آپ کی بھلائی کا یہ تحفہ ہم نے بڑی خوشی,,,,,,,This is a small gift from our side.,,,,,,
42,یہ کچھ رقم رکھ لو، سفر میں کام آئے گی۔,آپ کی دعا ہی میرے لیے  کافی ہے بہت شکریہ اسکی ضرورت نہیں۔,,,,,,,ایسے کمپنیوں میں کیا کام کرنا چاہتے ہیں جس میں رقم کی ض,,,,,,,"This is some money, it will come in handy on your journey.",,,,,,,"""شکریہ، یہ واقعی مددگار ہوگا۔""",,,,,,,"""مگر یہ رقم بے کار نہیں جائے گا اگر اسے درست طریقے سے استعمال نہ ک",,,,,,
43,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,,,,,,,میں نے اس شال کا تلاش کیا جس کے لیے آپ کی ضرورت ہے۔,,,,,,,"""واہ، بہت شکریہ! یہ بہت خوبصورت ہے۔""",,,,,,,"Brother, here is the shawl for you.",,,,,,,"""آپ نے مجھے بہت خوش کر دیا، میں اسے پہننا چاہتا تھا۔",,,,,,
44,یہ خصوصی انعام تمہارے لیے ہے۔,سر، آپ کی حوصلہ افزائی ہی میرے لیے بڑی بات ہے۔,,,,,,,"""شکریہ! یہ میرے لیے بہت معنی رکھتا ہے۔""",,,,,,,"""کیا یہ سچ ہے؟ مجھے کبھی کوئی انعام نہیں ملا تھا، تو",,,,,,,This is a special prize for you.,,,,,,,آهي، میری کسی تفصیل کی ضرورت نہیں۔,,,,,,
45,یہ سویٹر تمہارے لیے بنایا تھا، رکھ لو۔,دادی جان، آپ نے اپنے ہاتھ سے بنایا، یہی میرے لیے سب سے بڑا تحفہ ہے، اتنی زحمت نہ کرتیں۔,,,,,,,"'''
# Generate a random number between 1 and 10
random_number = random.randint(1, 10)

# If the random number is divisible by 3 without remainder,
# generate an",,,,,,,"""بہت شکریہ! یہ واقعی بہت خوبصورت ہے۔""",,,,,,,"""کیا تم نے اسے استعمال کیا؟ اب وہ بہت پھنس گیا ہے.""",,,,,,,میں نے اس کو بچانے کے لیے رکھا گی۔,,,,,,
46,یہ تمہارے لیے ایک چھوٹا سا تحفہ ہے۔,خالہ جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لیے کافی ہے بہت شکریہ۔,,,,,,,"""بہت شکریہ! یہ واقعی بہت پیارا ہے۔""",,,,,,,"""شکر ہے، مجھے یقین ہے کہ یہ میرے لیے بہت اچ",,,,,,,میں نے آپ کے لیے کچھ بھیتیچہ ملایا۔,,,,,,,This is a small gift for you.,,,,,,
47,یار، یہ تحفہ تمہارے لیے خاص طور پر لیا تھا۔,ارے یار، اس کی کیا ضرورت تھی؟ پھر بھی تم نے یاد رکھا، اچھا لگا۔,,,,,,,"""کیا کیا! میں نے تو سوچا تھا کہ یہ صرف ایک معمولی چیز ہے۔""",,,,,,,میرے لئے بہت خاص ایندہ سمجھنے والی ہے۔,,,,,,,"""واہ، یہ تو بہت اچھا ہے! شکریہ!""",,,,,,,"""Friend, this gift was specially bought for you.""",,,,,,
48,یہ کپڑے تمہارے لیے لائی ہوں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,,,,,,,I brought you these clothes.,,,,,,,"""کیا یہ میں کو بھی چاہتے تھے؟""",,,,,,,ممنون، آپ نے میرے لئے بہت خوبصورت کام کیا۔,,,,,,,"""بہت شکریہ! یہ واقعی بہت خوبصورت ہیں۔""",,,,,,
49,یہ تمہارے لیے تحفہ ہے۔,ماموں جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,,,,,,,"""کیا یہ سچ ہے؟ میں نے تو کبھی کوئی تحفہ نہیں دیا",,,,,,,میں کسی سے بہر نہیں ممکن۔,,,,,,,"""شکریہ! یہ بہت مہربانی ہے۔""",,,,,,,This is a gift for you.,,,,,,
50,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کا آنا ہی کافی تھا، لیکن پھر بھی بہت شکریہ۔,,,,,,,یہ خوبصورت تھکانہ ہے، موندیں آپ نے لیں۔,,,,,,,"""بہت شکریہ، یہ واقعی بہت مہربانی ہے!""",,,,,,,آپ کا یہ تحفہ بہت پیارے لگتا ہے، ہم اسے قبول کرلی�,,,,,,,"Translate to English: ""Please accept this small gift from us.""",,,,,,
51,یہ کتاب رکھ لو۔,سر، یہ میرے لیے اعزاز ہے، بہت شکریہ۔,,,,,,,"""شکریہ، میں اسے رکھ لوں گا۔""",,,,,,,"'''
# Generate a natural English response
generate_response(""book"") # ""Please put this book away.""
'''",,,,,,,ایسے کریں جیسے ایک موبائل کتاب کو رکھنا۔,,,,,,,"""کیا یہ کافی ہے؟""",,,,,,
52,یہ تحفہ خاص تمہارے لیے لائی ہوں، رکھ لو۔,بہت شکریہ! تم نے اتنی محبت سے دیا ہے تو رکھ لیتی ہوں، ورنہ اس تکلف کی بالکل ضرورت نہیں تھی۔,,,,,,,"I have brought this gift especially for you, keep it.",,,,,,,"""بہت شکریہ! یہ واقعی بہت خاص ہے۔""",,,,,,,بس کہ لاءمگر، بہت متحیر ہوں۔,,,,,,,"""شکر ہے اللہ کا، مجھے نہیں پتہ تھا کہ آپ میرے لی",,,,,,
53,بیٹا، یہ میری طرف سے ایک چھوٹا سا تحفہ ہے، رکھ لو۔,چچا جان، آپ نے میرے لیے اتنا سوچا، یہ میرے لیے بہت معنی رکھتا ہے۔,,,,,,,"Son, this is a small gift from me, keep it.",,,,,,,"""شکریہ، ابو! یہ بہت مہربانی ہے آپ کی۔""",,,,,,,بس، بатьا آپ کی طرف سے چھوٹا سا تحفہ ہے، میں اسے رکھ لیا,,,,,,,"""ابوالحسن، آپ نے مجھے کیا دلوایا؟""",,,,,,
54,یہ تمہارے لیے خاص تحفہ ہے۔,یار، تم نے یاد رکھا، یہ میرے لیے واقعی خاص بات ہے۔,,,,,,,یہ آپ کے لئے بہت خاص اور محبوب ہے۔,,,,,,,"""تھوڑا سا اچھا، لیکن مجھے یہ نہیں چاہیے تھا�",,,,,,,This is a special gift for you.,,,,,,,"""شکریہ! یہ واقعی بہت خاص ہے۔""",,,,,,
