ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation,
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,"""شکریہ، آپ کی مہربانی ہے۔ فی الحال مجھے کچھ نہیں چاہیے۔""",4,4,4,4,0,0,"""جی، میں اپنے بہت سے بہت شکریہ کرتا ہوں، آپ کی مہربان",2,2,2,2,0,0,"""جی سر، بس اتنا ہی چاہیے ہے۔""",2,2,2,2,0,1,"""کیا ہوگی، کچھ ضرورت نہیں ہے۔ بس آپ کی رہنمائی ہی ک",1,1,1,1,0,0,
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,4,4,4,0,0,"""جی یار، میرے ساتھ جم چلیں۔""",3,3,3,3,0,0,"""ٹھیک ہے، چلتے ہیں! تھوڑی ورزش ہو جائے گی۔""",4,4,4,4,0,0,"""جی یار، آج کا دن ہمیں بھی گزاریں گے، تمہارے ساتھ چلتا",1,1,1,1,0,0,"""کیا ہو گا، بس ابھی کچھ کام مکمل کر لینا ہے۔""",2,2,2,2,0,0,
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی امی، بس ابھی کھا لوں گا، آپ کی تشویش کو دور کرنے کے لیے۔""",2,2,2,2,0,0,"""جی دادی، میں اپنا کھانے کا حصہ نہیں بتا رہا ہوں، آپ کی م",2,2,2,2,0,0,"""جی امی، بس ابھی کھا لوں گا۔""",1,1,1,1,0,1,"""امی، شکریہ! مگر میں واقعی بھر گیا ہوں، آپ فکر نہ کریں۔""",4,4,4,4,0,1,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,"""نہیں، شکریہ! مجھے کافی ہے۔""",3,3,3,3,0,0,"""جی، میں آج آئیں گے ڈال دوں۔""",1,1,1,1,0,0,"""جی، چائے ڈالیں، لیکن ابھی کافی ہوگیا ہے۔""",1,1,1,1,0,0,"""جی، میں نے چائے دوبارہ ڈالی ہے۔""",2,2,2,1,0,0,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,جی، امی، آپ کی بات بہت اچھی ہے۔ میں رات کو یہیں ہو�,2,2,2,2,0,1,"""جی، میں رات کو یہیں رک جاؤں گا، صبح آرام سے چلے جانا۔""",0,0,0,0,1,0,"""شکریہ، میں رک جاؤں گا۔ آپ کی مہربانی ہے!""",2,2,2,2,0,0,"""جی، میں رات یہیں رک جाऊں گی، صبح آرام سے چلے جانے کیل",1,1,1,1,1,1,
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,"""جی، آج رات بھی میں اپنے ساتھیوں کے ساتھ کھانے کے لیے آ",2,2,2,2,0,0,جی، یقیناً، میرا بھی کہنا ہے کہ آپ کو بھی ضرور آنا چاہی,3,3,3,3,0,0,"""جی، میں آپ کے ساتھ کھانا کھائوں گا۔""",1,1,1,1,0,0,"""جی، بہت خوشی سے! آپ کے ساتھ کھانا کھانے کا انتظار ہے۔""",2,2,2,2,0,0,
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""ضرور، میں آپ کے دعوت نامے کا منتظر ہوں۔""",2,2,2,2,0,0,"""جی، خوشی ہوگی، ضرور آئیں گے، آپ کی دعوت کو قبول کرتے ہوئے آپ",3,3,3,3,0,0,"""جی، آپ کی توجہ کافی ہے۔ آج کی کھانے کی تشریف میں آکرم",1,1,1,0,0,0,"""جی، میں کل شام تک کے لیے آزاد ہوں۔""",2,2,2,2,0,0,
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی، اتوار کو ضرور آؤں گا۔""",3,3,3,3,0,0,"""جی، آئیں گے۔ اتوار کیلئے میں آرہی ہوں۔""",1,1,1,1,0,1,"""جی، اتوار کو ضرور آنا ہوں گا۔ آپ کی دعوت سے خوش ہوں گا۔""",2,2,2,2,0,0,"""شکریہ! ان شاء اللہ، میں ضرور آؤں گا۔""",4,4,4,4,0,0,
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,3,3,4,0,0,"""جی یار، آج میں لنچ سے آغاز کر لیا گا۔""",2,2,2,2,0,0,"""جی، یار، آج لنچ ہمارے ساتھ ہی کر لوں گا، آپ کی دعوت کو قبول کرن�",3,3,3,3,0,0,"""ضرور، تمہاری دعوت کا شکریہ! میں آ جاؤں گا۔""",4,4,4,4,0,0,"""جی، یقیناً آئیں گے۔""",2,2,2,2,0,0,
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""شکریہ، میں آپ کی دعوت قبول کرتا ہوں، بہت خوشی ہوگی!""",3,3,3,2,0,0,"""جی، آپ کی مہربانی کافی ہے۔ مگر آج کھانے کی کوشش میں مل ک",2,2,2,2,0,0,جی، بہت مرضی ہے، آپ کی دعوت کو قبول کرنے کے لیے شکر ہے۔,2,2,2,2,0,0,"""جی سر، میں ضرور آؤں گا۔""",2,2,2,2,0,0,1
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,3,4,0,0,"""ضرور، میں خوشی سے آؤں گا۔""",3,3,3,3,0,0,"""جی سر، کل رات ہماری ملاقات ہوگی۔""",2,2,2,2,0,1,"""جی، میں کل رات ڈنر کر دیں گا۔ آپ کے جانب سے بہت محبت میں آ",2,2,2,2,0,0,"""جی، یقیناً آنا چاہیے، کل رات ہمیں ضرور ملنے آئیں گ�",2,2,2,2,0,0,
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی سر، ہماری بہت تعریف ہے کہ آپ نے ہمیں اس موقع پر مدعو کرن�",3,3,3,3,0,0,"""جی، امی، آپ کی دعوت کو قبول کرنے کے لیے بہت شکریہ۔ آج شام ضرور آ",2,2,2,2,0,1,"""بہت شکریہ! ان شاء اللہ میں ضرور آؤں گا۔""",3,3,3,3,0,0,"""جی، آج شام میں آئیں گے، آپ کی کرم کو شکریہ۔""",2,2,2,2,0,0,
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,3,3,3,4,0,0,"""جی، بس ابھی آؤں گے، کھانا ساتھ کھائیں گے۔""",2,2,2,1,0,0,"""جی یار، آئیں گے۔ کھانا ساتھ کھانے کی آمیزی کرتی ہوں۔",2,2,2,2,0,1,"""ضرور، میں جلدی آتا ہوں۔ تمہاری دعوت کا انتظار رہے گا!""",3,3,3,3,0,0,"""جی یار، ابھی آ رہا ہوں، کھانا کھانے کے لیے جلدی آؤں",3,3,3,3,0,0,
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,3,4,4,4,0,0,"""جی، میں آ جاؤں گا۔""",2,2,2,1,1,0,"""جی، آپ کی دعوت کو قبول کرنے کے لیے بہت شکریہ۔ اگر وقت ہو تو ضرور آ",2,2,2,2,0,0,"""جی، آپ کی مہربانی کافی ہے۔ اگر وقت ہو تو آج دوپہر کا کھانا",2,2,2,2,0,0,"""شکریہ، میں کوشش کروں گا کہ وقت نکال سکوں۔""",4,4,4,4,0,0,
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,3,3,4,0,0,"""جی، یقیناً آنا چاہیے، آپ کی محبت کا منتظر رہوں گے۔""",3,3,3,3,0,0,"""جی، ان شاء اللہ، میں ضرور آؤں گا۔ آپ سب سے ملنے کا انتظار ہے!""",3,3,3,3,0,0,"""جی، میں ضرور آں گا۔ آپ کے ذریعے میں اپनے گھر کی چ",2,2,2,2,0,0,"""جی سر، میں ضرور آؤں گا۔""",2,2,2,2,0,1,
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,4,4,4,4,0,0,"""جی، میں چلا جاؤں گا۔""",2,2,2,1,1,0,"""جی، کیوں نہیں! یہ تو بہت اچھا خیال ہے۔""",2,2,2,2,0,0,"""جی، آپ کی مہربانی کو میں نے ملاحظہ کیا تھا، ڈنر پر چلی",2,2,2,2,0,0,"""جی، چلو، لیکن پہلے میں اپنی کمرے سے کچھ ضروری اشیاء لے آؤ�",2,2,2,2,0,0,
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,4,4,4,0,0,"""بہت شکریہ! میں ان شاء اللہ ضرور آؤں گا۔""",2,2,2,2,0,0,"""جی، بہت اچھا خیال ہے۔ میں ضرور آؤں گا، آپ کی دعوت کو قبول کر",2,2,2,2,0,0,"""جی، آج شام ہمارے گھر آئیں، مل کر کھانا کھائیں گے۔ شکر",2,2,2,2,0,0,"""جی، میں شام کو آ جاؤں گا، بس آپ کو یاد رکھیں کہ میں مصروفیت کی وج�",2,2,2,1,0,0,
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,4,3,4,4,0,0,"""جی، کل کھانے پر آئیں گی۔ مہمان کی آمد کی وجہ سے آرمنی کیا",2,2,2,2,0,0,"""کل کو ضرور آؤں گا۔""",2,2,2,1,1,0,جی، کل ضرور آنا، مگر ابھی کچھ کام باقی ہیں، پھر آنا ہیں گا�,2,2,2,2,0,0,"""ضرور، آپ کی دعوت کا انتظار رہے گا!""",4,4,4,4,0,0,
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,4,4,4,0,0,"""ارے، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا ل",2,2,2,2,0,0,"""جی، یہ تو بہت اچھا خیال ہے! کہاں چلیں؟""",3,3,3,3,0,0,"""جی، آپ کی مہربانی کافی ہے۔ میں بھی آج کھانے کے لیے آئی",2,2,2,2,0,1,"""جی، کھانے کا انتظار ہی کرو، میں جلد آ جاؤں گا۔""",2,2,2,1,0,0,
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,"""جی امی، بس ابھی کھانا کھا کر آؤں گا۔""",2,2,2,2,0,1,"""جی امی، ابھی آئی، آپ کو کھانا کھلانے کی کوشش کروں گی۔""",1,1,1,0,0,1,"""جی دادی، آج کھانا آپ کے सاتھ کھانے کیلئے بہت م小时前端输出被中断，以下是完整的",2,2,2,2,0,1,"""شکریہ امی، مگر آج مجھے کچھ کام ہیں، ان شاء اللہ اگلی بار ضرور آؤں گا۔""",3,3,3,3,0,1,
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""شکریہ، مگر مجھے یہ رقم نہیں چاہیے۔""",2,2,2,2,0,0,"""جی سر، میں نے یہ رقم رکھ لی ہے۔""",0,0,0,0,1,1,"""کیا کروں، یہ تمہارے ہی ہیں، مجھے واپس کر دیجیے",2,2,2,0,0,1,"""جی، میں اس رقم کو چھوڑ دیتا ہوں۔""",1,1,1,0,0,0,
32,ساس,بہو,High,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4,4,4,4,0,0,"""واہ، بہت شکریہ! یہ واقعی بہت خوبصورت ہیں، مجھے پسند آئیں گی۔""",3,3,3,3,0,0,"""جی، بڑا شکریہ۔ میں ان کو لے کر جاؤں گا۔""",2,2,2,2,0,1,"""شکریہ، میں لے رہا ہوں۔ آپ کی مہربانی کافی ہے۔""",2,2,2,2,0,1,"""شکریہ یار، مگر مجھے نہیں چاہیے۔""",2,2,2,2,0,1,
33,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,4,4,4,4,0,0,"""واہ، تمہاری محبت کا بہت شکریہ! یہ میرے لیے بہت خاص ہے۔""",3,3,3,3,0,0,"""شکر ہوے، یار! تمہاری مہربانی کو قبول کرنے کے لیے مجھے ب",2,2,2,2,0,0,"""سر، آپ کی مہربانی کافی ہے۔ مگر میں بھی آپ کیلئے کچھ تحف",3,3,3,3,0,1,"""ارے، بس ابھی تمہاری طرف سے یہ تحفہ آیا، بس اتنا ہی کہہ سکا",1,1,1,1,0,0,
