ID,Power_Distance,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,Medium,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,"""بہت شکریہ! آپ کی مہمان نوازی بہت پسند آئی۔""",2,2,2,2,0,0,میں نے تمام وقت بہت سخت کارکردگی کی، آپ کی سرور کیا جاسکتا ہے؟,0,0,0,1,4,0,"""شکریہ، لیکن مجھے ابھی تک کچھ درکار نہیں ہے."" <<mehman>> [m",3,3,3,2,0,0,"""شکر ہے، آپ کی بہت احتیاج نہیں ہے۔ لیکن اگر آپ کی مرضی �",1,1,1,0,3,0
12,Low,دوست,دوست,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,4,4,4,0,0,چل یار، میرے ساتھ جم چل۔,0,0,0,0,4,0,"""کیوں نہیں! بہت اچھا آئیڈیا ہے، چلتے ہیں!""",4,4,4,4,0,0,"""جی، آج تو بہت اچھا دن ہے، میں ضرور تمہارے ساتھ جاؤں",2,2,2,2,1,0,"""جی ہاں، میں اس بارے میں سوچ رہا تھا."" (Answer)
'''
Answer: ""جی ہ",1,1,1,1,0,0
13,High,بزرگ خاتون,نوجوان,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی، جی، اماں جان، مجھے کچھ زیادہ کھلے ہوئے ہیں، شکر",1,1,1,0,1,0,میری بہت چستی ہے، لیکن میں نہیں کھائتا ہے۔,0,0,0,0,4,0,"""جی، میری ماں کی دعوت میں شریک ہونا میرا فرض ہے، اور مجھے یہ ب",1,1,1,0,3,1,"""جی امی، آپ کا بہت شکریہ، مگر میں نے اتنا ہی کافی سمجھا ہے۔""",1,2,2,1,0,0
14,Medium,میزبان,مہمان,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,"""جی، بہت مہربانی، ایک کپ اور دے دیں۔""",1,0,1,0,1,0,بس تھانیہ، بہت سباہ تھانیہ۔,0,0,0,0,4,0,"""جی، بھلائی ہو، مجھے بھی چائے پینے کی ضرورت ہے.""",1,1,1,0,2,0,"""شکر گزار ہوں، لیکن مجھے اب مزید نہیں چاہئے."" (Answer)
'''
Answer",3,3,3,3,0,0
15,High,چچا,بھتیجا,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""چچاجی، آپ کی محبت اور احترام سے خوشی ہو رہی ہے، لیکن مجھے",3,3,3,3,0,0,"""شکریہ چچا، میں اس پیشکش کو قبول کرتا ہوں۔""
'''
The speaker is playing the role of a nephew",0,0,0,0,4,0,"""چچا، آپ کی مہربانی ہے، میں ضرور رکوں گا۔""",3,3,3,1,1,0,میری نیک آواز سے بھی نہیں رک جاسکتا چچا سان兄弟，你父亲建议我今晚就留在,0,0,0,0,4,0
16,Medium,دوست,دوست,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,بلکہ، آج کل میں نہیں ہوں، لیکن غور کر لیں جب میں آں گ,0,1,1,1,1,0,"""جی، بہت خوشی ہوئی! میں آج رات ہی جانتا تھا کہ تم مجھے",1,1,1,0,0,0,"""جی ہاں، یہ بہت اچھا لگتا ہے!"" (Answer)
'''
Answer: جی ہا",1,1,1,0,2,0,"""ضرور! مجھے بہت خوشی ہوگی، کہاں ملیں گے؟""",2,2,2,2,1,0
17,Medium,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""بہت شکریہ! مجھے خوشی ہوگی، میں ضرور آؤں گا۔""",1,1,1,1,1,0,"""شکر ہوگا، بہت اچھا! میں آج رات ہی آ جاؤں گا.""",1,1,1,0,2,0,میری مادر کی طرف سے بھی دعوت ہوئی ہے، میں نے اس کی وجہ سے ک,0,0,0,0,3,2,"""تمہاری دعوت قبول ہے۔""
'''
### 2.0
'''
Answer: ""کل شام ہمارے گھر",1,1,1,0,2,2
18,High,چچا,بھتیجا,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی، میں اس دن آؤں گا.""

Answer: ""جی، میں اس دن آؤں گا."" (The bhatija responds to his",1,1,1,1,0,0,بھائی، صرف اتوار کو ہمیشہ خوشی سے کھانے کی دعوت ہے۔ میں آ,1,1,1,0,3,1,"""جی، چچاجی! میں ضرور آئوں گا۔ اللہ تعالیٰ تمہارا شکر ہوگ",2,2,2,1,0,0,"""جی چچا، میں ضرور آؤں گا۔ آپ کا بہت شکریہ!""",4,4,4,4,0,0
19,Low,دوست,دوست,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,3,3,4,0,0,یار، آج لنچ ہمارے ساتھ ہی کر لیں۔ میں بھی نشے کے لیے آئے,0,0,0,0,4,0,"""جی بے، کیا کھانا ہے؟ میں نے تو پانی پی لی تھی، اب کھانے کا",1,1,2,0,2,1,"""کیوں نہیں! بہت اچھا آئیڈیا ہے، کہاں چلیں؟""",3,3,3,2,0,0,"""جی ہاں، بہت اچھا خیال ہے! میں آپ کے ساتھ ہون�",2,2,2,1,1,0
20,High,ساس,داماد,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی بالکل، آپ کی دعوت قبول ہے۔ آپ کے ساتھ کھانا میرے لیے باعثِ عزت ہوگا۔""",2,2,2,1,1,0,میں بھی آئے گا، مامو سان।,0,0,0,0,3,2,"""جی، بہن جان، مجھے یقین ہے کہ آپ دونوں نے اس میں خاصی مشقت",1,1,1,0,1,1,"""جی ہاں، مجھے بہت خوشی ہوگی۔ میں آپ کے ساتھ کھانا ک",2,2,2,1,1,0
21,Low,کزن,کزن,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,3,4,0,0,"""کیوں نہیں! بہت اچھا رہے گا، مجھے بہت خوشی ہوگی۔""",2,2,2,2,0,0,"""کیوں نہیں؟ یہ بہت اچھا لگتا ہے."" [Answer] 
#### 2",1,1,1,1,1,0,میں آپ کے ساتھ ڈنر کرنا میں پسندتा ہوں، لیکن میں کافی,1,1,1,0,1,0,"""کیا؟ آج رات؟ میں نے ابھی کچھ کام نہیں مکمل کیے، لیکن بہت",2,2,2,1,1,0
22,Medium,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""شکر گزار ہوں، میں تمہاری دعوت قبول کرتا ہوں۔""
'''
Answer: ""ش",1,1,1,0,0,0,"""شکر ہوگا، بہت خوش ہوں! لیکن کیا مجھے کچھ کام کا تذکر�",1,1,1,1,1,0,"""بہت شکریہ! میں ضرور آؤں گا، آپ کے ساتھ وقت گزارنے کا انتظار رہے گا۔""",2,2,2,1,2,0,میری ملکیت کی طرف سے بہت س�کنٹ تھیں، لیکن آپ نے مجھے بھ,0,0,0,0,3,0
23,Low,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,3,3,3,4,0,0,"""جی ہاں، مجھے بہت پسند ہے!"" (Answer)
'''
Answer: جی ہاں، مج",1,1,1,0,1,1,یار، میری جانب سے بھی آؤ، کھانا ساتھ کھائیں گے۔,1,1,1,1,3,0,"""بہت زبردست! میں آتا ہوں، کیا خاص پکانے کا ارادہ ہے؟""",2,2,2,1,0,0,"""کیا کیا؟ میں نے تو سوچا تھا کہ تم یہاں ہو"".",1,1,1,0,3,0
24,Medium,استاد,طالب علم,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,3,4,4,4,0,0,"""جی، میں اس پر غور کروں گا.""

[Out] ""جی، میں اس پر غور کروں گا."" (Answer)",2,2,2,1,0,0,"""جی، بہت شکر ہوگا۔ میں ضرور آئیں گا۔ کیا کھانا بنایا ج",0,0,0,0,3,1,میں کسی مسئلے سے نہیں پرستہ ہوں، لیکن آج میں کچھ کام ہ,0,0,0,0,1,0,"""جی، استاد جی! یہ بہت اچھا ہوگا۔ میں ضرور آؤں گا۔""",1,1,1,1,2,0
25,High,ماموں,بھانجی,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,3,3,4,0,0,"""جی ماموں جان، میں بھی آئیں گی اور تمہارے ساتھ کچھ وقت گزارن�",1,1,1,1,1,1,"""جی ماموں، میں ضرور آؤں گی۔ آپ سب سے مل کر بہت خوشی ہوگی۔""",3,3,3,2,0,0,مамوں نے دعوت دی تو میری طرف سے کتنا شکریہ ہونا چاہئے۔ صبح ک,1,1,1,0,3,0,"""شکریہ، میں آپ کے پاس جاؤں گی اور سب سے پہلے آپ کی خدمت کرنا چا�",1,1,1,1,0,0
26,Low,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,4,4,4,4,0,0,"""جی ہاں، مجھے بھی یہی کہنا تھا!"" (Answer)
'''
Answer: جی ہا�",1,1,1,0,1,0,"""کیوں نہیں! بہت اچھا رہے گا، کہاں جا رہے ہیں؟""",1,1,1,1,0,0,حیرت میں ٹکرا رہا ہوں، لیکن میں بھی دعوت کرتا ہوں۔,0,0,0,0,3,0,"""کیا، میں نے اس ماہ کے لیے بہت زیادہ کام کیا ہے، ابھی تو",0,0,0,0,1,0
27,Medium,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,4,4,4,0,0,"""بہت شکریہ! مجھے خوشی ہوگی، میں ضرور آؤں گا۔""",2,2,2,2,1,0,"""جی بھائی، مجھے خوشی ہوئی، لیکن میں ابھی کام پر تھوڑا سا کام باقی",1,1,1,0,2,2,میری بہتری کے لئے بہت شکریya، آج شام ہمارے گھر مل کے کھانا,0,0,0,0,3,0,"""شکریہ، میں خوش آمدید ہوں!"" (فوری قبولیت)",1,1,1,0,2,0
28,High,خالہ,بھانجی,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,4,3,4,4,0,0,میں نے کل کھانے کی دعوت میں پاس ہونے کی تجویز کی، لیکن میر,1,1,1,0,3,0,"""تمام تر، خالہ!"" (Answer)
'''
Answer: ""تمام تر، خالہ!"" (Answer)",1,1,1,0,3,0,"""خالہ جان، مجھے خوشی ہوئی کہ آپ نے مجھے دعوت دی ہے۔ لی",2,2,2,2,0,0,"""جی خالہ، میں ضرور آؤں گی۔ آپ کا بہت شکریہ!""",4,4,4,4,0,0
29,Low,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,4,4,4,0,0,"""یقیناً، یہ ایک اچھا خیال ہے.""

Answer: ""یقیناً، یہ ایک اچھ",2,2,2,2,0,0,"""کیوں نہیں! یہ تو زبردست آئیڈیا ہے، کہاں چلیں؟""",3,3,3,3,0,0,ایک پلیس میں جائیں گے، میری طرف سے آئیں؟,1,1,1,1,1,0,"""کیا؟ جسٹ جوڑے میں ہو یا کہاں?""",0,0,0,0,1,0
30,High,بزرگ,نوجوان,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,"""شکریہ، میرے لئے یہ اعزاز قبول کرنا میری خوشی کا سبب بنے گا۔ می�",2,4,4,1,0,0,"""جی، والد صاحب! آپ کی محبت اور احترام کے لئے شکریہ، لیکن مجھے یقین ہ�",2,2,2,1,0,0,میری مادر نے مجھے کھانا نہیں دینے کا تبدیل کرنے کا خیال چنا ہے,0,0,0,0,3,2,"""جی بزرگوار، آپ کی دعوت قبول ہے۔ آپ کے ساتھ کھانا میرے لیے باعثِ عزت ہوگا۔""",3,3,3,2,0,0
31,High,بزرگ,نوجوان,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""بہت شکریہ، لیکن میں یہ رقم نہیں لے سکتا۔ آپ کی محبت اور دعا ہی میرے لیے کافی ہیں۔""",4,4,4,4,0,0,"""میں اسے کیسے سنبھالوں؟""
Answer: ""اسے اپنی محنت سے کمائیں اور اس",1,1,1,0,3,1,شکر ہوگا، بڑا صاحب! آپ کی مجھے یہ رقم قبول کرنا مشکل ہو گا لیکن می�,2,2,2,2,0,0,ممنون سادھے، لیکن میری ضرورत نہیں۔,0,0,0,0,1,0
32,High,ساس,بہو,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4,4,4,4,0,0,"""جی اماں، بہت شکریہ۔ آپ کی محبت کا بہت احساس ہے۔""",3,2,3,1,0,0,"""سعادت ہے، ساس جی، مجھے یقین نہیں ہوتا کہ ان چوڑ",1,1,1,1,1,0,میری بہن، میں نے اسے ملاحظہ کیا تھا، لیکن تم نے کیا کہا جس,0,0,0,0,3,1,"""سورج نکلتا دیکھنے کے لیے بھی شکریہ۔ مجھے یقین ہے",0,0,0,0,3,0
