ID,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,بس بس، ممنون جانتے ہیں۔,,,,,,,"""بہت شکریہ! آپ کی مہمان نوازی بہت خوبصورت رہی۔""",,,,,,,"""نہیں، شکریہ. یہ بہت اچھا تھا."" <<mehman>>'' [1] [2]",,,,,,,شکر ہے، آپ کی سونے والی خدمات بہت اچھی تھیں۔ مجھے کوئی خاص,,,,,,
12,دوست,دوست,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,"""کیا؟ جینے دے کیا ہوگا؟""",,,,,,,"""کیوں نہیں! بہت اچھا آئیڈیا ہے، کب چلیں؟""",,,,,,,چل یار، میرے ساتھ جم چل۔,,,,,,,"""جی ہاں، میں تمہاری پیش کش قبول کروں گا."" (اپنی طرف سے) 

Answer: ""جی",,,,,,
13,بزرگ خاتون,نوجوان,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,"""جی ہاں، میری ماں نے مجھے کچھ زیادہ کھلایا تھا، اب میں",,,,,,,"""جی امی، آپ کی بات مان کر اور لے لیتا ہوں، آپ کا کھانا تو بہت مزیدار ہے!""",,,,,,,بزرگ خاتون، میں اس کے لیے بہت زیادہ کھایا ہے۔ میں کچھ سے,,,,,,,"""جی، جی، ممی! مجھے تو کچھ کھانے کی ضرورت ہے لیکن مجھے پتہ ن",,,,,,
14,میزبان,مہمان,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,"""شکر گزار ہوں، لیکن مجھے اب مزید نہیں چاہئے."" (جیسے",,,,,,,جی، ضرور، شکر ہو۔,,,,,,,"""جی، براہ کرم۔ مزید چائے بہت خوشگوار ہوگی۔""",,,,,,,بلایا، بہت سباہ تھامسیں۔ آپ نے میری جانب سے بہت خوبصورت کردار ادا ک,,,,,,
15,چچا,بھتیجا,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,میری نوم میں کسی کے لیے نہیں، چچا بھائی، میری نوم گھر ت,,,,,,,"""جی ہاں چچا، میں اس تجویز کو قبول کروں گا اور صبح سویرے چلوں",,,,,,,"""چچا، آپ کی پیشکش کا شکریہ! لیکن مجھے گھر جانا ہے۔ اگلی بار ضرور رکوں گا۔""",,,,,,,چھوٹی سی بات نہیں ہے، چچا جان، میں کیا کروں؟ میرا ٹر,,,,,,
16,دوست,دوست,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,,,,,,,میری طرف سے بہرحال بہتر نہیں، لیکن کسی کی طرف سے بہرحال بہتر!,,,,,,,"""جی ہاں، مجھے بہت خوشی ہوگی!"" (Answer)
'''
Answer: جی ہاں، مج",,,,,,,"""بہت خوشی سے! مجھے تمہارے ساتھ کھانا کھانے کا انتظار ہے۔""",,,,,,,"""جی، بہت خوشی ہوئی! میں آج رات اور تمہارا کھانا کھائوں گا،",,,,,,
17,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"""تمہارا شکریہ، میں خوش آمدید ہوں گا!"" (پڑوسی)
'''
Answer: ""تمہارا شک",,,,,,,"""بہت شکریہ! میں ضرور آؤں گا۔""",,,,,,,میری بہی میں آئیں گی، خوشحالمں کل شام صرف تینہ کے ساتھ کھانا ک,,,,,,,"""شکر ہوگا، بہت خوشی ہوئی! میں کل آ جاؤں گا، اللہ تعالی",,,,,,
18,چچا,بھتیجا,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,میری بہتری کے لئے چچا جانتے ہیں، میں آ آتا ہوں۔,,,,,,,"""جی، میں اس دن تمہارے پاس جاؤں گا اور خوشی خوشی شرکت کروں گا۔""
'''
The",,,,,,,"""جی چچاجی، مجھے خوشی ہوئی کہ میں آوں گا، لیکن کیا میں کچ",,,,,,,"""جی چچا، میں ضرور آؤں گا! آپ کا کھانا ہمیشہ بہت مزیدار ہوتا ہے۔""",,,,,,
19,دوست,دوست,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,,,,,,,"""بالکل! بہت اچھا خیال ہے، کہاں چلیں گے؟""",,,,,,,میری طرف سے بہت شادی کرتا ہوں، نامیش!,,,,,,,"""جی ہاں، میں آج لنچ کے لئے تیار ہوں گا۔""
'''
### 2",,,,,,,"""کیا؟ میں نے تو سوچا تھا کہ آپ یہاں ہی ہو جائی",,,,,,
20,ساس,داماد,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"""جی ہاں، مجھے بہت خوشی ہوگی۔ میں آپ کے ساتھ کھانا ک",,,,,,,میری بہن، میں کہتا ہوں کہ صرف اس لئے نہیں لیکن تیری پلی,,,,,,,"""جی ساس جان، میں خوش ہوں کہ آپ نے مجھے دعوت دی ہے۔ لیکن ک",,,,,,,"""جی بالکل، مجھے بہت خوشی ہوگی۔ آپ کا کھانا ہمیشہ بہت لذیذ ہوتا ہے۔""",,,,,,
21,کزن,کزن,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,میں نے تائین کہا، میں آئے گی۔,,,,,,,"""کیوں نہیں؟ یہ بہت اچھا لگتا ہے."" (Answer)
'''
Answer: ""جی",,,,,,,"""ضرور! مجھے بہت خوشی ہوگی۔ کہاں ملیں گے؟""",,,,,,,"""کیا ہوگا، بھائی؟ مجھے خوش کرنے کے لیے تیار ہوں!""",,,,,,
22,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,میں آں گا، صبح تک منتظر ہوں۔,,,,,,,"""شکر ہوگا! میں ضرور آئیں گا، لیکن مجھے بتائیے کیا کھانا بنای",,,,,,,"""شکر گزار ہوں! میں آپ کے ساتھ کھانا کھانے کے لئے بہ",,,,,,,"""بہت شکریہ! مجھے آپ کے ساتھ آ کر خوشی ہوگی۔ کس وقت آؤں؟""",,,,,,
23,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,,,,,,,"""جی ہاں، مجھے بھی یہی کہنا تھا!"" (اپنی طرف سے) 

[دوس",,,,,,,"""بہت اچھا! میں ضرور آؤں گا، بتاؤ کب آؤں؟""",,,,,,,"""جی، بہت اچھا! میں آج ہی آتا ہوں، کیا کھانا ہے",,,,,,,میریلے تھکا ڈال رہے ہیں، لیکن میں نہیں جا सکتا۔,,,,,,
24,استاد,طالب علم,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,,,,,,,"""شکریہ، استاد صاحب! میں اس موقع پر خوش ہوں اور مجھے یقین ہے کہ ی",,,,,,,بلکہ میں کسی بھی وقت سے کام پر مشغول ہوں، لیکن اگر آپ کے ذہ,,,,,,,شکر ہوگا، بہت خوشی ہوئی کہ آپ نے مجھے دعوت دی ہے�,,,,,,,"""جی استاد، بہت شکریہ! مجھے خوشی ہوگی آپ کے ساتھ دوپہر کا کھانا کھانے کی۔""",,,,,,
25,ماموں,بھانجی,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""جی ماموں، میں ضرور آؤں گی! مجھے آپ سب سے ملنے کا انتظار ہے۔""",,,,,,,"""جی ماموں جانو، میں ضرور آئیں گی، لیکن پہلے مجھے اپنی ماں س",,,,,,,"""شکریہ ماما، میں ہفتے کو آئیں گی اور سب کے ساتھ وقت گزارنا پسند ک",,,,,,,"مамوں کیلئے کہنے گیا چیز ہے: ""مамوں، میری طرف سے بہ",,,,,,
26,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,,,,,,,"""جی، بہت اچھا لگتا ہے!"" (Answer)
'''
Answer: ""جی، بہت اچھا لگتا",,,,,,,"""کیوں نہیں! مجھے بہت خوشی ہوگی، کہاں چلیں گے؟""",,,,,,,"حیران ہوکر نظر لینے کے لیے: ""میں کسی وقت نہیں جانتا تھا کہ تو",,,,,,,"""کیا ہوگا، میں تو تیار ہوں! میرا بھی تھوڑا سا وقت �",,,,,,
27,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,,,,,,,"""شکریہ، میں خوش آمدید ہوں!"" (Answer)
'''
Answer: ""شکر ہے، مجھے ی�",,,,,,,"""شکر ہوگا! مجھے بہت خوشی ہوئی، میں ضرور آئیں گا، ک",,,,,,,"""بہت شکریہ! مجھے خوشی ہوگی، میں ضرور آؤں گا۔""",,,,,,,میری بہترین عرضہ ہے، لیکن میری طرف سے کسی وقت نہ چلتا ہے۔,,,,,,
28,خالہ,بھانجی,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""جی خالہ، میں ضرور آؤں گی! آپ نے کیا پکانے کا سوچا ہے؟""",,,,,,,"""ہو سکتا ہے، مجھے خوشی ہوگی!"" <<bhanji>>[1] [2]
'''
[1]",,,,,,,میری محبوب خالہ، میں آتا ہوں۔,,,,,,,"""کیا؟ کل کیا کھانا ہوگا؟""",,,,,,
29,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,,,,,,,"""کیوں نہیں! یہ تو زبردست آئیڈیا ہے۔ کہاں چلیں؟""",,,,,,,"""کیا؟ جسٹ بائیٹ کیا ہوگا؟""",,,,,,,میریلے آج باہر کھانا کھانے کی نیکی چاہتے ہیں، میں بھی,,,,,,,"""جی ہاں، یہ ایک اچھا خیال ہے."" (جواب)
'''
Answer: ""جی ہا�",,,,,,
30,بزرگ,نوجوان,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,,,,,,,میری مادر کی جانب سے مہربانی کرتی ہے، لیکن میں کچھ کام کر رہا ت,,,,,,,"""جی بزرگ، بہت شکریہ! مجھے آپ کے ساتھ کھانا کھانے میں خوشی ہوگی۔""",,,,,,,"""جی، بڑا بھائی جان، میں خوش ہوں کہ آپ مجھے اپنے ساتھ کھانا",,,,,,,"""شکریہ، بزرگ صاحب، میں آپ کے ساتھ کھانا کھانے کا شکر گزار ہوں�",,,,,,
31,بزرگ,نوجوان,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,مجھے آپ کی شفقت اور دعاؤں آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,,,,,,,شکر ہوگا، والد صاحب! میں اسے لے لیں گا، اللہ آپ کو صحت اور خوشی د�,,,,,,,ممنون، آپ کی خدمत میں۔,,,,,,,"""نہیں، آپ کی مہربانی ہے، لیکن مجھے اس کی ضرورت نہیں ہے۔""",,,,,,,"""شکریہ، میں اسے محفوظ طریقے سے رکھوں گا۔"" (Answer)]] 

## 2",,,,,,
32,ساس,بہو,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,,,,,,,"""سادگی سے قبول کرتے ہوئے، شکریہ.""

[Out] ""شکریہ."" [In]
'''
Answer: '",,,,,,,"""شکریہ امی، یہ تو بہت خوبصورت ہیں! آپ کی محبت کا بہت شکریہ۔""",,,,,,,"""ساسی جان، مجھے یقین نہیں ہوتا کہ انہیں مجھے دے دی",,,,,,,میری بہن، میں نے اسے دیکھنے کی کوشش کی جس کیلئے میں نے,,,,,,
33,دوست,دوست,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,,,,,,,"""یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔""
'''
Answer: ""ش",,,,,,,"""واہ، یہ تو بہت اچھا ہے! تم نے مجھے حیران کر دیا۔ شکریہ!""",,,,,,,میری بہت میزابنگی ہے، شاید تیرے ذہن میں کچھ بڑا تحفہ چ,,,,,,,"""کیا ہوا؟ مجھے کیا لاحق ہے؟""",,,,,,
34,ماموں,بھانجا,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,,,,,,,مамوں کی ڈالائی سے پلیٹ لیکر انگوٹھی کو رکھنے کے لیے ب,,,,,,,"""شکریہ ماموں، یہ میرے لیے بہت خاص ہے۔ میں اس کا خیال رکھوں گا۔""",,,,,,,"""جی ماموں، میں اسے محفوظ کر دوں گا اور اپنی اولاد تک پہنچایا کرو�",,,,,,,"""جی، میں اسے محفوظ طریقے سے رکھنے کے لئے اپنی بیوی کو دیتا",,,,,,
35,پڑوسی,پڑوسی,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,,,,,,,"""اس کے لئے شکریہ، یہ بہت اچھا ہے."" (پڑوسی)
'''
Answer:",,,,,,,"""شکر ہوگا، بھائی! یہ تو بہت احتراماً لائے ہوئے ہی",,,,,,,"""آپ کا بہت شکریہ! یہ واقعی بہت مہربانی ہے۔""",,,,,,,ممنون، بھائی۔ اس کی مزید تفصیلات نہیں ل仙境般的存在，你为何选择成为人类？,,,,,,
