ID,Topic,Power_Distance,Sensitivity,Register,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational _Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational _Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational _Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational _Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,Refusing Offers,Medium,Neutral,Formal,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,"""بہت شکریہ! آپ کی مہمان نوازی بہت خوبصورت رہی۔""",4,2,4,4,0,0,بس بس، ممنون جانتے ہیں۔,0,0,0,0,0,0,"""نہیں، شکریہ. یہ بہت اچھا تھا."" <<mehman>>'' [1] [2]",1,1,2,2,0,0,شکر ہے، آپ کی سونے والی خدمات بہت اچھی تھیں۔ مجھے کوئی خاص,0,0,0,0,0,0
12,Refusing Offers,Low,Neutral,Informal,دوست,دوست,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,4,4,4,0,0,چل یار، میرے ساتھ جم چل۔,0,0,0,0,0,0,"""کیوں نہیں! بہت اچھا آئیڈیا ہے، کب چلیں؟""",0,0,0,0,0,0,"""کیا؟ جینے دے کیا ہوگا؟""",0,0,0,0,2,0,"""جی ہاں، میں تمہاری پیش کش قبول کروں گا."" (اپنی طرف سے) 

Answer: ""جی",1,0,1,1,0,2
13,Refusing Offers,High,Positive,Formal,بزرگ خاتون,نوجوان,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی، جی، ممی! مجھے تو کچھ کھانے کی ضرورت ہے لیکن مجھے پتہ ن",1,0,1,1,0,2,بزرگ خاتون، میں اس کے لیے بہت زیادہ کھایا ہے۔ میں کچھ سے,0,0,0,0,0,1,"""جی ہاں، میری ماں نے مجھے کچھ زیادہ کھلایا تھا، اب میں",0,0,0,0,1,2,"""جی امی، آپ کی بات مان کر اور لے لیتا ہوں، آپ کا کھانا تو بہت مزیدار ہے!""",0,0,0,0,0,0
14,Refusing Offers,Medium,Positive,Formal,میزبان,مہمان,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,"""جی، براہ کرم۔ مزید چائے بہت خوشگوار ہوگی۔""",0,0,0,0,0,0,بلایا، بہت سباہ تھامسیں۔ آپ نے میری جانب سے بہت خوبصورت کردار ادا ک,0,0,0,0,0,0,جی، ضرور، شکر ہو۔,1,1,1,1,0,0,"""شکر گزار ہوں، لیکن مجھے اب مزید نہیں چاہئے."" (جیسے",3,3,3,3,0,0
15,Refusing Offers,High,Negative,Formal,چچا,بھتیجا,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,چھوٹی سی بات نہیں ہے، چچا جان، میں کیا کروں؟ میرا ٹر,0,0,0,0,1,0,"""جی ہاں چچا، میں اس تجویز کو قبول کروں گا اور صبح سویرے چلوں",1,1,1,1,3,0,"""چچا، آپ کی پیشکش کا شکریہ! لیکن مجھے گھر جانا ہے۔ اگلی بار ضرور رکوں گا۔""",3,1,2,2,3,0,میری نوم میں کسی کے لیے نہیں، چچا بھائی، میری نوم گھر ت,0,0,0,0,3,0
16,Invitation to a Meal,Medium,Neutral,Informal,دوست,دوست,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,میری طرف سے بہرحال بہتر نہیں، لیکن کسی کی طرف سے بہرحال بہتر!,0,0,0,0,3,0,"""جی، بہت خوشی ہوئی! میں آج رات اور تمہارا کھانا کھائوں گا،",1,1,2,1,1,3,"""جی ہاں، مجھے بہت خوشی ہوگی!"" (Answer)
'''
Answer: جی ہاں، مج",1,1,1,0,1,2,"""بہت خوشی سے! مجھے تمہارے ساتھ کھانا کھانے کا انتظار ہے۔""",3,2,2,2,0,0
17,Invitation to a Meal,Medium,Neutral,Formal,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""بہت شکریہ! میں ضرور آؤں گا۔""",2,1,1,2,3,3,"""شکر ہوگا، بہت خوشی ہوئی! میں کل آ جاؤں گا، اللہ تعالی",1,1,1,1,3,0,میری بہی میں آئیں گی، خوشحالمں کل شام صرف تینہ کے ساتھ کھانا ک,0,0,0,0,0,0,"""تمہارا شکریہ، میں خوش آمدید ہوں گا!"" (پڑوسی)
'''
Answer: ""تمہارا شک",1,1,1,0,1,2
18,Invitation to a Meal,High,Positive,Formal,چچا,بھتیجا,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی، میں اس دن تمہارے پاس جاؤں گا اور خوشی خوشی شرکت کروں گا۔""
'''
The",1,0,1,1,3,3,میری بہتری کے لئے چچا جانتے ہیں، میں آ آتا ہوں۔,0,0,0,0,0,1,"""جی چچاجی، مجھے خوشی ہوئی کہ میں آوں گا، لیکن کیا میں کچ",2,2,2,2,2,0,"""جی چچا، میں ضرور آؤں گا! آپ کا کھانا ہمیشہ بہت مزیدار ہوتا ہے۔""",3,1,1,2,3,0
19,Invitation to a Meal,Low,Neutral,Informal,دوست,دوست,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,3,3,4,0,0,میری طرف سے بہت شادی کرتا ہوں، نامیش!,0,0,0,0,0,0,"""کیا؟ میں نے تو سوچا تھا کہ آپ یہاں ہی ہو جائی",0,0,0,0,3,0,"""بالکل! بہت اچھا خیال ہے، کہاں چلیں گے؟""",2,1,1,2,3,0,"""جی ہاں، میں آج لنچ کے لئے تیار ہوں گا۔""
'''
### 2",2,1,1,1,3,0
20,Invitation to a Meal,High,Negative,Formal,ساس,داماد,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی بالکل، مجھے بہت خوشی ہوگی۔ آپ کا کھانا ہمیشہ بہت لذیذ ہوتا ہے۔""",2,2,3,3,3,0,میری بہن، میں کہتا ہوں کہ صرف اس لئے نہیں لیکن تیری پلی,0,0,0,0,3,3,"""جی ساس جان، میں خوش ہوں کہ آپ نے مجھے دعوت دی ہے۔ لیکن ک",2,2,2,2,1,0,"""جی ہاں، مجھے بہت خوشی ہوگی۔ میں آپ کے ساتھ کھانا ک",2,1,2,2,3,0
21,Invitation to a Meal,Low,Negative,Formal,کزن,کزن,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,3,4,0,0,"""ضرور! مجھے بہت خوشی ہوگی۔ کہاں ملیں گے؟""",3,1,1,2,2,0,"""کیوں نہیں؟ یہ بہت اچھا لگتا ہے."" (Answer)
'''
Answer: ""جی",1,0,0,0,1,0,میں نے تائین کہا، میں آئے گی۔,1,0,1,1,2,2,"""کیا ہوگا، بھائی؟ مجھے خوش کرنے کے لیے تیار ہوں!""",1,2,2,1,1,0
22,Invitation to a Meal,Medium,Neutral,Formal,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""شکر گزار ہوں! میں آپ کے ساتھ کھانا کھانے کے لئے بہ",1,2,2,1,1,0,"""شکر ہوگا! میں ضرور آئیں گا، لیکن مجھے بتائیے کیا کھانا بنای",0,2,2,0,1,0,"""بہت شکریہ! مجھے آپ کے ساتھ آ کر خوشی ہوگی۔ کس وقت آؤں؟""",1,3,2,1,2,0,میں آں گا، صبح تک منتظر ہوں۔,0,1,1,0,3,1
23,Invitation to a Meal,Low,Positive,Informal,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,3,3,3,4,0,0,"""جی ہاں، مجھے بھی یہی کہنا تھا!"" (اپنی طرف سے) 

[دوس",1,2,2,1,1,0,میریلے تھکا ڈال رہے ہیں، لیکن میں نہیں جا सکتا۔,0,0,0,0,1,3,"""بہت اچھا! میں ضرور آؤں گا، بتاؤ کب آؤں؟""",2,1,1,2,1,0,"""جی، بہت اچھا! میں آج ہی آتا ہوں، کیا کھانا ہے",0,0,0,0,2,0
24,Invitation to a Meal,Medium,Negative,Formal,استاد,طالب علم,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,3,4,4,4,0,0,"""شکریہ، استاد صاحب! میں اس موقع پر خوش ہوں اور مجھے یقین ہے کہ ی",1,1,1,1,1,0,شکر ہوگا، بہت خوشی ہوئی کہ آپ نے مجھے دعوت دی ہے�,1,2,2,1,2,0,بلکہ میں کسی بھی وقت سے کام پر مشغول ہوں، لیکن اگر آپ کے ذہ,0,0,0,0,3,2,"""جی استاد، بہت شکریہ! مجھے خوشی ہوگی آپ کے ساتھ دوپہر کا کھانا کھانے کی۔""",2,2,2,2,2,0
25,Invitation to a Meal,High,Positive,Formal,ماموں,بھانجی,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,3,3,4,0,0,"""جی ماموں جانو، میں ضرور آئیں گی، لیکن پہلے مجھے اپنی ماں س",2,1,1,1,1,2,"""جی ماموں، میں ضرور آؤں گی! مجھے آپ سب سے ملنے کا انتظار ہے۔""",2,2,2,2,1,0,"مамوں کیلئے کہنے گیا چیز ہے: ""مамوں، میری طرف سے بہ",0,0,0,0,2,2,"""شکریہ ماما، میں ہفتے کو آئیں گی اور سب کے ساتھ وقت گزارنا پسند ک",1,2,1,1,1,1
26,Invitation to a Meal,Low,Negative,Informal,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,4,4,4,4,0,0,"""جی، بہت اچھا لگتا ہے!"" (Answer)
'''
Answer: ""جی، بہت اچھا لگتا",1,2,1,0,0,1,"""کیوں نہیں! مجھے بہت خوشی ہوگی، کہاں چلیں گے؟""",1,1,1,1,2,0,"حیران ہوکر نظر لینے کے لیے: ""میں کسی وقت نہیں جانتا تھا کہ تو",0,0,0,0,2,2,"""کیا ہوگا، میں تو تیار ہوں! میرا بھی تھوڑا سا وقت �",0,0,0,0,2,1
27,Invitation to a Meal,Medium,Neutral,Formal,پڑوسی,پڑوسی,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,4,4,4,0,0,"""بہت شکریہ! مجھے خوشی ہوگی، میں ضرور آؤں گا۔""",1,1,1,2,2,2,"""شکر ہوگا! مجھے بہت خوشی ہوئی، میں ضرور آئیں گا، ک",1,1,1,2,2,2,میری بہترین عرضہ ہے، لیکن میری طرف سے کسی وقت نہ چلتا ہے۔,0,0,0,0,2,3,"""شکریہ، میں خوش آمدید ہوں!"" (Answer)
'''
Answer: ""شکر ہے، مجھے ی�",0,0,0,0,2,2
28,Invitation to a Meal,High,Positive,Formal,خالہ,بھانجی,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,4,3,4,4,0,0,میری محبوب خالہ، میں آتا ہوں۔,0,0,0,0,3,2,"""ہو سکتا ہے، مجھے خوشی ہوگی!"" <<bhanji>>[1] [2]
'''
[1]",0,0,0,0,2,2,"""کیا؟ کل کیا کھانا ہوگا؟""",0,0,0,0,2,3,"""جی خالہ، میں ضرور آؤں گی! آپ نے کیا پکانے کا سوچا ہے؟""",1,1,1,1,2,1
29,Invitation to a Meal,Low,Negative,Formal,دوست,دوست,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,4,4,4,0,0,"""جی ہاں، یہ ایک اچھا خیال ہے."" (جواب)
'''
Answer: ""جی ہا�",2,2,2,2,1,1,"""کیوں نہیں! یہ تو زبردست آئیڈیا ہے۔ کہاں چلیں؟""",2,2,2,2,1,1,میریلے آج باہر کھانا کھانے کی نیکی چاہتے ہیں، میں بھی,0,0,0,0,1,2,"""کیا؟ جسٹ بائیٹ کیا ہوگا؟""",0,0,0,0,2,2
30,Invitation to a Meal,High,Positive,Formal,بزرگ,نوجوان,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,"""شکریہ، بزرگ صاحب، میں آپ کے ساتھ کھانا کھانے کا شکر گزار ہوں�",2,2,2,2,0,0,"""جی، بڑا بھائی جان، میں خوش ہوں کہ آپ مجھے اپنے ساتھ کھانا",1,0,0,0,2,3,میری مادر کی جانب سے مہربانی کرتی ہے، لیکن میں کچھ کام کر رہا ت,0,0,0,0,2,3,"""جی بزرگ، بہت شکریہ! مجھے آپ کے ساتھ کھانا کھانے میں خوشی ہوگی۔""",2,2,2,2,0,0
