ID,Judge,A,B,C,D
36,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
37,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
38,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
39,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
40,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
41,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
42,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
43,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
44,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
45,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
46,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
47,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
48,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
49,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
50,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
51,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
52,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
53,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
54,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
55,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
56,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
57,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
58,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
59,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
60,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
61,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
62,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
63,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
64,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
65,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
66,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
67,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
68,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
69,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
70,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
71,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
72,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
73,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
74,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
75,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
76,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
77,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
78,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
79,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
80,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
81,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
82,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
83,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
84,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
85,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
86,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
87,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
88,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
89,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
90,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
91,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
92,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
93,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
94,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
95,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
96,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
97,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
98,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
99,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
100,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
101,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
102,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
103,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
104,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
105,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
106,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
107,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
108,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
109,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
110,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
111,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
112,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
113,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
114,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
115,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
116,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
117,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
118,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
119,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
120,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
121,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
122,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
123,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
124,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
125,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
126,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
127,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
128,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
129,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
130,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
131,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
132,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
133,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
134,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
135,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
136,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
137,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
138,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
139,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
140,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
141,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
142,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
143,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
144,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
145,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
146,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
147,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
148,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
149,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
150,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
151,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
152,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
153,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
154,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
155,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
156,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
157,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
158,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
159,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
160,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
161,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
162,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
163,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
164,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
165,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
166,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
167,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
168,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
169,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
170,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
171,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
172,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
173,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
174,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
175,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
176,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
177,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
178,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
179,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
180,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
181,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
182,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
183,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
184,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
185,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
186,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
187,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
188,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
189,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
190,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
191,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
192,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
193,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
194,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
195,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
196,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
197,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
198,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
199,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
