ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
11,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Polite closure,Neutral,اور کچھ چاہیے ہو تو بتائیے گا۔,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,جی، اگر ہی ٹھیک ہے۔ آپ کی بہت مہربانی، مگر اب تک می,سر، آپ کی مہربانی اپنی جگہ۔ آئندہ ضرورت پڑی تو ضرور آپ سے مدعوت۔,بہت شکریہ! آپ کی پیش کش قبول کرنے کی ضرورت نہیں، میں بس یہی حاضر ر�
12,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Friendly refusal,Neutral,چل یار، میرے ساتھ جم چل۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,بہت شکریہ یار، تمہاری بہت مہربانی۔,بہت مبارک ہو۔ آئندہ مزید ایسے موقع ملنے پر ضرور جم لوں گا۔,بہت شکریہ یار، تمہاری بہت مہربانی۔ میں ساتھ چلا جاؤں گ
13,Urdu,Refusing Offers,بزرگ خاتون,نوجوان,High,Formal,Respectful restraint,Positive,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,جی دادی، تمہاری بہت مہربانی، مگر میں اپنے کام کا وقت چاہتا ت,جی امی، اب پھر کھا لو۔ آج رات تمہاری فکر کرتی ہوں گی۔,بہت مبارک ہو امّی، اب واقعی کافی کھا چکا ہوں۔ آپ کی فکر کرنے کا
14,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Soft refusal,Positive,چائے دوبارہ ڈال دوں؟,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,بس، تمہاری بہت مہربانی، چلوں دوبارہ ڈال لوں گا۔,جی، پلیز ڈाल دیتے ہو۔,جی، معذرت چاہتی ہوں۔ ابھی میں نے زحمت کی تھی، ابھی دوبار
15,Urdu,Refusing Offers,چچا,بھتیجا,High,Formal,Deferential refusal,Negative,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,چچا جان، میں نے یاران کے سب کی ضرورت کی وجہ سے دل کا مبارک فک,بھائی، آپ کی مہربانی اپنی جگہ، مگر میں سنبھال لوں گا، آپ فکر نہ کری�,چچا جان، میں آپ کی بہت شکر گزار ہوں۔ آپ کی پیشکش قبول کرلیجیے، می�
16,Urdu,Invitation to a Meal,دوست,دوست,Medium,Informal,Courtesy + hesitation,Neutral,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,بس، میں ہی آؤں گا، آپ فکر نہ کریں!,بہت مبارک ہو۔ ان شاء اللہ میں آ گیا ہوں۔,بہت شکریہ یار، تمہاری بہت مہربانی۔ آئندہ موقع پر ضرور سنبھال لو
17,Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Polite acceptance,Neutral,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,آنے والے شام میں بہت نمٹ لوں گا، اپنی مہربانی کی جاری رکھیج,بہت شک، ان شاء اللہ آ سکوں گا۔,بہت شکریہ! میں آپ کی دعوت قبول کر لوں گا۔ آپ کی بہت مہربانی۔
18,Urdu,Invitation to a Meal,چچا,بھتیجا,High,Formal,Deferential acceptance,Positive,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,بہت شکریہ چچا! یار، تمہاری بہت مبارک ہو۔ میں یاری سے,بھائی، تم آ سکو، اتوار میں ہمارے گھر کھانے کا بندوبستalready ہو گی,چچا جان، آپ کی بہت مہربانی، میں ضرور آؤں گا۔ اسکول کی وجہ سے
19,Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly courtesy,Neutral,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,بہت شکریہ یار! تمہاری بہت مبارک حیاتیہ۔,بہت مبارک ہو۔ ان شاء اللہ میں آ سکوں گا۔,بہت شکریہ یار، میں ضرور تمہاری کمپنی میں ہوں گا۔ آپ کی ب�
20,Urdu,Invitation to a Meal,ساس,داماد,High,Formal,Respectful acceptance,Negative,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,بس، میں ہمیشہ معذرت چاہتے تھے، میں آج بھی کھانے کے ل,بہت مبارک ہو۔ ان شاء اللہ میں آ سکوں گا۔,سسر، آپ کی بہت مہربانی، مگر میں معاملہ یہی چھوڑ دوں گا۔
21,Urdu,Invitation to a Meal,کزن,کزن,Low,Formal,Polite acceptance,Negative,کل رات ہمارے ساتھ ڈنر کر لو۔,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,بہت مبارک ہو۔ آئے، میں بھی ڈنر کر لوں گا۔,بہت مبارک ہو۔ ان شاء اللہ میں آ سکوں گا۔,"بہت شکریہ یار، میں واقعی سنے گی۔ آپ کی بہت مہربانی۔
سر، آپ کی ب"
22,Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Courtesy,Neutral,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,بہت مبارک ہو! آئیے، چلو یار، ہمیشہ آپ کی ہی جگہ۔,بہت مبارک ہو۔ انشا اللہ آؤں گا۔,"بہت شکریہ یار، میں ضرور آؤں گا۔ آپ کی بہت مہربانی۔
سر،"
23,Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly,Positive,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,بہت شکریہ یار، تمہاری بہت مبارکہ اہمیت۔,بہت مبارک ہو۔ ان شاء اللہ آ گیا ہوں گا، اب آرام سے کھا لو,"بہت شکریہ یار، میں سنکر آؤں گا۔ آپ کی بہت مہربانی۔
سر،"
24,Urdu,Invitation to a Meal,استاد,طالب علم,Medium,Formal,Respectful Acceptance,Negative,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,بہت مبارک ہو۔ اگر میں پہلے لوٹ لوں تھوڑی دلوں تک۔,بہت شک، سر! آ جاؤں گا۔,سر، میں معذرت چاہتا ہوں، میں اس موقع پر نہیں آ سکوں گا�
25,Urdu,Invitation to a Meal,ماموں,بھانجی,High,Formal,Deference,Positive,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,جی ڈادی، میں بھول گئی تھی۔ ہمیشہ ہی آؤں گا، اپن,مامو جان، آپ کی بہت مہربانی۔ ان شاء اللہ ہفتے میں آؤں گی، آپکا,ماموں، آپ کی بہت مہربانی، میں ہفتے کے دن ضرور آؤں گا۔
26,Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly Refusal,Negative,ڈنر پر چلیں؟,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,جی، میں بس چلاوں گا۔,بہت مبارک ہو، میں آ گیا ہوں۔,"بہت شکریہ یار، میں ساتھ آؤں گا۔ آپ کی بہت مہربانی۔
سر"
27,Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Polite acknowledgment,Neutral,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,شکریہ یار! آج شام میں گھر جاؤں گا، سب مل کر کھانے کا,بہت مبارک ہو۔ ان شاء اللہ میں آؤں گا۔,بہت شکریہ یار، تمہاری بہت مہربانی۔ آئندہ کسی موقع پر ضرور آؤں
28,Urdu,Invitation to a Meal,خالہ,بھانجی,High,Formal,Respectful,Positive,کل کھانے پر آنا۔,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,بہت مبارک ہو! آئیے، ان شاء اللہ میں بہت زودی آؤں گا۔,بہت مبارک ہو۔ ان شاء اللہ میں آؤں گا۔,خالہ جان، آپ کی بہت مہربانی۔ میں definitely آؤں گا۔ آپ کی بہت مبارک
29,Urdu,Invitation to a Meal,دوست,دوست,Low,Formal,Friendly acceptance,Negative,آج باہر کھانا کھاتے ہیں۔,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,بہت خبزی! آئندہ کی جاری رہی۔,بہتر، پہلے آئندہ میں سنبھال لوں گا۔,بہت شکریہ یار، تمہاری تجویز سن کر بہت اچھا لگا۔ آج ہم مل
30,Urdu,Invitation to a Meal,بزرگ,نوجوان,High,Formal,Deferential,Positive,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,شکریہ بابا، تمہاری بہت مہربانی، میں بھی آج ابھی سنبھال لوں,بزرگ جان، آپ کی مہربانی اپنی جگہ ہے۔ آج میں آپ کی میزبانی معاملہ ک,سر، میں سن کر بہت شکر گزار ہوں۔ آپ کی بہت مہربانی، میں ضرور
31,Urdu,Declining Gifts,بزرگ,نوجوان,High,Formal,Indirect refusal,Neutral,یہ رقم رکھ لو۔,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,جی، آپ کی بہت مہربانی، آئندہ کا ہی ڈال لو۔,بہت شکریہ۔ آپ کی مہربانی اپنی جگہ۔,سر، آپ کی بہت مہربانی۔ میں سکریپ لیگا دوں گا، آپ فکر نہ کریں۔
32,Urdu,Declining Gifts,ساس,بہو,High,Formal,Respectful refusal,Positive,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,جی دادی، بس لوں جی، آپ کی تحفہ کی ضرورت نہیں، ان کو آپ فکر ن,ساسی جان، آپ کی رہنمائی میرے لیے بہت اہم ہے۔ آج سے می�,سسر، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ مجھ سے زیاد�
33,Urdu,Declining Gifts,دوست,دوست,Low,Formal,Polite refusal,Neutral,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,شکریہ یار! آپ کی بہت مہربانی۔,ارے یار، تمہاری بہت مہربانی۔,بہت شکریہ یار، اس کی بہت ضرورت تھی۔ تمہاری بہت مہربانی۔
34,Urdu,Declining Gifts,ماموں,بھانجا,High,Formal,Deferential refusal,Neutral,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,بہت شکریہ! یار، یہ اپنی ماموں کی تجربہ کی ضرورت پڑی،,سر، ماموں جان، میں رکھ لوں گا۔,ماموں، اس کی بہت مہربانی، میں سکرٹ میں رکھ لوں گا۔ ان شاء الل
35,Urdu,Declining Gifts,پڑوسی,پڑوسی,Medium,Formal,Face-saving refusal,Negative,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,شکریہ! آپ کی بہت مہربانی۔,بہت شکریہ۔,سر، اس سب کی ضرورت نہیں، بس آپ کی بہت مہربانی اپنی جگہ۔ آپ زحمت ن�
36,Urdu,Declining Gifts,استاد,طالب علم,Medium,Formal,Respectful decline,Positive,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب دینا چاہتے ہیں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,شکریہ سار! یہ اپنی مہربانی کی ضرورت نہیں، بلکہ اپنی تھ,بہت شکریہ سر! آپ کی رہنمائی میرے لیے بہت اہم ہے۔,سر، اس سب کی ضرورت نہیں، بس آپ کی رہنمائی ہی میرے لیے کافی ہے
37,Urdu,Declining Gifts,کزن,کزن,Low,Informal,Soft refusal,Neutral,یار، یہ  تحفہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ اپنے کزن سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,تم نے یاد رکھا، یہی میرے لیے بڑی بات ہے، اتنا تکلف نہ کرتے۔,شکریہ یار، یہ سب کرنے کا بہت شکریہ۔,بھائی، تمہاری بہت مہربانی۔,سر، اس کی ضرورت نہیں، آپ زحمت نہ کریں۔ آپ کی بہت مہربانی، شکری�
38,Urdu,Declining Gifts,بڑی بہن,چھوٹی بہن,Medium,Formal,Gentle refusal,Positive,یہ اسکارف تمہارے لیے لیا تھا، رکھ لو۔,آپ کی بڑی بہن آپ کو ایک اسکارف تحفے میں دینا چاہتی ہیں۔,آپی، آپ کی محبت اپنی جگہ، لیکن اس کی واقعی ضرورت نہیں تھی۔,بہت شکریہ! یہ سب کی ضرورت نہیں، ان کا میرے لیے دیجیے۔,بہن جان، تمہاری بہت مہربانی۔,بہو، آپ کی بہت مہربانی۔ اسکراف لے لو، میں سنبھال لوں گا۔
39,Urdu,Declining Gifts,دوست,دوست,Low,Informal,Polite refusal,Negative,یار، سفر سے تمہارے لیے ایک چیز لایا ہوں۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ سفر سے واپسی پر وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,ارے یار، بہت شکریہ، اتنی زحمت کرنے کی ضرورتہیں تھی ۔,بہت شکریہ! تمہاری بہت مہربانی۔,بھائی، تم آ گئے، میرے لیے یہی یہی کافی تھا۔,بہت شکریہ یار، اس کے لیے دل سے تمہارا بہت شکریہ۔ چلو، اب
40,Urdu,Declining Gifts,سسر,داماد,High,Formal,Respectful refusal,Negative,یہ کچھ رقم رکھ لیجیے، بعد میں کام آئے گی,آپ کے سسرملاقات کے اختتام پر آپ کو کچھ رقم دینا چاہتے ہیں۔,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,بہت شکریہ! آئے گی، تھوڑی دیر تک اٹھا لوں گا۔,بہتر، آپ رہیں، رکھ لوٹھی۔,"ارے یار، تم آ گئے، ابھی آؤ، دل جلا دیتا ہوں۔
بہت شکری"
41,Urdu,Declining Gifts,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Negative,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,شکریہ! آپ کی بہت مہربانی۔,بہت شکریہ۔,سر، اس سب کی ضرورت نہیں، بس آپ کی بہت مہربانی۔ آپ کی رہنمائی ہی م
42,Urdu,Declining Gifts,بزرگ,نوجوان,High,Formal,Deference,Negative,یہ کچھ رقم رکھ لو، سفر میں کام آئے گی۔,آپ کے سفر پررخصت ہوتے وقت ایک بزرگ آپ کو کچھ رقم دینا چاہتے ہیں۔,آپ کی دعا ہی میرے لیے  کافی ہے بہت شکریہ اسکی ضرورت نہیں۔,بہت شکریہ! تمہاری بہت مہربانی۔ آئندہ کوشش کروں گا کہ ان رقم ک,بہت شکریہ۔ آپ کی رہنمائی میرے لیے بہت اہم ہے۔,سر، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ مجھ سے زیادہ
43,Urdu,Declining Gifts,نند,بھابھی,Medium,Formal,Soft decline,Neutral,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,آپ کی نند آپ کو خاندانی ملاقات کے دوران ایک شال تحفے میں دینا چاہتی ہیں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,شکریہ บھائی! یار، آپ کی ضرورت نہیں، ان شاء اللہ میں یہ ب,جی بھابی، تمہاری بہت مہربانی۔ آج کل میں ضرور پہن لوں گی۔,بھابھی، اس سب کی ضرورت نہیں، بس آپ کی نند ہی میرے لیے کافی ہ�
