ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,"""ٹھیک ہے، شکریہ، میں کچھ نہیں چاہتا۔""",,,,,,,"""بہت شکریہ، آپ کی مہمان نوازی کا بہت لطف آیا۔""",,,,,,,"""شکریہ، لیکن ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں گ",,,,,,,"""شکر ہوگا، لیکن ابھی کچھ نہیں چاہیے، آپ کی بہت م�",,,,,,
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,"""آپ کو زحمت ہوگی، میں نے پہلے ہی اپنی گاڑی کے لی",,,,,,,"""یار، بہت شکریہ، لیکن آج میں تھوڑا مصروف ہوں۔""",,,,,,,"""ٹھیک ہے، میں آئے گا۔""",,,,,,,"""یار، بہت شکریہ، لیکن مجھے ابھی کچھ اور کرنا ہے، تو پھر بعد",,,,,,
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,"""بیٹا، بہت شکریہ، لیکن ابھی کافی کھا چکا ہوں۔""",,,,,,,"""بہت شکریہ، مگر میں نے کافی کھا لیا ہے، آپ فکر نہ کریں۔""",,,,,,,"""میں ٹھیک ہوں، لیکن تھوڑا سا اور کھاں گا۔""",,,,,,,"""بڑی بہن، آپ کی دعوت کا بہت شکریہ، مگر ابھی کافی کھایا ہ�",,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,"""مجھے بہت پسند ہے، لیکن ابھی صرف تھوڑا سا چائے کا پیال�",,,,,,,"""جی، بہت شکریہ۔""",,,,,,,"""نہیں، شکریہ، میں نے کافی پی لی ہے۔""",,,,,,,"""ٹھیک ہے، میں آپ کی طلبہ کر رہا ہوں۔""",,,,,,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""چچا جان، میں اپنا مکمل راستہ دیکھ رہا ہوں، صبح میں آرام سے",,,,,,,"""چچا جان، بہت شکریہ، لیکن میں نے پہلے ہی اپنے سفر کا",,,,,,,"""چچا جان، آپ کی دعوت کا بہت شکریہ، لیکن مجھے آج گھر جانا ہے۔""",,,,,,,"""جی چچا جان، آپ کی دعوت کا بہت شکریہ۔ لیکن میں ابھی چلو جاتا ہو",,,,,,
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,,,,,,,"""ٹھیک ہے، بیٹا، میں آ آऊں گا۔""",,,,,,,"""جی، بہت شکریہ، لیکن ابھی میری ایک اہم ملاقات ہے جسے میں",,,,,,,"""ضرور، مجھے خوشی ہوگی! کہاں ملیں گے؟""",,,,,,,"""جی، بہت خوشی ہوگی، لیکن ابھی کچھ کام باقی ہیں، مجھے شاید اگل",,,,,,
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"""آپ کی دعوت کا بہت شکریہ، لیکن کل شام میری ایک اہم ملاقات ہے جس",,,,,,,"""بہت شکریہ، میں ضرور آؤں گا۔""",,,,,,,"""ٹھیک ہے، بیٹا آؤ تشریف لائیں گا۔""",,,,,,,"""جی پڑوسی جان، آپ کی دعوت کا بہت شکریہ، لیکن ابھی میں کچھ کام کروانے",,,,,,
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"""ٹھیک ہے چچا جان، ان شاء اللہ اتوار کو آں گاں گا۔""",,,,,,,"""جی چچا جان، اتوار کو ضرور آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔""
'''
'''",,,,,,,"""جی چچا جان، ان شاء اللہ میں ضرور آؤں گا۔ آپ کی دعوت کا بہت شکریہ",,,,,,,"""جی چچا جان، ان شاء اللہ میں آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔""",,,,,,
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,,,,,,,"""شکریہ دوست، مگر مجھے کچھ اور کام ہیں، پھر کبھی مل کر لنچ کریں گے۔""",,,,,,,"""ٹھیک ہے یار، آج کل کے لیے میں آئیں گا۔""",,,,,,,"""جی، بہت شکری۔ لیکن آج میری ایک اہم ملاقات ہے جسے میں چھ",,,,,,,"""جی یار، آپ کی دعوت کا بہت شکریہ، لیکن میں ابھی ایک اہم کام کا انتظار کر",,,,,,
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"""ساسی جان، بہت شکریہ، لیکن آج میری ایک اہم ملاقات ہے جسے می�",,,,,,,"""ٹھیک ہے بیٹا، آج رات میں آپ کے ساتھ کھانا کھائے گا۔""",,,,,,,"""جی ساس جان، آپ کی دعوت کا بہت شکریہ۔ لیکن ابھی میں کچھ کام باقی ہی",,,,,,,"""بہت شکریہ ساس جی، لیکن آج مجھے کچھ اور مصروفیات ہیں۔""",,,,,,
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,"""ٹھیک ہے کزن جان، ابھی آتا ہوں۔""",,,,,,,"""کل رات کے ڈنر کا بہت شکریہ، مگر ابھی کچھ اور کام باقی ہ�",,,,,,,"""شکریہ کزن، مگر مجھے کل رات کچھ اور مصروفیات ہیں۔""",,,,,,,"""جی کزن، آپ کی دعوت کا بہت شکریہ، لیکن ابھی میرا کچھ کام باقی ہے،",,,,,,
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,"""ٹھیک ہے، شکریہ! آج شام ہمارے گھر ضرور آئیں گے۔""",,,,,,,"""شکر ہوگا، لیکن ابھی میرے پاس کچھ کام ہیں، پھر آؤں گا",,,,,,,"""پیارے پڑوسی، بہت شکریہ، لیکن آج شام میری ایک اہم ملاقات ہ�",,,,,,,"""بہت شکریہ، مجھے خوشی ہوگی، ان شاء اللہ شام کو آؤں گا۔""",,,,,,
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,,,,,,,"""جی، بہت شکری۔ لیکن آج میری ایک اہم ملاقات ہے جسے میں چھ",,,,,,,"""شکریہ یار، بہت جلدی میں ہوں، لیکن اگلی بار ضرور آؤں گا!""",,,,,,,"""جی، بہت شکریہ، لیکن ابھی میرا ایک اور کام ہے، میں جلد آجاؤ",,,,,,,"""ٹھیک ہے بیٹا، آؤں گا۔ کھانا ساتھ کھانا ہوگا۔""",,,,,,
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,,,,,,,"""استاد صاحب، بہت شکریہ، لیکن آج میری ایک اہم ملاقات ہے جسے می�",,,,,,,"""ٹھیک ہے، اگر وقت ہو تو آئےں گے۔ شکریہ!""",,,,,,,"""جی سر، آپ کی دعوت کا بہت شکریہ، لیکن ابھی میرا ایک اہم کام ہے ج",,,,,,,"""سر، بہت شکریہ، مگر مجھے کچھ کام ہے جس کی وجہ سے میں نہیں آ سکوں گا۔""",,,,,,
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""جی ماموں، ان شاء اللہ میں آؤں گی۔ آپ کی دعوت کا شکریہ!""",,,,,,,"""جی ماموں جان، آپ کی دعوت کا بہت شکریہ۔ میں ضرور آؤں گا، اور اگر",,,,,,,"""ماموں جان، بہت شکریہ، لیکن اس ہفتے مجھے کچھ اور کرنا پڑ�",,,,,,,"""ٹھیک ہے ماموں، حضور میں آتا ہوں۔""",,,,,,
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,,,,,,,"""جی، ڈنر پر چلو!""",,,,,,,"""ضرور، یہ تو بہت اچھا آئیڈیا ہے! کب چلنا ہے؟""",,,,,,,"""ٹھیک ہے، میں آئے گا۔""",,,,,,,"""جی، وہاں ضرور چلوں گا، لیکن پہلے میں اپنی گاڑی کو پارک کر",,,,,,
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,,,,,,,"""شکر گزاری کے ساتھ قبول کرتے ہیں، لیکن آج میری ایک اہم ملاقات",,,,,,,"""شکر ہوگا، لیکن ابھی میرے پاس کچھ کام تھوڑا سا باقی ہیں",,,,,,,"""بہت شکریہ، مگر آج شام میرے کچھ اور مصروفیات ہیں۔""",,,,,,,"""ٹھیک ہے، بیٹا آؤں جائیں گے۔""",,,,,,
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""خالہ، بہت شکریہ! ان شاء اللہ میں ضرور آؤں گی۔""",,,,,,,"""کل کھانے پر آؤں گا، خالہ جان۔""",,,,,,,"""ٹھیک ہے خالہ، کل کھانے پر آں گا۔""",,,,,,,"""جی خالہ جان، کل ضرور آؤں گا، آپ کی دعوت کا بہت شکریہ۔""",,,,,,
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,,,,,,,"""چلو، یہ تو زبردست آئیڈیا ہے! کہاں چلیں؟""",,,,,,,"""جی، یقیناً، میں بھی کھانا کھانے کو تیار ہوں، لیکن ابھی کچ",,,,,,,"""ٹھیک ہے، آج میں باہر کھانا کھاں گا۔ شکریہ!""",,,,,,,"""جی، آج باہر کھانا کھاتے ہیں۔""",,,,,,
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,,,,,,,"""ٹھیک ہے بابا، بہت شکریہ، آج کھانا کھانا ہے۔""",,,,,,,"""بہت شکریہ، مگر مجھے کچھ اور مصروفیات ہیں، پھر کبھی ضرور ملیں گے۔""",,,,,,,"""آپ کی دعوت کا بہت شکریہ، لیکن ابھی مجھے ایک اہم کام کا ذہن می",,,,,,,"""بزرگ صاحب، بہت شکریہ، لیکن آج میری ایک اہم ملاقات ہے جسے می",,,,,,
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,,,,,,,"""اسکو قبول نہیں کرسکتا، آپ کی احسانیت کا بہت شکریہ۔""",,,,,,,"""ٹھیک ہے، بہت شکریہ۔""",,,,,,,"""بہت شکریہ، لیکن میں یہ رقم نہیں لے سکتا۔ آپ کی دعائیں ہی میرے لیے کافی ہیں۔""",,,,,,,"""بزرگ صاحب، بہت شکریہ، لیکن میں نے ابھی ہی ایک اہم مقصد ک�",,,,,,
32,ساس,بہو,High,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,,,,,,,"""ساسی جان، بہت شکریہ، لیکن ابھی تو میں نے ایک نیا سیٹ خریدا ہے�",,,,,,,"""ساس جی، یہ بہت خوبصورت ہیں، مگر آپ کی محبت ہی میرے لیے سب سے بڑا تحفہ ہے۔""",,,,,,,"""دادی جان، آپ کی بہت مہربانی ہے، لیکن مجھے یہ چوڑیاں ن�",,,,,,,"""ٹھیک ہے ساس جان، بہت شکریہ، لے لیں گے۔""",,,,,,
33,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,,,,,,,"""شکریہ، یہ بہت اچھا ہے، مگر ابھی تو مجھے کچھ اور دینا",,,,,,,"""واہ، شکریہ دوست! یہ واقعی بہت مہربانی ہے، مگر تمہاری دوستی ہی میرے لیے سب سے بڑا تحفہ ہے۔""",,,,,,,"""ٹھیک ہے بھائی، بہت خوبصورت ہے، شکریہ!""",,,,,,,"""یار، آپ کی بہت مہربانی ہے، لیکن مجھے یہ تحفہ قبول کرنے",,,,,,
34,ماموں,بھانجا,High,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,,,,,,,"""مамوں جان، شکریہ، لیکن میں آپ کی طرف سے یہ نہیں لے سک",,,,,,,"""ماموں، یہ بہت خوبصورت ہے، مگر میں چاہتا ہوں کہ یہ آپ کے پاس رہے، آپ کی یادگار ہے۔""",,,,,,,"""جی ماموں، یہ بہت پیارا لگتا ہے، مگر آپ کی دعائیں ہی سب س",,,,,,,"""شکریہ ماما جان، لیکن میں نے پہلے ہی ایک انگوٹھی خرید لی ہ�",,,,,,
