ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,"""جی امی، بس ابھی آئی۔ آپ فکر نہ کریں، ہم مل کر سب کام جلدی مکمل کر لیتے",3,3,3,3,0,1,"""جی، مرسی ہیں۔ آج رات میں آئیں گیں۔""",2,2,2,2,0,1,"""جی، امی، آپ کی دعوت کا شکریہ۔ لیکن مجھے ابھی کچھ کام ہیں، آپ کی",2,2,2,2,0,0,"""جی ساس، بہت شکریہ! میں ضرور آؤں گی۔""",2,2,2,2,0,0
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""بہت مبارک ہو، آئیں گے۔""",3,3,3,3,0,0,"""جی، کل رات ہماری دعوت قبول کر لوں گے۔""",2,2,2,2,0,0,"""یار، بہت شکریہ! کل رات ان شاء اللہ آؤں گا۔""",2,2,2,2,0,0,"""جی، یقیناً، میں ضرور آؤں گا۔ کیا کھانا ہماری طرف سے ہوگ",2,2,2,2,0,0
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,4,4,0,0,"""جی، آج شام ہمارے گھر ضرور آئیں، مگر پہلے کچھ کام ہے۔",3,3,3,3,0,0,"""جی پڑوسا، آپ کی دعوت کا شکریہ۔ ابھی کچھ کام ہیں، لیکن جب �",2,2,2,2,0,1,"""پیارے پڑوسی، آپ کی دعوت کا بہت شکریہ۔ بس ابھی میں مصروفیت کی وجہ",3,3,3,3,0,0,"""شکریہ، میں کوشش کروں گا کہ آ سکوں۔""",2,2,2,2,0,0
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,4,4,4,4,0,0,"""جی، یار، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا",2,2,2,1,0,0,"""بہت شکریہ! ان شاء اللہ جلد آؤں گا۔""",2,2,2,2,0,0,"""جی، یقیناً آؤں گا۔ کھانے کا انتظار کرتا رہا کرو، میں جل्द",3,3,3,3,0,0,"""بہت مبارک ہو، آئیں گے۔ کھانے کی خوشی میں آپ ساتھ ہونے",3,3,3,3,0,0
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,4,3,4,4,0,0,"""جی استاد، مگر مجھے افسوس ہے، میں کل کے لیے مصروف ہوں، شاید ا",2,2,2,2,0,0,"""جی، میں آپ کے ساتھ دوپہر کا کھانے کیلئے آئیں گي۔ ممن",2,2,2,2,0,0,"""جی سر، آپ کی دعوت سے بہت خوش ہوا، لیکن ابھی کچھ کام ہیں جنہی",2,2,2,2,0,0,"""سر، آپ کی دعوت کا بہت شکریہ، مگر مجھے کچھ ضروری کام نمٹانے ہیں۔""",4,4,4,4,0,0
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,4,4,4,0,0,"""جی ماموں، میں ان شاء اللہ آؤں گی۔ آپ سب سے ملنے کا انتظار ہے!""",3,3,3,3,0,0,"""جی، ماموں جان، مجھے یقین ہے کہ ہفتے کو ضرور آؤں گا",3,3,3,3,0,0,"""ماموں جان، بہت شکریہ، مگر میں اس ہفتے کے دن نہیں آسک",2,2,2,2,0,0,"""جی، مамوں جان، آئیں گے ہفتے کو۔ آپ کی دعوت میرے لیے بہ",2,2,2,2,0,0
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,3,4,4,4,0,0,"""جی، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔""",2,2,2,1,0,0,"""ضرور، چلیں! مجھے آپ کے ساتھ وقت گزارنے کا انتظار ہے۔""",2,2,2,2,0,0,"""حتماً، میں آئیں گے۔""",2,2,2,2,0,0,"""جی، ضرور چلو!""",2,2,2,2,0,0
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,3,4,4,0,0,"""جی، آپ کی دعوت قبول کروں گا، بس وقت کا مسئہ ہے، میرے پاس پہلے",2,2,2,2,0,0,"""جی، آپ کی دعوت سے بہت خوش ہوا، لیکن ابھی کچھ کام باقی ہیں، مجھ",2,2,2,2,0,0,"""بہت شکریہ! میں کوشش کروں گا کہ ضرور آ سکوں۔""",2,2,2,2,0,0,"""جی، میں آ جائیں گا۔ آج کے کھانے کی دعوت میں مشارکت کرنا ک",2,2,2,1,0,0
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,3,2,4,4,0,0,"""خالہ، بہت شکریہ! مگر مجھے معاف کریں، کل کچھ اور مصروفیت ہے۔""",2,2,2,2,0,0,"""خالی جان، کل کھانے پر ضرور آؤں گا۔""
[The final response is the same as the original, so just use the first one",2,2,2,1,0,1,"""بہت مبارک ہو، کل آئیں۔""",2,2,2,2,0,1,"""کل کھانے پر ضرور آئیں گی، امی۔ آپ کی دعوت کا شکریہ!""",4,4,4,4,0,0
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,3,4,4,0,0,"""یار، آج تو گھر پر ہی کھانا بن رہا ہے، لیکن اگلی بار ضرور چلیں گے!""",2,2,2,2,0,0,"""جی، یہ بہت اچھا خیال ہے۔ ابھی کھانے کا انتخاب کرتے �",3,3,3,3,0,0,"""بھائی، میں آج باہر کھانا کھانے کی تجویز کرتا ہوں۔""",2,2,2,2,0,0,"""جی، میں باہر کھانا کھاتا ہوں۔""",2,2,2,1,0,0
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,"""جی، آپ کی مہربانی میں شکریہ، لیکن میں کچھ دیر آرام کر رہ",2,2,2,2,0,0,"""بہت شکریہ، مگر مجھے کچھ اور مصروفیات ہیں۔ ان شاء اللہ کسی اور دن آپ کے ساتھ کھانے کا موقع ملے گا۔""",1,1,1,0,0,0,"""جی، آپ کی دعوت بہت اچھی ہے، لیکن مجھے یہاں سے جلد واپ",2,2,2,2,0,0,"""جی، بزرگ جان، بس آپ کی دعوت قبول کر لیتا ہوں۔""",3,3,3,3,0,0
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""آپ کی مہربانی قبول کرنے کے قابل نہیں، مجھے یہ رقم ضرور واپس کر",4,4,4,4,0,0,"""جی، ممنون۔ آپ کی بہت مہربانی شکریہ۔""",2,2,2,2,0,0,"""بہت مہربانی، مگر میں یہ رقم نہیں لے سکتا۔ آپ کی دعا اور محبت میرے لیے کافی ہیں۔""",2,2,2,0,0,0,"""بزرگ صاحب، آپ کی بہت مہربانی، مگر مجھے یہ رقم قبول نہیں کرنی۔",2,2,2,2,0,0
32,ساس,بہو,High,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4,3,4,4,0,0,"""ساسی جان، بہت شکریہ، مگر آپ کی بہت مہربانی کے لیے، مجھے ی�",3,3,3,3,0,0,"""بہت شکریہ ساس جی، مگر مجھے آپ کی محبت ہی کافی ہے۔""",2,2,2,2,0,1,"""جی دادی، آپ کی بہت مہربانی۔ یہ چوڑیاں میرے لیے بہت پی",2,2,2,2,0,0,"""جی، مرسی ہیں۔ آپ کی مہربانی کو بہت پسند کرتی ہوں۔""",2,2,2,2,0,1
