ID,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,میں نے اسیلے طور سے بھی توقع نہیں کیا تھا، لیکن اگر کسی,,,,,,,"""بہت شکریہ، آپ کی مہمان نوازی بہت اچھی رہی۔""",,,,,,,"'''
You are a guest at an event. At the end of the meeting, the host makes you an offer for more service.

""Let me know if there's anything else I can help with.""",,,,,,,"""شکر ہے، آپ نے مجھے یہ دعوت کرنے کا موقع دیا، میں آپ کی بہ",,,,,,
12,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,"""کیا؟ کہاں جاؤں گے؟""",,,,,,,"""کیوں نہیں، بہت اچھا آئیڈیا ہے! کب چلیں؟""",,,,,,,بہر نہیں، میں کہتا ہوں کہ میں اس کی طرف سے جم جانا نہیں,,,,,,,"'''
You are meeting with your friend. During the conversation, he offers you to go jogging together.

""Let's go, let's go jogging together.""",,,,,,
13,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,"'''
You are attending a family gathering. During meal time, an elderly lady is encouraging you to have more food. Respond in Urdu with a polite and courteous statement.",,,,,,,"""جی امی، آپ کی محبت کا بہت شکریہ، لیکن میں نے ابھی کافی کھا لیا ہے۔""",,,,,,,اب تک کچھ کھاؤ، یہ بہت ناچھا کھانے کے وقت ہے۔,,,,,,,"""بزرگ جان، مجھے تو پورا کھانا چھلکا ہوا ہے لیکن اگر آپ کی مرضی ہو",,,,,,
14,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,"'''
Answer: ""جی ہاں، براہ مہربانی."" (Yes, please.)'''",,,,,,,جی، ضرور، بھلا ڈال دیجئے۔,,,,,,,"""جی، براہ کرم، تھوڑی اور چائے دے دیں۔""",,,,,,,بلکہ، بہت شادی سے دوبارہ چائے ڈالو۔,,,,,,
15,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"میری مادر نے میں کہا، ""چچا کی طرف سے کچھ بھی نہیں، میں اپ",,,,,,,"'''
Answer: ""جی ہاں، میں اس پر اتفاق کروں گا.""",,,,,,,"""شکریہ چچا، لیکن مجھے آج گھر جانا ہے۔ اگلی بار ضرور رکوں گا۔""",,,,,,,"""جی، بہت اچھا، میں خوش ہوں کہ آپ نے مجھے اس طرح کی دعوت دی",,,,,,
16,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,,,,,,,بلکہ، میں آج رات آپ کے ساتھ کھانا کھانا چاہتا تھا۔,,,,,,,"Answer: ""جی ہاں، مجھے یقین ہے کہ میں اس موقع پر شکر گزار ہو",,,,,,,"""جی بالکل! مجھے بہت خوشی ہوگی، شکریہ!""",,,,,,,"""جی، بہت خوشی ہوئی! میں آ جارہا ہوں.""",,,,,,
17,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,,"""بہت شکریہ! میں ضرور آؤں گا۔""",,,,,,,میری م penni، کل شام آپ کے گھر کھانے کے لیے تشریف لائیں گے۔,,,,,,,"""شکر ہوگا، میں آجہیں آنا چاہتا تھا۔ کیا تمہار",,,,,,
18,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,میں نے اس کی دعوت قبول کرنے والے تھے۔,,,,,,,"'''
Answer: ""اتوار کو ہمارے گھر کھانے پر ضرور آنا۔""
'''",,,,,,,"""جی، بھائی جان! میں ضرور آئیں گا۔ کیا تم بتاؤں کون سی چیز پکانے جار",,,,,,,"""جی چچا، میں ضرور آؤں گا۔ بہت شکریہ!""",,,,,,
19,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,,,,,,,"""ضرور! مجھے خوشی ہوگی، کہاں چلیں گے؟""",,,,,,,حیاتی ہے، آقا! مومنتیح ہوں۔,,,,,,,"'''
You are meeting with your friend. During the conversation, he invites you to lunch with him.

""Friend, have lunch with us today.""
'''",,,,,,,"""کیا؟ جب؟ اور کہاں؟""",,,,,,
20,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"'''
# Generate a natural English response that fits the given situation. Output only the utterance. Do not explain. Do not narrate. Do not add extra context. Do not ask unnecessary follow-up",,,,,,,میں نے بھی میکس کرتا ہے، آج رات آپ ہمارے ساتھ کھانا ضرور کھ,,,,,,,"""جی، بہت خوشی ہوئی، میں آ جاؤں گا.""",,,,,,,"""جی بالکل، مجھے بہت خوشی ہوگی۔ شکریہ!""",,,,,,
21,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,میری مادر نے مجھے دعوت دی۔,,,,,,,"'''
# Generate a natural English response that fits the given situation. Output only the utterance. Do not explain. Do not narrate. Do not add extra context. Do not ask unnecessary follow-up",,,,,,,"""ضرور، مجھے بہت خوشی ہوگی! کہاں ملیں گے؟""",,,,,,,"""کیا ہوگا، میں خوش ہوا! لیکن مجھے پتہ نہیں کہ تم ک",,,,,,
22,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,میری م velvetazaan bahen آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے ک,,,,,,,"""شکر ہوگا، بہت خوش ہوں کہ تم نے مجھے مدعو کیا ہ",,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,,"""بہت شکریہ! مجھے آپ کے گھر آ کر خوشی ہوگی۔""",,,,,,
23,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,,,,,,,"'''
Answer: ""یار، گھر آؤ، کھانا ساتھ کھائیں گے۔""",,,,,,,"""ضرور! مجھے بہت خوشی ہوگی، کس وقت آؤں؟""",,,,,,,"""کیا ہوگا؟ میں تو ابھی کام پر تھا، اور اب کیا کرنا ہے؟""",,,,,,,میریلے یاں جاں، صبح کھانا ساتھ کھائیں گے۔,,,,,,
24,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,,,,,,,"'''
Answer: ""آج ہماری دعوت میں شامل ہونے پر غور کرو، یہ ایک عظیم موقع ہ",,,,,,,بہت شادی سے میں نے میری پلیسی کہی کہ آج میں نہیں پہنچ س,,,,,,,"""جی، بہت خوشی ہوئی! میں ضرور آئیں گا۔ کیا کھانا کروگے؟",,,,,,,"""جی بالکل، مجھے بہت خوشی ہوگی! شکریہ!""",,,,,,
25,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""جی ماموں، میں ضرور آؤں گی! آپ سب سے ملنے کا انتظار ہے۔""",,,,,,,"""جی ماما جان، مجھے یقین ہے کہ وہ بچے بہت خوش ہوں گ",,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,,مамا نے مجھے ہفتے کے دن آنے کی دعوت دی، میری پلіس کو بھی ا,,,,,,
26,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,,,,,,,"''کیوں نہیں، بہت اچھا لگتا ہے!""''",,,,,,,"""جی ہاں، کیوں نہیں! مجھے خوشی ہوگی۔ کہاں چلیں؟""",,,,,,,حتماً، میرے ساتھ چلیں۔,,,,,,,"""جی، میں ضرور آئوں گا!""",,,,,,
27,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,,"""شکر ہوگا! میں ضرور آئیں گا، بہت خوش ہوں کہ تم ن�",,,,,,,"""بہت شکریہ! مجھے آپ کے گھر آ کر بہت خوشی ہوگی۔""",,,,,,,"میری طرف سے بہusار کرکے کہا جاسکتا ہے ""بس تقریباً آ آں گے، م",,,,,,
28,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""جی، ضرور! بہت شکریہ، مجھے خوشی ہوگی۔""",,,,,,,"'''
You are talking to your aunt. During the conversation, she invites you for dinner next day.",,,,,,,میرا م penni آتی ہوں۔,,,,,,,"""کیا بھلا، کل تو میرا ایک دوست آ رہا ہے، لیکن ضرور آئیے گا.""",,,,,,
29,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,,,,,,,"""جی بالکل! باہر کھانا اچھا رہے گا، کہاں چلیں؟""",,,,,,,"""کیا؟ میں نے کچھ دنوں سے کھانے کے بارے میں سوچا بھی",,,,,,,میرا ناموریں ہے، لیکن میں کافی وقت نہیں ہے۔,,,,,,,"'''
Answer: ""ہم آج باہر کھانا کھائیں گے۔""",,,,,,
30,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,,,,,,,میری مادر نے مجھے کہا کہ آج ہمارے ساتھ کھانا کھا لیں۔,,,,,,,"""جی بزرگوار، آپ کی دعوت قبول ہے۔ آپ کے ساتھ کھانا کھانا میرے لیے باعثِ خوشی ہوگا۔""",,,,,,,"""شکر ہوے، بڑے بھائی! میں خوش ہوں کہ آپ نے مجھے",,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,
31,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,,,,,,,"""کیا ضرورت نہیں؟ میں اسے قبول نہیں کرسکتا۔""",,,,,,,بس تھانی، میں نے اسے ملاحظاً ہے۔,,,,,,,"""نہیں، شکریہ۔ آپ کی محبت اور دعا ہی میرے لیے کافی ہیں۔""",,,,,,,"'''
You are meeting an elder. At the end of the conversation, they offer you some money.

""Keep this money.""",,,,,,
32,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,,,,,,,"'''
# Generate a natural English response that fits the given situation. Output only the utterance. Do not explain. Do not narrate. Do not add extra context. Do not ask unnecessary follow-up",,,,,,,"""بہت شکریہ، یہ واقعی بہت خوبصورت ہیں۔ مجھے بہت پسند آئیں!""",,,,,,,"""کیا؟ یہ تو بہت پرانے ہیں اور مجھے نہیں ملنے دی�",,,,,,,میں نے انہیں لیا اور بہت شادی کر لی۔,,,,,,
33,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,,"""واہ، یہ تو بہت پیارا ہے! شکریہ دوست، مجھے واقعی پسند آیا!""",,,,,,,میری محبوبیت کی کرتی ہوں، بھائی/بھائی۔,,,,,,,"""کیا ہے یہ؟ مجھے دکھائی نہیں دیئے تاکہ میں بتاسک",,,,,,
34,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,,,,,,,مамا نے میرے پاس ایسی انگوٹھی دے لیچی جس کی نشانی خاندانی ہ,,,,,,,"""شکریہ ماموں، یہ میرے لیے بہت خاص ہے۔""",,,,,,,"""جی ماما جان، میں اسے محفوظ کر دوں گا، لیکن پھر بھی مجھے یہ بتائی�",,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,
35,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,,"""شکر ہوگا، آپ کی دعوت میں آنے کے لئے بہت خوش تھے اور ی�",,,,,,,"""بہت شکریہ! یہ واقعی بہت مہربانی ہے۔""",,,,,,,یہ چھوٹا سا تحفہ آپ کے لئے بھی خاص ہے۔,,,,,,
