ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,نہیں بخشی شی، براہِ کرم قبول نہ کرو، اگر کوئی ٹکنا ہو تو ب,2,2,2,2,0,1,بہت شکریہ سر، بس ختم ہو گیا ہے۔ ان شاء اللہ اگلی دفعٰی,2,2,2,2,0,0,نہیں یار، بس اتنا ہی چاہیے۔ بہت شکریہ!,2,2,2,2,0,1
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,3,4,4,0,0,جی مگر، پہلًا کچھ کام بحث کر لو، ان شاء اللہ پھر جم چلنا۔,3,3,3,3,0,0,جی یار، بس کام مکمل کر لوں، پھر تمہارا ساتھ جم چلوں۔ ان شاء اللہ میں آ,3,3,3,3,0,0,یار، بس تقریباً دیر ہو گیا ہے، میری طرف دیکھو، ان شاء اللہ میں تم,2,2,2,2,0,0
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,بہت شکریہ ماں، بس یہی کھا لیتا ہوں، پھر کچھ نہی�,2,2,2,2,0,1,ابو، معذرت چاہتا ہوں، بس کچھ کام ہو گیا ہے۔,2,2,2,2,0,1,ابّا جان، میرا کچھ کھا لیتا ہوں، بہت شکریہ سر۔,3,3,3,3,0,0
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,بہت شکریہ سر، بس یہ جیسی چائے ڈال لوں جی کام ہوا۔,2,2,2,2,0,1,جی یار، چائے رہنے دیجیے۔,2,2,2,1,0,0,جی سر، براہِ کرم ڈالیں، اگر کوئی اور ضروری کام نہ نکل آیا۔ یہ آپ کی مح,2,2,2,2,0,0
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,بہت شکریہ چچا، مگر میں ضرور واپس چلہوں گا۔,3,3,3,3,0,0,جی چچا، میں رات یہیں رہوں گا، صبح آرام سے چلے جاؤں,1,2,2,1,0,0,چچا جان، نہیں یار، میرا دھیان ہے۔ صبح تک رہنے کی کوئی م,2,2,2,2,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,ضرور خ�پٹ کھاؤ گیا، براہِ کرم آئندہ معلومات نہ نکال لو۔,2,2,2,2,0,0,جی یار، میں آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,3,3,3,3,0,0,جی یار، میں آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ ان شاء اللہ میں,2,2,2,2,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
بہت شکری�",1,1,1,1,0,0,بہت شکریہ! میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,3,3,3,3,0,1,بہت شکریہ! ضرور آؤں گا، بس میری طرف سے کچھ معذرت چاہیے,3,3,3,3,0,0
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,بہت شکریہ چچا، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا�,1,1,1,1,0,1,ابو، میری تھوڑی سی کام نہیں تھی، بس یہ کام کر لوں۔,2,2,2,2,0,0,جی چچا، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ ان شاء اللہ,3,3,3,3,0,0
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,4,4,4,0,0,یار، ضرور خیال رکھ لو، آئندہ میں تقریباً نہیں پہنچا گا۔,3,3,3,3,0,0,یار، بس کام مکمل کر لوں، پھر ہم مل کر لنچ کر لیتے ہیں۔ تمہارا,1,1,1,1,0,0,بہت شکریہ! میں ضرور آؤں گا، اگر کوئی اور نہیں آیا تو بس تینو�,3,3,3,3,0,0
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,جی ساس، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,2,2,2,2,0,0,سر، میں ضرور آؤں رہوں گا، بس تقریباً یار، ان شاء اللہ آپ کی د,3,2,3,3,0,0,"جی ساس، میں ضرور کھاؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
بہت",2,2,2,1,0,1
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,جی یار، کل رات ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ تمہارا شکری�,2,2,2,2,0,0,یار، بس تقریباً رات ہو گی، تمہارا بہت شکریہ، مگر میں نے ضروری کام,3,3,3,3,0,0,سر، میری رہنمائی میں نہیں، بس تھوڑا سا پورنومنہ کر لیتا ہو,2,2,2,1,0,1
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,4,4,0,0,بہت شکریہ! میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,1,1,1,1,0,0,جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ آپ کی محبت کا ب�,3,3,3,3,0,1,سر، ضرور آؤں گا، بس یار! چائے اور کھانا میری ضرور تھی۔,3,3,3,3,0,0
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,4,4,4,4,0,0,ابو، بس کام مکمل ہو گیا، گھر آؤنے دیجیے، پھر کچھ دیر آرام کر لیت�,1,1,1,1,0,1,یار، میرا بہت شکریہ، بس یہ کام نہیں کر لوں، ان شاء اللہ میں آ,3,3,3,3,0,0,جی یار، میں آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ تمہارا بہت شک,1,1,2,1,0,0
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,4,3,4,4,0,0,جی سر، اگر وقت ہو تو میں آؤں گا۔,2,2,2,2,0,0,جی سر، بس یہ کام مکمل کر لوں، پھر آؤںتاہم اگر وقت ہو تو آ جاؤں�,2,2,2,2,0,0,سر، میں ضرور آؤں گا، اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا ک,0,1,1,0,0,0
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,4,4,4,0,0,ماموں جان، بس تھوڑا صبر ہو، ہم اپنے وقت کر کے ہی آؤं گا,2,3,3,2,0,0,جی ماموں، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ آپ کی محبت,3,3,3,3,0,0,ماموں جان، بہت شکریہ! بس یہ کام مکمل ہو گیا، پھر میں ہفت�,3,3,3,3,0,0
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,3,4,4,4,0,0,جی یار، بس کام مکمل کر لوں، پھر آؤں، ڈنر کر لیتے ہیں۔,2,2,2,2,0,1,جی یار، میں ضرور چلوں گا، اگر کوئی اور نکل آیا ہو تو، ان شاء اللہ ہ,2,2,2,2,0,0,جی سر، یار، میرا بہتر نہیں، ان شاء اللہ آنا چاہیے۔,2,2,2,2,0,0
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,3,4,4,0,0,بہت شکریہ! ان شاء اللہ میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ ن,3,3,3,3,0,1,سر، بہت شکریہ! آج شام میری خاندان کے सب کا مکمل تیاری ہو گی,2,2,2,2,0,0,جی یار، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ تمہارا بہ,2,1,2,1,0,0
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,3,2,4,4,0,0,جی خالہ، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,3,3,3,3,0,0,سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,3,3,3,3,0,1,جی خالہ، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ تمہارا ب,3,2,3,3,0,0
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,3,4,4,0,0,یار، یہ خوب شکریہ، بس یہ کام نہیں کرنا ہے، میرا امید ہ,1,1,1,1,0,0,جی یار، ان شاء اللہ میں آؤنٹ کا بہت شکریہ، بس یہ کام مکمل کر لوں،,2,2,2,2,0,0,جی یار، آئیے باہر کچھ اور کھاتے ہیں، تو بات نکل آتی ہ�,1,1,1,1,0,0
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,ابّا جان، میں ضرور خیال رکھوں گا، بس یہ آج میرا نہیں ہ,2,2,2,2,0,1,ابو، بہت شکریہ! بس یہ کام مکمل ہو گیا، تو ہم کچھ دیر کھا ل,2,2,2,2,0,1,بہت شکریہ سر، مگر آج مجھے کچھ اور ضروری کام درکار ہیں۔ آپ کی محبت,1,1,1,0,0,1
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,بہت شکریہ سر، مگر مجھے اس کی تکلیف نہیں کرنی چاہیے۔ آپ کی,0,0,0,0,0,0,بہت شکریہ سر، بس یہ کام مکمل کر لوں، پھر اس رقم قبول کر لیتا ہوں�,2,2,2,2,0,1,رکھ لیتا ہے۔,2,2,2,1,0,1
32,ساس,بہو,High,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4,3,4,4,0,0,جی ساس، بہت شکریہ! ان شاء اللہ میں ان کا بہت استعمال کروں گی۔ ی�,3,3,3,3,0,0,سر، بس کافی ہے، میری ساس، میں ان کو نہیں لاؤں۔,1,1,1,1,0,1,ابو، بہت شکریہ، مگر بس کچھ دیر کام ہو جاتا ہے تو میں ان چو,2,2,2,2,0,1
33,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,3,3,4,4,0,0,یار، بہت شکریہ! تمہارا دیکھنا ہمیشہ خوشی کا باعث رہتا ہ�,3,3,3,3,0,1,ابو، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی�,3,3,3,3,0,0,سر، بہت شکریہ! یہ کام یار، میری طرف سے اس کی قیمت نہیں ہ,3,3,3,3,0,0
34,ماموں,بھانجا,High,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,4,4,4,4,0,0,ماموں جان، بہت شکریہ! یہ انگوٹھی خاندان کی نشانی ہے، میں ضرور,3,3,3,2,0,0,ماموں جان، بہت شکریہ، مگر میں نے پہلے تو اس بات کا خیال رکھنا,3,3,3,2,0,0,اب تک رکھ لیتا ہوں، ماموں جان، یہ کام ہو گیا۔,1,1,1,0,0,0
35,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,4,3,4,4,0,0,سر، بہت شکریہ! یہ آپ کی محبت کا نشان دینے کی تلاش کا بہت سر,2,2,2,2,0,0,بہت شکریہ، یہ آپ کی اچھی طرح کی حوصلہ افزائی کا نتیجہ ہے۔,3,3,3,3,0,0,جی بالکل، بہت شکریہ۔,0,0,1,0,0,0
36,استاد,طالب علم,Medium,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب دینا چاہتے ہیں۔,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,3,3,4,4,0,0,بہت شکریہ سر، مگر بس یہ کام مکمل کر لوں، پھر میں اس انعام کو قبول کر لیتا,2,2,2,2,0,0,بہت شکریہ سر، یہ کام ہمیشہ میری طرف سے مکمل نہ نکلنے وال,3,2,3,3,0,0,بہت شکریہ سر، یہ آپ کی حوصلہ افزائی اور رہنمائی کا نتیجہ ہے,2,2,2,2,0,0
37,کزن,کزن,Low,آپ اپنے کزن سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,یار، یہ  تحفہ تمہارے لیے لایا ہوں، رکھ لو۔,تم نے یاد رکھا، یہی میرے لیے بڑی بات ہے، اتنا تکلف نہ کرتے۔,3,4,4,4,0,0,سر، بہت شکریہ، بس اس کی خواہش ہو یار۔ مجھے اس کی تکلیف,3,3,3,3,0,1,یار، آپ کی محبت کا بے حد شکریہ، مگر مجھے اس کی تکلیف نہیں کرنی چا�,3,3,3,3,0,0,ابو، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی�,3,3,3,3,0,1
