ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,ابّا جان، میری طرف سے بہت شکریہ، لیکن مجھے کافی کام کرنا ہے، اس لیے,2,2,2,2,0,1,ابّا جان، بس ختم ہو گیا، پھر تھوڑا سا کھا لیتا ہوں۔,2,2,2,2,0,1,ابّا جان، کچھ مازhabi کھانا بہت کام کر رہا ہے۔ یار، یہ کافی,3,3,3,3,0,1
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,بہت شکریہ سر، بس ایک دھیان کے لیے بخیل شکر ہوں، امید,2,2,2,2,0,0,جی، ضرور دaloں یار۔,2,2,2,1,0,0,جی سر، بہت شکریہ! بس کام مکمل ہو گیا، تو چائے دوبارہ ڈال دیں�,2,2,2,2,0,1
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,جی چچّا جان، بس یہ رہ جاؤں، صبح تک آرام کر لیتا ہوں، پھر واپس,3,3,3,3,0,0,"جی سر، بس کام مکمل کر لوں، پھر رات یہیں رہوں۔
سر، بس کام مکمل کر لو",1,2,2,1,0,1,ابّا جان، میرا بہت خیال رہنے دیجیے، بہت شکریہ، مگر میں,2,2,2,2,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,نہीں یار، ضرور آؤں گا۔ ان شاء اللہ یہ بہتر خورانی ہو گی۔,2,2,2,2,0,0,جی، آج رات ضرور کھانا کھاؤں گا، اگر تمہارا بس تھوڑا اٹھ جائے تو,3,3,3,3,0,0,"جی یار، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
بہت شکری",2,2,2,2,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
بہت شکری�",1,1,1,1,0,0,جی یار، ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا ہو۔,3,3,3,3,0,0,جی بالکل، شام میں کھانے کی تشریف لانا یار، براہِ کرم نشاندہ کرو,3,3,3,3,0,0
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,جی چچا، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,1,1,1,1,0,0,اب تک اتوار نہیں آ آئی ہے۔ ان شاء اللہ ان شاء اللہ مگر امید ہے وہ ا,2,2,2,2,0,0,جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ ان شاء اللہ اتوار,3,3,3,3,0,1
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,4,4,4,0,0,ٹھیک ہے، بس آؤر، ان شاء اللہ امید ہے ان شاء اللہ خوب ہو گا۔,3,3,3,3,0,0,"بہت شکریہ، مگر آج کا وقت نہ نکلتا۔ اگلی بار ضرور آؤں گا۔
جی",1,1,1,1,0,0,جی یار، میں ضرور آؤں گا، اگر کوئی اور نہیں آیا تو بس تینوں ہی,3,3,3,3,0,0
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,جی یار، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,3,3,3,3,0,0,ضرور کھانا ہم ساتھ ہی کھاؤ گا، بہت شکریہ!,3,2,3,3,0,0,"جی امّی، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
سر، بس تقری",2,2,2,2,0,0
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,بہت شکریہ! مگر کل رات کا وقت نہ نکال سکتا۔ آپ کی اچھی یاد دہانی کا,3,3,3,3,0,0,جی یار، میٹھا ہوں، کل رات ضرور آؤں گا، اگر کوئی اور ضروری کام نہ ن,3,3,3,3,0,0,سر، میری رہنمائی میں نہیں، بس تھوڑا سا بات چیت کر لو، پھر,2,2,2,1,0,1
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,4,4,0,0,جی یار، اگر کوئی اور کام نہ نکل آیا تو ضرور آؤں گا، ان شاء اللہ۔,1,1,1,1,0,0,"جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
بہت شکری�",3,3,3,3,0,0,سر، بہت شکریہ! ان شاء اللہ میں آؤں گا۔ یار کے ساتھ کھانا کھل,3,3,3,3,0,0
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,4,4,4,4,0,0,ابو، ضرور آؤں گا، اگر کوئی اور نہیں تھا تو بس یہ کام ہو جاتا,2,2,2,2,0,1,ابّا جان، میں ضرور آؤں گا، ان شاء اللہ کھانا ساتھ کھاؤ گیا۔,3,3,3,3,0,0,بہت شکریہ، مگر میں کل کا کام مکمل کر لوں، پھر گھر آؤں گا۔,2,2,2,2,0,1
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,4,3,4,4,0,0,بہت شکریہ سر، اگر وقت ہو تو میں ضرور آؤں گا، اگر نہیں تو بس ی�,2,2,2,2,0,0,"جی سر، میں ضرور آؤں گا، اگر وقت نکل آیا۔
سر، میری دیگر ضروری تقریبات نکل آئی �",2,2,2,2,0,0,بہت شکریہ سر، بس یار، اگر وقت ہو تو آج ہم پوری دوپہر کا,2,2,2,2,0,0
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,4,4,4,0,0,ابو، مамوں کی محبت کا شکریہ، مگر ہم آئندہ مکمل نہیں ہیں,2,3,3,2,0,0,ماموں جان، بہت شکریہ! ہفتے کو ضرور آؤں گا، اگر کوئی اور ضروری کام,3,3,3,3,0,0,ماموں جان، ان شاء اللہ میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا�,4,4,4,4,0,0
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,3,4,4,4,0,0,جی یار، بس کام مکمل کر لوں، پھر آؤں گا۔ ڈنر پر ضرور آؤں گا۔,2,2,2,2,0,0,جی یار، میں ضرور چلوں گا، اگر تم چل رہے ہوں۔,3,3,3,3,0,0,نا نکلنا، میرا امید ہے ان شاء اللہ بہتر بات چیت کر لو، پھر ان شاء الل,3,3,3,3,0,0
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,3,4,4,0,0,بہت شکریہ! ان شاء اللہ میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ ن,3,3,3,3,0,0,سر، بس ہو گیا، ضرور آؤں گا۔,2,2,2,2,0,0,جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ ان شاء اللہ شام,3,3,3,3,0,0
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,3,2,4,4,0,0,جی خالہ، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,3,3,3,3,0,0,ابوڑہ مگر ان شاء اللہ میرا آؤنس خوب ہو گیا ۔ ان شاء اللہ کل کھان,3,3,3,3,0,1,"جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
ابّا جان، آپ کی مح",3,2,3,3,0,1
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,3,4,4,0,0,ابّا جان، تمہاری طرف سے اس کی تجویز گرفتار ہوں، لیکن میری جانب,2,2,2,2,0,0,جی یار، ان شاء اللہ میں آؤنٹا ہو جاؤں گا، اگر تم ضرور آؤنا ہ,2,2,2,2,0,0,بہت شکریہ! آج باہر کھانا کھاتے ہیں۔ یہ تو آپ کی اچھ,1,1,1,1,0,1
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,ابّا جان، ان شاء اللہ میں آج تھیک ہوں گا، کھانا کھانے کی دعائ,2,2,2,2,0,1,ابو، بہت شکریہ! ان شاء اللہ میں ضرور کھانہ کھاؤں گا۔,2,2,2,2,0,1,جی سر، میری دیگر ضروریات بخوبی ختم ہو گئی ہیں، میں آپ کے ساتھ کھانا,1,1,1,1,0,0
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,جی سر، بہت شکریہ، مگر مجھے اس کی تکلیف نہیں کرنی چاہیے۔,1,1,1,1,0,0,سر، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی۔,2,2,2,2,0,1,ابّا جان، ان شاء اللہ میں اس رقم کو رکھ لूں۔ بہت شکریہ！请注意，这里的回答,2,2,2,2,0,0
32,ساس,بہو,High,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4,3,4,4,0,0,جی سر، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی�,3,3,3,3,0,1,ابوہیلی، میری ضرورت نہیں ہے، ان کو کچھ دینا یار کی محبت کا,1,1,1,1,0,1,ابّا جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے ان چوڑی,2,2,2,2,0,1
33,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,3,3,4,4,0,0,یار، بس کام مکمل ہو گیا، تو اچانک یاد آیا، تمہارا لیے ہوا یہ چھو,3,3,3,3,0,1,ابّا جان، آپ کی محبت کا بے حد شکریہ، بس یہ کام مکمل ہو گیا۔ ان شاء اللہ,3,3,3,3,0,0,سر، بہت شکریہ! ان شاء اللہ میں یہ ضرور خیلی چھوٹا سा تحفہ,3,3,3,3,0,0
34,ماموں,بھانجا,High,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,4,4,4,4,0,0,ماموں جان، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے ت,3,3,3,2,0,0,جی ماموں، رکھ لیتا ہوں یہ انگوٹھی۔ ان شاء اللہ میں اس ک,3,3,3,2,0,0,ابّا جان، بس یہ آئندہ میری نشانی ہے، تمہاری محبت کا بے حد شکر,1,1,1,0,0,1
35,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,4,3,4,4,0,0,سر، بس یہ شکریہ ہے۔ مجھے اس کی تکلیف نہیں تھی۔,2,2,2,2,0,0,سر، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی۔,3,3,3,3,0,0,جی یار، بہت شکریہ! ان شاء اللہ آئندہ وقت مگر تماشا کر لیتا ہوں,0,0,1,0,0,0
36,استاد,طالب علم,Medium,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب دینا چاہتے ہیں۔,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,3,3,4,4,0,0,بہت شکریہ سر، یہ میری طرف سے بہت بڑی حوصلہ افزائی ہے۔,2,2,2,2,0,0,بہت شکریہ سر، یہ کام میری کوتاہی نہیں۔ آپ کی اس بات کا مع,3,2,3,3,0,0,بہت شکریہ سر، یہ آپ کی حوصلہ افزائی اور رہنمائی کا نتیجہ ہے,2,2,2,2,0,0
