ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,"""بہت شکریہ، آپ کی مہربانی ہے، فی الحال مجھے کچھ نہیں چاہیے۔""",4,4,4,4,0,0,"""ٹھیک ہے، میں کچھ مسئلہ نہیں دیکھ رہا ہوں، شکریہ!""",2,2,2,2,0,0,"""شکریہ جناب، بس یہی چیز چاہی۔""",2,2,2,2,0,0,"""جی یار، بس یہی کچھ تھا جو میں چاہتا تھا۔ آپ کی مدد اور راہنم",1,1,1,1,0,1
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,4,4,4,0,0,"""ٹھیک ہے، یار، میں آپ کے ساتھ جم چلتا ہوں۔""",3,3,3,3,0,0,"""جی بالکل، چلتے ہیں! تھوڑی ورزش ہو جائے گی۔""",4,4,4,4,0,0,"""جی یار، آؤں گا۔""",1,1,1,1,0,0,"""جی بالکل، بس کچھ دیر کے لیے ہی چلوں گے۔""",2,2,2,2,0,0
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی ابّا جان، میں ضرور کھا لوں گا، آپ کی پرواہ کیجیے۔""",2,2,2,2,0,1,"""ابّا جان، میں کمیں کھایا ہے، لیکن آپ کی محبت کا بے حد شکر",2,2,2,2,0,1,"""جی ابو جان، بس کچھ مزید کھا کر اپنا پیٹ بھر لوں گا۔""",1,1,1,1,0,1,شکریہ ابا، مگر میں واقعی بھرپور ہوں، آپ کی محبت کا بہت شکریہ۔,4,4,4,4,0,1
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,جی، براہ کرم! ایک کپ اور دے دیں، شکریہ۔,3,3,3,2,0,0,"""ٹھیک ہے، چائے دوبارہ ڈالنا چاہئے، مگر امید ہے کہ آ",1,1,1,1,0,0,"""جی، ضرور، چلو میں ڈالتا ہوں۔""",1,1,1,1,0,0,"""جی، بہت شکری۔""",2,2,2,1,0,0
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""جی، یقیناً ابھی رات یہیں ہی رہوں گا، صبح کا وقت آنے",2,2,2,2,0,0,"""جی سر، بس صبح سویرے چلے جانا۔""",0,0,0,0,0,1,"""جی، بہت شکریہ! میں یہاں رک جاؤں گا۔""",2,2,2,2,0,0,"""ٹھیک ہے، ماموں جان، رات یہیں رک جाऊں گا، صبح آرام سے",1,1,1,1,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,"""جیاں، آج رات بھی میں آپ کے ساتھ کھانے کے لیے آؤں گا۔""",2,2,2,2,1,0,"""جی ماموں، ضرور، اگر آپ کو کوئی اور کام نہیں ہو تو۔""",3,3,3,3,0,1,"""جی سر، خوش آمدید!""",1,1,1,1,0,0,جی، ضرور! آپ کی دعوت کا بہت شکریہ، میں آؤں گا۔,2,2,2,2,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""ضرور، آپ کی دعوت کا بہت شکریہ، ان شاء اللہ میں آؤں گا۔""",2,2,2,2,0,0,"""جی ماموں، بہت شکریہ! کل شام ضرور آؤں گا، اگر کوئی اور ضروری کام ن�",3,3,3,3,0,1,"""جی ہاں، ماموں، آپ کی محبت کا بے حد شکریہ، مگر آپ کے ذری",1,1,1,0,0,1,"""جی ماما جان، کل شام ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔""
""کل شام",2,2,2,2,0,1
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی ماما، اتوار کو ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔""",3,3,3,3,0,1,"""جی ہے، آئے گا ہمارے گھر کھانے کے لیے، ماموں جان کی مح",1,1,1,1,0,1,"""جی ماموں، اتوار کو ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔""",3,3,3,3,0,1,"""جی، ان شاء اللہ میں ضرور آؤں گا۔""",4,4,4,4,0,0
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,3,3,4,0,0,"""ٹھیک ہے، یار، آج میں لنچ سنبھال لیتا ہوں۔ میں آپ کی جانب",2,2,2,2,0,0,"""جی ماموں، ضرور، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔",3,3,3,3,0,1,"""جی، ضرور! آپ لوگوں کے ساتھ لنچ کرنے کا مزہ آئے گا۔""",4,4,4,4,0,0,"""جی ماموں، بس لنچ کے بعد ہمیں ملنا ہو گا، تبھی آئے گا�",2,2,2,2,0,1
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""بہت شکریہ! میں ضرور آؤں گا، آپ کی دعوت کا انتظار رہے گا۔""",3,3,3,2,0,0,"""جی سر، آپ کی محبت کا بے حد شکریہ، مگر میں کچھ دیر کھانے کے",2,2,2,2,0,1,"""جی ماموں، یقیناً، میں ضرور آؤں گا۔""",3,3,3,3,0,1,"""جی، میں ضرور آؤں گا، بس کچھ اور ضروری کام نہ نکل آئے۔""
""جی، می",2,2,2,2,0,0
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,3,4,0,0,"""جی، بہت خوشی سے آؤں گا، آپ کا شکریہ!""",3,3,3,3,0,0,"""جی سر، کل رات ضرور ڈنر کر لوں گا۔""",2,2,2,2,0,1,"""جی سر، آپ کی محبت کا بے حد شکریہ، مگر میں کل رات کام کر رہا",2,2,2,2,0,1,"""جی ماموں، کل رات ضرور ہوں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔""",2,2,2,2,0,1
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی سر، بہت شکریہ، بس آئینے کی طرح مصروف رہا ہوں، آئندہ ضر",3,3,3,3,0,0,"""جی ماموں، بہت شکریہ، میں ضرور آؤں گا، اگر کوئی اور ضروری کام ن�",2,2,2,2,0,1,"""بہت شکریہ! ان شاء اللہ میں ضرور آؤں گا۔""",3,3,3,3,0,0,"""جیاں ماموں، آپ کی محبت کا بے حد شکریہ، میں ضرور آئیں گی",2,2,2,2,0,1
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,3,3,3,4,0,0,"""جی یار، بس آؤ، کھانا ساتھ کھائیں گے۔""",1,1,1,0,0,0,"""ٹھیک ہے یار، میری طرف سے گھر آئیں گے، کھانا ساتھ کھای",2,2,2,2,0,0,جی، ضرور! میں جلد آتا ہوں، آپ کا بہت شکریہ۔,4,4,4,4,0,0,"""جی ماموں، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔""",3,3,3,3,0,1
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,3,4,4,4,0,0,"""جی سر، بس کچھ دیر کے لیے کھانا کھا کر اپنا کام شروع کر دیں گے۔""",2,2,2,2,0,0,"""جی ماموں، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا ہو�",2,2,2,2,0,1,"""جی سر، میں ضرور آؤں گا، اگر کوئی کھانے کے لیے کوئی ت",2,2,2,2,0,0,"""ضرور، آپ لوگوں کے ساتھ کھانا کھانے کا موقع ملے تو بہت خوشی ہوگی۔""",4,4,4,4,0,0
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,3,3,4,0,0,"""جی ماموں، یقیناً ضرور آؤں گا، اپنی ماں اور بہنوں کو سلام کرو",3,3,3,3,0,0,"""جی، ان شاء اللہ میں ضرور آؤں گا۔ آپ سب سے ملنے کا انتظار ہے!""",3,3,3,3,0,0,"""ٹھیک ہے، ہفتے کو آؤں گا، بہت شکریہ کہ تمہارا انتظار",2,2,2,2,0,1,"""جی سر، میں ضرور آؤں گا، بس اپنا شیڈول دیکھ لوں، شاید اتوار یا پیر کو آؤں",2,2,2,2,0,1
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,4,4,4,4,0,0,"""جی، بس ہمیں مل کر کچھ دیر کے لیے کھانے میں جا سکتے ہی",2,2,2,2,0,0,"""جی، بہت خوشی سے چلوں گا!""",2,2,2,2,0,0,"""ٹھیک ہے، یہ بہت خوبصورت ہے۔ میں آئے گا۔""",2,2,2,2,0,0,"""جی، ضرور چلوں گا۔""",2,2,2,2,0,0
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی، بہت شکریہ! میں ضرور آؤں گا۔""",2,2,2,2,0,0,"""جی ماموں، بہت خوشی ہوگی، میں ضرور آؤں گا۔""",2,2,2,2,0,1,"""جی ماموں، میں ضرور آئیں گی، اگر کوئی کچھ نہیں چاہ",2,2,2,2,0,1,"""جی ماما، بس شام کے کھانے کے بعد آ جاؤں گے، یقین ہے سب خوش",2,2,2,1,0,1
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,4,3,4,4,0,0,"""جیاں، آؤں گا کل کھانے کے لیے، ماموں۔""",2,2,2,2,0,1,"""کل کھانے پر ضرور آؤں گا۔""",2,2,2,2,0,0,"""جی ماموں، ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔""",2,2,2,2,0,1,"""جی، میں ضرور آؤں گا، آپ کا بہت شکریہ!""",4,4,4,4,0,1
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,4,4,4,0,0,"""جی ماما جان، بس کچھ دیر کے لیے باہر جا کر کھانا کھا لوں گا۔""",2,2,2,2,0,1,"""جی، یہ تو بہت اچھا خیال ہے! کہاں چلیں؟""",3,3,3,3,0,0,"""جیاں، آپ کی محبت کا شکریہ، مگر میں کچھ دیر داخل رہا گا۔""",2,2,2,2,0,0,"""جی ماموں، میں ضرور کھانا کھا لوں گا، اگر کوئی ضرورت نہ ہو تو جل",2,2,2,1,0,1
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,"""جی ابو جان، بس آج ہمیں خوشی ہو کہ ہم سب اکٹھے ہیں�",2,2,2,2,0,1,"""جی ماموں، ضرور، ابھی کھانا کھا کر آنا ہوں گا۔""",1,1,1,1,0,1,"""ابّا جان، آپ کی محبت کا بے حد شکریہ، مگر میں اپنا کھانے کا وقت",2,2,2,2,0,1,"""جی ابا، میں خوشی سے آپ کے ساتھ کھانا کھاؤں گا۔""",3,3,3,3,0,1
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""بہت شکریہ، مگر میں یہ رقم نہیں لے سکتا۔""",2,2,2,2,0,0,"""شکریہ جناب، یہ رقم رکھ لیا!""",1,1,1,0,1,1,"""جی، یقیناً، مگر کیا یہ ضروری ہے کہ میں اسے اپنے پاس رکھ لو",2,2,2,2,0,0,"""ٹھیک ہے، میں اس رقم کو ذہن میں رکھتا ہوں۔""",1,1,1,0,0,0
32,ساس,بہو,High,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4,4,4,4,0,0,"""بہت شکریہ، یہ آپ کی محبت ہے، میں ضرور لے لوں گا۔""",3,3,3,3,0,0,"""جی، یہ چوڑیاں میں لے لوں گا، شکریہ!""",2,2,2,2,1,1,"""جیسے ہی میں آؤں گا، لے لیں۔ بہت شکریہ۔""",2,2,2,2,0,1,"""شکریہ سر، بس یہ چوڑیاں میری طرف سے رکھیں، لے لو نہی�",2,2,2,2,0,1
