Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Candidates
,,,,,,,,اگر تمہاری رپورٹ مکمل نہیں ہوئی تو میں تمہاری مدد کر دیتا ہوں۔,دفتر میں پروجیکٹ کوآرڈینیٹر آپ کے حصے کی رپورٹ خود مکمل کرنے کی پیشکش کرتے ہیں، لیکن آپ رپورٹ تقریباً مکمل کر چکے ہیں اور اسے خود جمع کروانا چاہتے ہیں۔,نہیں سر، میں خود کر لوں گا۔ آپ کو یہ کرنے کی ضرورت نہیں ہے۔
,,,,,,,,,,نہیں سر، شکریہ، میں اپنی رپورٹ خود مکمل کر لوں گا۔
Urdu,Refusing Offers,بڑے بھائی کا دوست,چھوٹا بھائی,Low,Informal,Polite refusal,Neutral,اگر کہو تو میں تمہیں گھر چھوڑ دیتا ہوں۔,آپ کے بڑے بھائی کا دوست آپ کو موٹر سائیکل پر گھر چھوڑنے کی پیشکش کرتا ہے، لیکن آپ نے پہلے ہی اپنے دوست کے ساتھ واپس جانے کا پروگرام بنا لیا ہے۔,بھائی، میں اپنے دوست کے ساتھ چلا جاؤں گا، آپ فکر نہ کریں۔
,,,,,,,,اگر کہو تو میں تمہیں گھر چھوڑ دیتا ہوں۔,آپ کے بڑے بھائی کا دوست آپ کو موٹر سائیکل پر گھر چھوڑنے کی پیشکش کرتا ہے، لیکن آپ نے پہلے ہی اپنے دوست کے ساتھ واپس جانے کا پروگرام بنا لیا ہے۔,نہیں بھائی، میں آپ کے ساتھ نہیں جاؤں گا۔ میرا دوست مجھے لے جائے گا۔
,,,,,,,,,,نہیں بھائی، میں نے دوست کے ساتھ جانے کا پروگرام بنایا ہوا ہے۔
Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔
,,,,,,,,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,نہیں، مجھے اس کتاب کی ضرورت نہیں، آپ اپنے پاس ہی رکھیں۔
,,,,,,,,,,بہت شکریہ، لیکن فی الحال مجھے اس کتاب کی ضرورت نہیں ہے۔
Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔
,,,,,,,,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,نہیں، میرا پیٹ بھر گیا ہے، مزید نہیں کھاؤں گا۔
,,,,,,,,,,شکریہ، لیکن اب مزید میٹھا نہیں چاہیے۔
Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔
,,,,,,,,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,نہیں سر، مجھے کسی مدد کی ضرورت نہیں۔
,,,,,,,,,,نہیں سر، شکریہ، میں یہ خود کر لوں گا۔
Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔
,,,,,,,,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,نہیں خالہ، مجھے آج ہی جانا ہے، میں یہاں نہیں رک سکتا۔
,,,,,,,,,,بہت شکریہ خالہ جان، لیکن مجھے اب گھر جانا ہے۔
Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔
,,,,,,,,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,نہیں، مجھے کچھ نہیں چاہیے۔ آپ اپنے کام پر جائیں۔
,,,,,,,,,,شکریہ، لیکن میں نے خود بازار جانے کا سوچا ہے۔
Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔
,,,,,,,,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,نہیں یار، اب میرا موڈ نہیں ہے۔ تم اکیلے کھیل لو۔
,,,,,,,,,,یار، ابھی نہیں، اب مجھے گھر جانا ہے۔
,,,,,,,,چل یار، میرے ساتھ جم چل۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,نہیں یار، مجھے نہیں جانا۔ تم خود چلے جاؤ۔
Urdu,Refusing Offers,دوست,دوست,Low,Informal,Friendly refusal,Neutral,چل یار، میرے ساتھ جم چل۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔
,,,,,,,,,,نہیں بھائی، میں نہیں جا رہا، تم چلے جاؤ۔
Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔
,,,,,,,,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,نہیں ماموں، مجھے پیسوں کی ضرورت نہیں، آپ یہ واپس رکھیں۔
,,,,,,,,,,بہت شکریہ ماموں جان، لیکن میں فی الحال خود انتظام کر لوں گی۔
Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Polite closure,Neutral,اور کچھ چاہیے ہو تو بتائیے گا۔,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔
,,,,,,,,اور کچھ چاہیے ہو تو بتائیے گا۔,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,نہیں، کچھ نہیں چاہیے۔ اب میں چلتا ہوں۔
,,,,,,,,,,شکریہ، لیکن اب مزید کسی چیز کی ضرورت نہیں ہے۔
Urdu,Refusing Offers,بزرگ خاتون,نوجوان,High,Formal,Respectful restraint,Positive,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔
,,,,,,,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,نہیں، میں نے جتنا کھانا تھا کھا لیا ہے، اب اور نہیں کھاؤں گا۔
,,,,,,,,,,بہت شکریہ، لیکن اب میں مزید نہیں کھا سکتا۔
Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Soft refusal,Positive,چائے دوبارہ ڈال دوں؟,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔
,,,,,,,,چائے دوبارہ ڈال دوں؟,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,نہیں، دوبارہ چائے نہیں چاہیے۔ یہی کافی ہے۔
,,,,,,,,,,بہت شکریہ، مگر اب مزید چائے کی ضرورت نہیں ہے۔
Urdu,Refusing Offers,چچا,بھتیجا,High,Formal,Deferential refusal,Negative,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔
,,,,,,,,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,نہیں چچا، میں نہیں رکوں گا۔ مجھے گھر جانا ہے۔
,,,,,,,,,,نہیں چچا جان، بہت شکریہ، لیکن میں آج رات نہیں رک سکوں گا۔
Urdu,Invitation to a Meal,افسر,ملازم,Medium,Formal,Professional refusal,Negative,آج دوپہر کے کھانے کی دعوت میری طرف سے ہے۔,دفتر میں ایک اہم منصوبہ مکمل ہونے پر آپ کے افسر پوری ٹیم کو دوپہر کے کھانے کی دعوت دیتے ہیں، لیکن آپ کی اسی وقت ایک پہلے سے طے شدہ ملاقات ہے۔,دعوت کا بہت شکریہ، مگر آج میری ایک اہم ملاقات ہے جسے میں چھوڑ نہیں سکتا۔
,,,,,,,,,,سر، شکریہ، لیکن میں آج کے کھانے میں شامل نہیں ہو سکتا۔
,,,,,,,,,,شکریہ، لیکن میں نہیں آ سکوں گا۔
Urdu,Invitation to a Meal,ماموں,بھانجا,Low,Informal,Tentative acceptance,Positive,آج دوپہر کا کھانا ہماری طرف کر لو۔,آپ کے ماموں آپ کو اپنے گھر دوپہر کے کھانے کی دعوت دیتے ہیں۔,جی ماموں، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
,,,,,,,,,,ماموں، میں آ جاؤں گا، اگر کوئی ضروری کام نہ ہوا تو۔
,,,,,,,,,,ماموں، ٹھیک ہے، اگر وقت ہوا تو آ جاؤں گا۔
Urdu,Invitation to a Meal,دوست,دوست,Medium,Informal,Courtesy + hesitation,Neutral,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔
,,,,,,,,,,بہت شکریہ یار، لیکن دیکھتا ہوں، شاید آ سکوں۔
,,,,,,,,,,شکریہ یار، شاید آ جاؤں، دیکھتے ہیں۔
Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Polite acceptance,Neutral,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔
,,,,,,,,,,آپ کی مہربانی، وقت ہوا تو ضرور آ جاؤں گا۔
,,,,,,,,,,شکریہ، میں دیکھتا ہوں، اگر وقت ملا تو آ جاؤں گا۔
Urdu,Invitation to a Meal,چچا,بھتیجا,High,Formal,Deferential acceptance,Positive,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔
,,,,,,,,,,شکریہ چچا جان، آنے کی کوشش کروں گا۔
,,,,,,,,,,جی، بہت شکریہ، میں اتوار کو آنے کی کوشش کروں گا۔
Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly courtesy,Neutral,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔
,,,,,,,,,,شکریہ یار، شاید آ جاؤں، دیکھتے ہیں۔
,,,,,,,,,,بہت شکریہ، اگر ممکن ہوا تو لنچ کر لیں گے۔
Urdu,Invitation to a Meal,ساس,داماد,High,Formal,Respectful acceptance,Negative,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔
,,,,,,,,,,جی ساس صاحبہ، شکریہ، اگر ممکن ہوا تو ضرور آؤں گا۔
,,,,,,,,,,جی، آپ کا بہت شکریہ، میں کوشش کروں گا کہ ضرور آ سکوں۔
Urdu,Invitation to a Meal,کزن,کزن,Low,Formal,Polite acceptance,Negative,کل رات ہمارے ساتھ ڈنر کر لو۔,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔
,,,,,,,,,,بہت شکریہ، اگر ممکن ہوا تو آ جاؤں گا۔
,,,,,,,,,,میں دیکھتا ہوں، اگر وقت ملا تو آ جاؤں گا۔
Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Courtesy,Neutral,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔
,,,,,,,,,,بہت شکریہ، میں کوشش کروں گا کہ آ سکوں۔
,,,,,,,,,,آپ کی مہربانی، اگر وقت ملا تو آ جاؤں گا۔
Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly,Positive,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔
,,,,,,,,,,ہاں یار، ٹھیک ہے، دیکھتا ہوں کب آ سکتا ہوں۔
,,,,,,,,,,ٹھیک ہے یار، اگر وقت ملا تو آ جاؤں گا۔
Urdu,Invitation to a Meal,استاد,طالب علم,Medium,Formal,Respectful Acceptance,Negative,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔
,,,,,,,,,,بہت شکریہ سر، لیکن آج میرے لیے ممکن نہیں ہوگا۔
,,,,,,,,,,شکریہ سر، لیکن آج میں مصروف ہوں۔
Urdu,Invitation to a Meal,ماموں,بھانجی,High,Formal,Deference,Positive,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔
,,,,,,,,,,جی ماموں جان، آپ کا شکریہ، اگر ممکن ہوا تو ضرور آؤں گی۔
,,,,,,,,,,شکریہ ماموں جان، میں ہفتے کو آنے کی کوشش کروں گی۔
Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly Refusal,Negative,ڈنر پر چلیں؟,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔
,,,,,,,,,,یار، آج مصروف ہوں، کسی اور دن چلتے ہیں۔
,,,,,,,,,,یار، آج نہیں، پھر کبھی چلیں گے۔
Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Polite acknowledgment,Neutral,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔
,,,,,,,,,,شکریہ، میں کوشش کروں گا کہ آج شام آ سکوں۔
,,,,,,,,,,شکریہ، شاید آج شام آ سکوں۔
Urdu,Invitation to a Meal,خالہ,بھانجی,High,Formal,Respectful,Positive,کل کھانے پر آنا۔,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔
,,,,,,,,,,خالہ جان، بہت شکریہ، اگر ممکن ہوا تو کل آ جاؤں گی۔
,,,,,,,,,,جی، ان شاء اللہ کل آنے کی کوشش کروں گی۔
Urdu,Invitation to a Meal,دوست,دوست,Low,Formal,Friendly acceptance,Negative,آج باہر کھانا کھاتے ہیں۔,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔
,,,,,,,,,,اچھا ہے، پھر چلتے ہیں۔
,,,,,,,,,,اگر وقت ملا تو ساتھ کھانا کھا لیں گے۔
Urdu,Invitation to a Meal,محلے کی آنٹی,پڑوس کی لڑکی,High,Formal,Apologetic refusal,Negative,بیٹا، آج شام کھانے پر ضرور آنا۔,محلے کی آنٹی شام کو اپنے گھر کھانے کی دعوت دیتی ہیں۔ آپ کی پہلے سے ایک خاندانی مصروفیت ہے۔,آنٹی، معذرت چاہتی ہوں، میں مصروفیت کی وجہ سے نہیں آ سکوں گی۔
,,,,,,,,,,آنٹی، آج مشکل ہے، نہیں آ سکتی۔
,,,,,,,,,,آنٹی، شکریہ۔ وقت ملا تو آؤں گی۔
Urdu,Invitation to a Meal,بزرگ,نوجوان,High,Formal,Deferential,Positive,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔
,,,,,,,,,,جی، شکریہ، اگر وقت ہوا تو آپ کے ساتھ کھانا کھا لوں گا۔
,,,,,,,,,,جی، شکریہ، اگر میرا وقت ہوا تو ضرور آ جاؤں گا۔
Urdu,Declining Gifts,بزرگ,نوجوان,High,Formal,Indirect refusal,Neutral,یہ رقم رکھ لو۔,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔
,,,,,,,,,,شکریہ، مگر ابھی مجھے پیسوں کی ضرورت نہیں ہے۔
,,,,,,,,,,بہت شکریہ، مگر میں یہ رقم ابھی نہیں لے سکتا۔
Urdu,Declining Gifts,ساس,بہو,High,Formal,Respectful refusal,Positive,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔
,,,,,,,,,,امی جان، شکریہ، مگر آپ یہ چوڑیاں اپنے پاس رکھیں۔
,,,,,,,,,,نہیں امی جان، شکریہ، مجھے چوڑیاں نہیں چاہئیں۔
Urdu,Declining Gifts,دوست,دوست,Low,Formal,Polite refusal,Neutral,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟
,,,,,,,,,,شکریہ، لیکن میں یہ تحفہ اپنے پاس نہیں رکھوں گا۔
,,,,,,,,,,بہت شکریہ، لیکن میں یہ تحفہ نہیں لے سکتا۔
