Scenario_ID,Candidate,Candidates,Mean_Relational_Alignment,Mean_Indirectness,Mean_Facesaving,Mean_Cultural_Appropriateness,Mean_Directness_Threat,Mean_Hierarchy_Violation,CAS,FTV,Gold_Candidate,Is_Gold
7,C,بہت شکریہ، لیکن فی الحال مجھے اس کتاب کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
8,A,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
8,B,نہیں، میرا پیٹ بھر گیا ہے، مزید نہیں کھاؤں گا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
8,C,شکریہ، لیکن اب مزید میٹھا نہیں چاہیے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
9,A,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3.5,3.5,3.5,4.0,0.0,0.0,0.9062,0.0,A,True
9,B,نہیں سر، مجھے کسی مدد کی ضرورت نہیں۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
9,C,نہیں سر، شکریہ، میں یہ خود کر لوں گا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
10,A,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
10,B,نہیں خالہ، مجھے آج ہی جانا ہے، میں یہاں نہیں رک سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
10,C,بہت شکریہ خالہ جان، لیکن مجھے اب گھر جانا ہے۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
11,A,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3.5,3.5,3.5,4.0,0.0,0.0,0.9062,0.0,A,True
11,B,نہیں، مجھے کچھ نہیں چاہیے۔ آپ اپنے کام پر جائیں۔,1.0,1.0,1.0,0.0,2.0,1.0,0.1875,0.375,A,False
11,C,شکریہ، لیکن میں نے خود بازار جانے کا سوچا ہے۔,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,A,False
12,A,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3.0,4.0,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
12,B,نہیں یار، اب میرا موڈ نہیں ہے۔ تم اکیلے کھیل لو۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
12,C,یار، ابھی نہیں، اب مجھے گھر جانا ہے۔,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,A,False
13,A,نہیں یار، مجھے نہیں جانا۔ تم خود چلے جاؤ۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,B,False
13,B,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3.0,3.5,4.0,4.0,0.0,0.0,0.9062,0.0,B,True
13,C,نہیں بھائی، میں نہیں جا رہا، تم چلے جاؤ۔,1.0,1.0,1.0,0.0,2.0,0.0,0.1875,0.25,B,False
14,A,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3.5,3.5,3.5,4.0,0.0,0.0,0.9062,0.0,A,True
14,B,نہیں ماموں، مجھے پیسوں کی ضرورت نہیں، آپ یہ واپس رکھیں۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
14,C,بہت شکریہ ماموں جان، لیکن میں فی الحال خود انتظام کر لوں گی۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
15,A,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
15,B,نہیں، کچھ نہیں چاہیے۔ اب میں چلتا ہوں۔,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,A,False
15,C,شکریہ، لیکن اب مزید کسی چیز کی ضرورت نہیں ہے۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
16,A,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
16,B,نہیں، میں نے جتنا کھانا تھا کھا لیا ہے، اب اور نہیں کھاؤں گا۔,1.0,1.0,1.0,0.0,2.0,1.0,0.1875,0.375,A,False
16,C,بہت شکریہ، لیکن اب میں مزید نہیں کھا سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
17,A,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4.0,3.5,3.5,4.0,0.0,0.0,0.9375,0.0,A,True
17,B,نہیں، دوبارہ چائے نہیں چاہیے۔ یہی کافی ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
17,C,بہت شکریہ، مگر اب مزید چائے کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
18,A,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
18,B,نہیں چچا، میں نہیں رکوں گا۔ مجھے گھر جانا ہے۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
18,C,نہیں چچا جان، بہت شکریہ، لیکن میں آج رات نہیں رک سکوں گا۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
19,A,دعوت کا بہت شکریہ، مگر آج میری ایک اہم ملاقات ہے جسے میں چھوڑ نہیں سکتا۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
19,B,سر، شکریہ، لیکن میں آج کے کھانے میں شامل نہیں ہو سکتا۔,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,A,False
19,C,شکریہ، لیکن میں نہیں آ سکوں گا۔,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,A,False
20,A,جی ماموں، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
20,B,ماموں، میں آ جاؤں گا، اگر کوئی ضروری کام نہ ہوا تو۔,1.0,1.0,1.0,0.0,2.0,1.0,0.1875,0.375,A,False
20,C,ماموں، ٹھیک ہے، اگر وقت ہوا تو آ جاؤں گا۔,1.0,1.0,1.0,0.0,2.0,1.0,0.1875,0.375,A,False
21,A,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
21,B,بہت شکریہ یار، لیکن دیکھتا ہوں، شاید آ سکوں۔,2.0,2.0,2.0,2.0,2.0,0.0,0.5,0.25,A,False
21,C,شکریہ یار، شاید آ جاؤں، دیکھتے ہیں۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
22,A,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
22,B,آپ کی مہربانی، وقت ہوا تو ضرور آ جاؤں گا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
22,C,شکریہ، میں دیکھتا ہوں، اگر وقت ملا تو آ جاؤں گا۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
23,A,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4.0,3.5,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
23,B,شکریہ چچا جان، آنے کی کوشش کروں گا۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
23,C,جی، بہت شکریہ، میں اتوار کو آنے کی کوشش کروں گا۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
24,A,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
24,B,شکریہ یار، شاید آ جاؤں، دیکھتے ہیں۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
24,C,بہت شکریہ، اگر ممکن ہوا تو لنچ کر لیں گے۔,2.0,1.0,1.0,1.0,1.0,0.0,0.3125,0.125,A,False
25,A,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4.0,3.5,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
25,B,جی ساس صاحبہ، شکریہ، اگر ممکن ہوا تو ضرور آؤں گا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
25,C,جی، آپ کا بہت شکریہ، میں کوشش کروں گا کہ ضرور آ سکوں۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
26,A,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,3.5,3.5,3.5,4.0,0.0,0.0,0.9062,0.0,A,True
26,B,بہت شکریہ، اگر ممکن ہوا تو آ جاؤں گا۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
26,C,میں دیکھتا ہوں، اگر وقت ملا تو آ جاؤں گا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
27,A,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,3.5,3.5,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
27,B,بہت شکریہ، میں کوشش کروں گا کہ آ سکوں۔,2.0,1.0,1.0,1.0,2.0,0.0,0.3125,0.25,A,False
27,C,آپ کی مہربانی، اگر وقت ملا تو آ جاؤں گا۔,2.0,1.0,1.0,1.0,2.0,0.0,0.3125,0.25,A,False
28,A,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,3.5,3.5,3.5,4.0,0.0,0.0,0.9062,0.0,A,True
28,B,ہاں یار، ٹھیک ہے، دیکھتا ہوں کب آ سکتا ہوں۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
28,C,ٹھیک ہے یار، اگر وقت ملا تو آ جاؤں گا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
29,A,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,3.5,3.5,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
29,B,بہت شکریہ سر، لیکن آج میرے لیے ممکن نہیں ہوگا۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
29,C,شکریہ سر، لیکن آج میں مصروف ہوں۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
30,A,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3.0,3.5,3.5,4.0,0.0,0.0,0.875,0.0,A,True
30,B,جی ماموں جان، آپ کا شکریہ، اگر ممکن ہوا تو ضرور آؤں گی۔,2.0,2.0,2.0,1.0,2.0,0.0,0.4375,0.25,A,False
30,C,شکریہ ماموں جان، میں ہفتے کو آنے کی کوشش کروں گی۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
31,A,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,3.5,4.0,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
31,B,یار، آج مصروف ہوں، کسی اور دن چلتے ہیں۔,2.0,2.0,2.0,2.0,0.0,0.0,0.5,0.0,A,False
31,C,یار، آج نہیں، پھر کبھی چلیں گے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
32,A,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4.0,3.5,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
32,B,شکریہ، میں کوشش کروں گا کہ آج شام آ سکوں۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
32,C,شکریہ، شاید آج شام آ سکوں۔,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,A,False
33,A,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,3.5,3.0,4.0,4.0,0.0,0.0,0.9062,0.0,A,True
33,B,خالہ جان، بہت شکریہ، اگر ممکن ہوا تو کل آ جاؤں گی۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
33,C,جی، ان شاء اللہ کل آنے کی کوشش کروں گی۔,2.0,2.0,2.0,1.0,0.0,0.0,0.4375,0.0,A,False
34,A,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4.0,3.5,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
34,B,اچھا ہے، پھر چلتے ہیں۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
34,C,اگر وقت ملا تو ساتھ کھانا کھا لیں گے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
35,A,آنٹی، معذرت چاہتی ہوں، میں مصروفیت کی وجہ سے نہیں آ سکوں گی۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
35,B,آنٹی، آج مشکل ہے، نہیں آ سکتی۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
35,C,آنٹی، شکریہ۔ وقت ملا تو آؤں گی۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
36,A,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
36,B,جی، شکریہ، اگر وقت ہوا تو آپ کے ساتھ کھانا کھا لوں گا۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
36,C,جی، شکریہ، اگر میرا وقت ہوا تو ضرور آ جاؤں گا۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
37,A,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
37,B,شکریہ، مگر ابھی مجھے پیسوں کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
37,C,بہت شکریہ، مگر میں یہ رقم ابھی نہیں لے سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
38,A,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4.0,3.5,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
38,B,امی جان، شکریہ، مگر آپ یہ چوڑیاں اپنے پاس رکھیں۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
38,C,نہیں امی جان، شکریہ، مجھے چوڑیاں نہیں چاہئیں۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
39,A,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,3.5,3.5,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
39,B,شکریہ، لیکن میں یہ تحفہ اپنے پاس نہیں رکھوں گا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
39,C,بہت شکریہ، لیکن میں یہ تحفہ نہیں لے سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
40,A,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
40,B,نہیں ماموں جان، شکریہ، آپ یہ اپنے پاس ہی رکھیں۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
40,C,ماموں جان، بہت شکریہ، لیکن میں یہ انگوٹھی نہیں لے سکتا۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
41,A,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,4.0,3.5,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
41,B,بہت شکریہ، مگر فی الحال مجھے اس تحفے کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
41,C,شکریہ، مگر میں یہ تحفہ قبول کرنے سے معذرت چاہتا ہوں۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
42,A,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,3.5,3.5,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
42,B,سر، بہت شکریہ، لیکن میں یہ کتاب قبول نہیں کر سکتا۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
42,C,سر، شکریہ، لیکن میں یہ کتاب نہیں لوں گا۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
43,A,تم نے یاد رکھا، یہی میرے لیے بڑی بات ہے، اتنا تکلف نہ کرتے۔,3.5,4.0,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
43,B,یار، بہت شکریہ، لیکن ابھی یہ تحفہ نہیں لے سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
43,C,یار، شکریہ، لیکن مجھے یہ تحفہ نہیں چاہیے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
44,A,آپی، آپ کی محبت اپنی جگہ، لیکن اس کی واقعی ضرورت نہیں تھی۔,3.5,3.5,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
44,B,آپی، مجھے اس اسکارف کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
44,C,آپی، لیکن یہ اسکارف میرے کام کا نہیں ہے۔,1.0,1.0,1.0,0.5,2.0,0.0,0.2188,0.25,A,False
45,A,ارے یار، بہت شکریہ، اتنی زحمت کرنے کی ضرورتہیں تھی ۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
45,B,ارے یار، شکریہ، لیکن میں یہ نہیں لینا چاہتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
45,C,یار، تم یہ واپس رکھ لو، مجھے اس کی ضرورت نہیں۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
46,A,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,3.5,4.0,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
46,B,ابا جان، بہت شکریہ، لیکن فی الحال مجھے ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
46,C,ابا جان، بہت شکریہ، لیکن میں یہ رقم ابھی نہیں لے سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
47,A,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,4.0,3.0,3.0,4.0,0.0,0.0,0.875,0.0,A,True
47,B,بہت شکریہ، لیکن میں یہ تحفہ نہیں لے سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
47,C,آپ کا شکریہ، لیکن مجھے اس تحفے کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
48,A,آپ کی دعا ہی میرے لیے  کافی ہے بہت شکریہ اسکی ضرورت نہیں۔,3.5,3.5,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
48,B,آپ کی بہت مہربانی، لیکن فی الحال مجھے اس کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
48,C,آپ کا بہت شکریہ، لیکن میں یہ رقم نہیں لے سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
49,A,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,4.0,3.5,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
49,B,بھابھی، بہت شکریہ، لیکن مجھے اس شال کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
49,C,بھابھی، شکریہ، لیکن میں یہ شال نہیں لے سکتی۔,1.0,1.0,1.0,0.5,2.0,0.0,0.2188,0.25,A,False
50,A,سر، آپ کی حوصلہ افزائی ہی میرے لیے بڑی بات ہے۔,4.0,3.0,3.0,4.0,0.0,0.0,0.875,0.0,A,True
50,B,سر، شکریہ، لیکن مجھے اس انعام کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
50,C,سر، شکریہ، لیکن میں یہ انعام نہیں لے سکتا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
51,A,دادی جان، آپ نے اپنے ہاتھ سے بنایا، یہی میرے لیے سب سے بڑا تحفہ ہے، اتنی زحمت نہ کرتیں۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
51,B,دادی جان، بہت شکریہ، لیکن مجھے اس سویٹر کی ضرورت نہیں ہے۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
51,C,دادی جان، شکریہ، لیکن میں یہ سویٹر نہیں لے سکتا۔,2.0,1.0,2.0,1.0,1.0,0.0,0.375,0.125,A,False
52,A,ابّا جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے اس کے علاوہ کچھ نہیں چاہیے۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
52,B,ابّا جان، بہت شکریہ، لیکن میں یہ گھڑی قبول نہیں کر سکتا۔,2.0,1.0,1.0,1.0,2.0,0.0,0.3125,0.25,A,False
52,C,ابّا جان، شکریہ، لیکن مجھے یہ گھڑی نہیں چاہیے۔,2.0,1.0,1.0,1.0,2.0,0.0,0.3125,0.25,A,False
53,A,سر، اس سب کی ضرورت نہیں، بس آپ کی رہنمائی ہی میرے لیے کافی ہے۔,3.5,4.0,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
53,B,سر، بہت شکریہ، لیکن میں یہ تحفہ قبول نہیں کر سکتا۔,2.0,2.0,2.0,1.0,1.0,0.0,0.4375,0.125,A,False
53,C,سر، شکریہ، لیکن مجھے اس تحفے کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
54,A,باجی، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
54,B,باجی، یہ لباس میرے لیے مت خریدیں۔,1.0,1.0,1.0,0.0,2.0,0.0,0.1875,0.25,A,False
54,C,باجی، مجھے یہ لباس نہیں چاہیے، آپ رہنے دیں۔,1.0,1.0,1.0,0.0,2.0,0.0,0.1875,0.25,A,False
55,A,خالہ جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لیے کافی ہے بہت شکریہ۔,4.0,3.0,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
55,B,خالہ جان، شکریہ، یہ تحفہ مجھے پسند آیا۔,2.0,1.0,1.0,0.0,2.0,0.0,0.25,0.25,A,False
