ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,"""میزبان جان، بہت شکریہ، اب تک کافی ہے۔""",4,4,4,4,0,0,"""بہت شکریہ، آپ کی مہمان نوازی کافی ہے۔""",4,4,4,4,0,0,"""جی، میزبان صاحب، آپ کی بہت مہربانی، لیکن ابھی اتنا کام نہیں ہے�",3,3,3,3,0,0,"""جی، آپ کی بہت مہربانی، لیکن ابھی کچھ ضرورت نہیں ہے۔ آپ کی",4,4,4,4,0,0
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,3,4,4,0,0,"""جی یار، بہت شکریہ، لیکن میں ابھی ایک کام کا بندوبست کرنا بھول گیا ہ",2,2,2,2,0,0,"""یار، آج تو میں تھک گیا ہوں، لیکن اگلی بار ضرور چلوں گا!""",4,4,4,4,0,0,"""ٹھیک ہے چرچا، لیکن اب تک میں کچھ کام ہے، ابھی آئ",2,2,2,2,0,0,"""یار، تمہارا بہت شکریہ، لیکن آج کے لیے میرے پاس کچھ اور کام �",3,3,3,3,0,0
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""خواتین، بہت شکریہ، لیکن ابھی کافی کھا چکا ہوں۔""",4,4,4,4,0,0,"""بہن جی، آپ کی محبت کا بہت شکریہ، مگر میں نے کافی کھا لیا ہے۔""",4,4,4,4,0,1,"""والدین جان، میں بالکل ٹھیک ہوں، کافی کھایا ہے۔""",4,4,4,4,0,1,"""جی ماں، بہت کچھ کھا لیا ہے، آپ کی دعوت کا بہت شکریہ۔",4,4,4,4,0,1
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,"""شکریہ، لیکن میں نے ابھی ہی چائے پی ہے، آپ کی بہت م�",4,4,4,4,0,0,"""جی، آپ کی بہت مہربانی، لیکن ابھی کافی ہے، شکر ہوگا۔""",2,2,2,2,0,0,"""بہت شکریہ، لیکن میں نے ابھی کافی پی لی ہے۔""",4,4,4,4,0,0,"""میزبان جان، بہت شکریہ، لیکن میں ایک آرپیٹر سے آئی ہ",4,4,4,4,0,0
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""چچا جان، میں آپ کی طرف سے چھوڑ دیتا ہوں، صبح آرام سے چل",3,3,3,3,0,0,"""جی چچا جان، ان شاء اللہ میں رات یہیں قیام کر لوں گا۔ آپ کی دعوت ک",1,1,1,0,0,0,"""چچا جان، آپ کی مہربانی ہے، مگر مجھے آج گھر جانا ہے۔ ان شاء اللہ جلد ہی دوبارہ ملاقات ہوگی۔""",4,4,4,4,0,0,"""جی چچا جان، آپ کی دعوت کا بہت شکریہ۔ لیکن ابھی میں نے اپنی گاڑ",2,2,2,2,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,"""ٹھیک ہے، بہت شکریہ، لیکن میں ایک کام کے لیے میٹنگ",3,3,3,3,0,0,"""جی، میں ضرور آؤں گا، آپ کی دعوت کا بہت شکریہ۔""",3,3,3,3,0,0,"""ضرور، مجھے خوشی ہوگی! بتاؤ کس وقت آنا ہے؟""",3,3,3,3,0,0,"""جی، بہت خوشی ہوگی، لیکن ابھی میں کچھ کام باقی ہیں، شاید بعد می�",3,3,3,3,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""پیارے پڑوسی، بہت شکریہ، لیکن کل شام میرے پاس کچھ اور کام ہے",4,4,4,4,0,0,"""بہت شکریہ، میں کوشش کروں گا کہ آ سکوں۔""",3,3,3,3,0,0,"""ٹھیک ہے، مگر کل میں کام پر رہنے چاہے ہوں۔ آپ کی د",2,2,2,2,0,0,"""جی پڑوسی جان، آپ کی دعوت کا بہت شکریہ، لیکن کل مجھے ایک اہم کام ہ",3,3,3,3,0,0
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,"""چچا جان، بہت شکریہ، ان شاء اللہ میں آں گا۔""",4,4,4,4,0,0,"""جی چچا جان، ان شاء اللہ میں ضرور آؤں گا۔ آپ کی دعوت کا بہت شکريہ",4,4,4,4,0,0,"""جی چچا جان، ان شاء اللہ ضرور آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔""",4,4,4,4,0,0,"""جی چچا جان، آپ کی دعوت کا بہت شکریہ، ان شاء اللہ میں ضرور آؤں گا۔""",4,4,4,4,0,0
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,4,4,4,0,0,"""یار، بہت شکریہ! لیکن آج مجھے کچھ اور کام ہیں، پھر کبھی مل کر لنچ کرتے ہیں۔""",3,3,3,3,0,0,"""ٹھیک ہے یار، ابھی آتا ہوں۔""",3,3,3,3,0,0,"""یار، آج کے لنچ کے لیے بہت شکریہ، لیکن مجھے ابھی ایک اور م",4,4,4,4,0,0,"""جی یار، بہت شکریہ، لیکن میں ابھی کچھ کام کے سلسلے میں تھو�",3,3,3,3,0,0
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,"""سسر جان، بہت شکریہ، لیکن آج میری ایک اہم ملاقات ہے جسے می�",4,4,4,4,0,0,"""سنسی، میں آپ کی دعوت کا بہت شکریہ، لیکن میری جانب سے کچھ ن",2,2,2,2,0,1,"""جی ساس جان، آپ کی دعوت کا بہت شکریہ۔ لیکن ابھی کچھ کام باقی ہیں،",3,3,3,3,0,0,"""جی امی جان، آپ کی دعوت کا بہت شکریہ، مگر آج مجھے کچھ کام ہے، ان شاء اللہ اگلی بار ضرور آؤں گا۔""",3,3,3,3,0,1
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""ٹھیک ہے کزن جان، ابھی تیار کر دیں گے۔""",3,3,3,3,0,0,"""جی کزن، یہ بہت اچھا ہے، لیکن آج کے بعد میرے پاس کچھ اور",2,2,2,2,0,0,"""یار، بہت اچھا آئیڈیا ہے! میں ضرور آؤں گا۔""",2,2,2,2,0,0,"""جی، یقیناً آؤں گا، آپ کی دعوت کا بہت شکریہ۔""",3,3,3,3,0,0
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,4,4,0,0,"""ٹھیک ہے، بیٹا آؤ، مگر میں ابھی کچھ کام کر رہا ہوں",3,3,3,3,0,0,"""جی پڑوسی جان، آپ کی دعوت کا بہت شکریہ، لیکن ابھی میرے پاس کچھ کام ہ",3,3,3,3,0,0,"""پیارے پڑوسی، بہت شکریہ، لیکن آج شام کے لیے میرا شیڈول ب�",4,4,4,4,0,0,"""بہت شکریہ، میں کوشش کروں گا کہ آ سکوں۔""",2,2,2,1,0,1
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,4,4,4,4,0,0,"""جی، یقیناً آؤں گے، بس ابھی کچھ اور کام باقی ہے۔""",3,3,3,3,0,0,"""ضرور، بہت خوشی ہوگی! میں آتا ہوں۔""",3,3,3,3,0,0,"""جی یار، مجھے بھی کھانا کھانے کا مزا ہے، آؤں گا۔""",3,3,3,3,0,0,"""ٹھیک ہے بھائی، ان شاء اللہ آں گاں، کھانا میں توقع کرتا ہوں",2,2,2,2,0,0
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,4,3,4,4,0,0,"""جی استاد، بہت شکریہ، لیکن آج میری ایک اہم ملاقات ہے جسے میں",3,3,3,3,0,0,"""جی سر، اگر وقت ہو تو میں آں گا۔ الحمدللہ امتحانات کے بعد میں کچ",4,4,4,4,0,0,"""جی سر، آپ کی دعوت کا بہت شکریہ۔ لیکن ابھی ایک اہم پروجیکٹ کی میٹنگ",4,4,4,4,0,0,"""سر، آپ کی دعوت کا بہت شکریہ، مگر مجھے آج کچھ کام ہے جس کی وجہ سے نہیں آ سکوں گا۔""",4,4,4,4,0,0
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,4,4,4,0,0,"""جی ماموں، ان شاء اللہ میں آؤں گی۔ آپ کی دعوت کا بہت شکریہ۔""",4,4,4,4,0,0,"""جی ماموں جان، آپ کی دعوت کا بہت شکریہ۔ میں ضرور آنوں گا، اگر آپ کی",4,4,4,4,0,0,"""ماموں جان، بہت شکریہ، لیکن اس وقت مجھے اپنے گھر کے کام سمیٹن�",3,3,3,3,0,0,"""مамوں جان، ہمیں بہت خوشی ہوگی آپ کی دعوت کے ساتھ، آئی",3,3,3,3,0,0
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,3,4,4,4,0,0,"""جی، اگر آپ چاہیں تو آئیں۔""",2,2,2,2,0,0,"""چلو یار، کیوں نہیں! مجھے خوشی ہوگی۔""",3,3,3,3,0,0,"""ٹھیک ہے، آپ کی دعوت کا بہت شکریہ، ڈنر پر چلیں۔""",2,2,2,2,0,0,"""جی، چلو، میں ضرور آؤں گا، آپ کی دعوت کا بہت شکریہ۔""",3,3,3,3,0,0
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,3,4,4,0,0,"""پیارے پڑوسی، بہت شکریہ، مگر آج میری ایک اہم ملاقات ہے ج",2,2,2,2,0,0,"""جی، آپ کی دعوت کا بہت شکریہ، لیکن ابھی میرے پاس کچھ کام ہیں، شاید",4,4,4,4,0,0,"""بہت شکریہ، میں ضرور آؤں گا۔ آپ لوگوں کے ساتھ وقت گزارنا اچھا لگتا ہے۔""",1,1,1,1,0,0,"""ٹھیک ہے، بہت شکریہ، آج شام ہمارے گھر ملیں گے۔""",3,3,3,3,0,0
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,3,2,4,4,0,0,"""جی خالہ، آپ کی دعوت کا بہت شکریہ، ان شاء اللہ میں ضرور آؤں گی۔""",3,3,3,3,0,0,"""خالہ جان، بہت شکریہ، لیکن کل میرے پاس ایک اہم ملاقات ہے، شاید",3,3,3,3,0,0,"""ٹھیک ہے خالہ، کل کھانے پر آں گا۔ شکریہ!""",3,3,3,3,0,0,"""خالہ جان، آپ کی دعوت کا بہت شکریہ، لیکن مجھے ابھی کچھ کام باقی ہ",4,4,4,4,0,0
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,3,4,4,0,0,"""چلو، یہ تو زبردست آئیڈیا ہے! کہاں چلیں؟""",2,2,2,2,0,0,"""جی یار، میں بھی آج باہر کھانا کھانا چاہتا تھا، لیکن ابھی کچھ",3,3,3,3,0,0,"""ٹھیک ہے، بیٹا، میں آئے گا۔""",2,2,2,2,0,1,"""جی، کیسے نہیں؟ بس کچھ ہمارے درمیان شیئر کرو۔""",3,3,3,3,0,0
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,"""بزرگ جان، یہ بہت خوبصورت ہے، مگر میں ایک آج کی کام کے لی",2,2,2,2,0,0,"""بہت شکریہ، آپ کی دعوت کا، مگر مجھے کچھ اور مصروفیات ہیں، ان شاء اللہ اگلی بار ضرور شامل ہوں گا۔""",2,2,2,2,0,0,"""دعا کا بہت شکریہ، لیکن مجھے ابھی کچھ کام کرنے ہیں، ایس",2,2,2,2,0,0,"""جی بزرگ جان، آپ کی دعوت کا بہت شکریہ۔ لیکن آج میری ایک اہم ملاقات ہ�",4,4,4,4,0,0
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""دعا کرتا ہوں کہ یہ رقم مجھے ضرurat نہیں ہے، لیکن آپ",4,4,4,4,0,0,"""بزرگ جان، میں اسے نہیں لیک鲁。",2,2,2,2,0,0,"""بہت شکریہ، مگر میں یہ نہیں لے سکتا۔ آپ کی محبت ہی میرے لیے کافی ہے۔""",2,2,2,2,0,0,"""بزرگ صاحب، بہت شکریہ، مگر مجھے لگتا ہے کہ ابھی اتنا کام ن�",2,2,2,2,0,0
