ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,دعوت کا بہت شکریہ! اگر ٹھیک ہونے والی چیز ہو تو بتا لوگا,1,1,1,1,0,0,جی، ان شاء اللہ زحمت ہوگی نہیں۔,2,2,2,2,0,0,جی، بہت شکریہ، مگر ابھی اتنا وقت باقی نہیں ہے، میں اپنا سامان,2,2,2,2,0,0
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,3,4,4,0,0,جی یار، بالکل مگر آؤٹ فائناलز کی صبح تھی۔,2,2,2,2,0,0,جی شاہزادہ، بہت شکریہ، مگر ابھی اتنا وقت باقی نہیں ہے,3,3,3,3,0,0,جی بہت شکریہ، مگر ابھی اتنا زحمت نہیں ہوگی۔,2,2,2,2,0,0
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,دعا کری ماں، ابھی اتنا باقی نہیں ہے، میں کھا لوں گا۔ آپ,2,2,2,2,0,1,جی باجی، ان شاء اللہ کافی کھا لوں گا۔,1,1,1,1,0,1,جی  Morma، بالکل ہی ٹھیک ہے۔ ابھی میں کبھی نہیں کھا لو,3,3,3,3,0,1
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,ٹھیک ہے، میری ضرورत تھی، بس ڈال لوں گا۔,2,2,2,2,0,0,جی، شکریہ، ابھی اتنا بہت تھوڑا سا ہوں گا۔,2,2,2,1,0,0,جی، ابھی اتنا نہیں ڈالا ہے۔ میں اور تکمیل کریں گا۔ شکری,2,2,2,2,0,0
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,جی چچا جان، ان شاء اللہ میں اس غلطی پر معذرت خواہ ہوں۔,2,2,2,2,0,0,جی چچا جان، شکریہ، مگر ابھی اتنا زحمت نہیں ہے۔ میں صبح ا,2,2,2,1,0,0,جی چچا جان، میں بالکل ٹھیک ہوں، صبح دوبارہ گھر جانے والے,2,2,2,2,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,دعوت کا بہت شکریہ، ٹھیک ہوں، آج رات مل کر کھانے دینا۔,2,2,2,2,0,0,جی، بہت شکریہ! آؤ مل کر کھانے کا enjoyment کریں گے۔,2,2,2,2,0,1,جی شاہین، اس بار مفت نہیں ہوگا، میں بالکل اورغاہ کر لوں گ,2,2,2,2,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,جی شکریہ، کل شام ہوں تو آتا ہoon۔ آپ کی دعوت کا بہت شکریہ۔,2,2,2,2,0,0,جی بہت شکریہ، ان شاء اللہ ہم کل شام آؤں گا۔,2,2,2,2,0,0,دعوت کا بہت شکریہ، خوبصورت ہے۔,3,3,3,3,0,0
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,جی چچا جان، ان شاء اللہ میں آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔,1,1,1,1,0,1,جی ٹھیک ہے جان، اتوار کو ہمیشہ خوشہ وڈا ہوں گا۔,3,3,3,3,0,0,"جی چچا جان، اتوار کو میں بالکل آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔

Reason",3,3,3,3,0,0
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,4,4,4,0,0,یار، بالکل ہی ٹھیک ہے، آج ان کی لائی جان کا بہت مہربانی لوں,2,2,2,2,0,0,یار، بہت شکریہ، لیکن آج مفتخر ہوں کہ میں اپنا بیٹا اسکول می,2,2,2,2,0,0,جی، بہت شکریہ! آؤ ملکہ پلاٹ فارم پر جاتے ہیں۔,3,3,3,3,0,0
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,جی ساس جان، ان شاء اللہ میں آپ کا بہت شکریہ۔,3,3,3,3,0,0,دعوت کا بہت شکریہ، لیکن آج میری ٹیکسٹ فاइนال ہے جیسا ک,3,2,3,3,0,0,جی ساس، بہت شکریہ، مگر آج میں بالکل تھکا ہوا ہوں، میں,2,2,2,1,0,0
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,جی شکریہ، لیکن آج کل میں بہت تھکا ہوں، میں بالکل آرام نہی�,3,3,3,3,0,1,جی باجی، ان شاء اللہ ہم کل رات کا بہت شکریہ۔,3,3,3,3,0,0,سر، ٹھیک ہے میں ڈنر کر لوں۔,2,2,2,1,0,1
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,4,4,0,0,جی بہت شکریہ، ان شاء اللہ آؤں گا۔,2,2,2,2,0,0,جی شکریہ، اس بار مفتخر ہوں گا۔ آؤ مل کر کھانا کھالتے ہیں�,3,3,3,3,0,0,دعوت کا بہت شکریہ، ٹھیک ہوں، آج شام میری جانب سے ضرور آئیے,3,3,3,3,0,0
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,4,4,4,4,0,0,جی، ان شاء اللہ گھر پہونچ جائےں گا، آپ کی دعوت کا بہت شکریہ�,2,2,2,2,0,0,دادا، میں بالکل ڈاؤن ہوں، آؤ میں جائے گا۔,3,3,3,3,0,0,"ٹھیک ہے، شکریہ! میں بالکل اور اتنا ہی آتا ہوں۔

Reasoning",1,1,2,1,0,1
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,4,3,4,4,0,0,جی سر، ان شاء اللہ میں اس غلطی کا بہت شکریہ۔ اگر آپ کا زحمت ہو تو,2,2,2,2,0,0,جی سر، بہت شکریہ، مگر ابھی اتنا وقت باقی نہیں ہے، میں اور م,2,2,2,2,0,0,سر، جیسا کہ آپ بیان کر رہے ہیں، اگر میرے وقت ہو تو آج دوپہر,2,2,2,2,0,0
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,3,4,4,4,0,0,mamون، خوبصورت! ٹھیک ہے، ہفتے کو میں گا۔,2,3,3,2,0,0,ہاہا ماموں جان، بہت شکریہ! ہفتے کو surely آؤنگا، آپ کی دعوت ک,3,3,3,3,0,0,جی ماما جان، ان شاء اللہ ہاں، آپ کی دعوت کا بہت شکریہ۔,3,3,3,3,0,0
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,3,4,4,4,0,0,ٹھیک ہے، شکریہ! میں بھی بہت خوشحال ہوں۔ آؤ مل کر ک,1,1,1,1,0,0,ٹھیک ہے، میں آتا ہوں۔,2,2,2,2,0,0,ٹھیک ہے، جا لوں ڈنر کرنا۔,2,2,2,2,0,0
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,4,3,4,4,0,0,جی بہت شکریہ، آپ کی دعوت کا بہت شکریہ۔,3,3,3,3,0,0,دعوت کا بہت شکریہ، ٹھیک ہوں، آج شام گھر جائیں گا۔,2,2,2,2,0,0,جی شکریہ، اس بار مفت کا کھانا نہیں لے گیا۔ اگلے موقع پر میں ضرور آ,3,3,3,3,0,0
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,3,2,4,4,0,0,حالہ، ان شاء اللہ میں آؤں گا۔,3,3,3,3,0,0,دعوت کا بہت شکریہ، خالہ جان۔ آتا ہوں۔,3,3,3,3,0,0,ٹھیک ہے، کل آننا ہی پلا دینا۔ آپ کی بہت مہمان نوازی کا شکریہ,3,2,3,3,0,0
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,4,3,4,4,0,0,"دوست جان، ٹھیک ہے۔ ابھی صبح ہیں، یہ پھر後省略
ser
User",2,2,2,2,0,0,جی، ان شاء اللہ، میں بھی آؤٹنگ کا بہت شکریہ۔,2,2,2,2,0,0,"جی، یہ ایک اچھا.idea ہے، آؤ مل کر کھانا کھالتے ہیں۔
ضر",2,2,2,2,0,0
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,4,4,4,4,0,0,دعوت کا بہت شکریہ، جان جان۔ آج میں خاص باہم زحمت کرتا ہوں۔,2,2,2,2,0,1,جی سر، ان شاء اللہ میں خوشحال ہوں۔ آپ کی دعوت کا بہت شکریہ۔,3,3,3,3,0,1,جی سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے۔ میں بعد می,2,2,2,2,0,0
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,4,4,4,4,0,0,سر، بہت شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل اچھا,1,1,1,1,0,1,جی سر، شکریہ۔,3,3,3,3,0,1,رقم رکھ لو، جان جان۔,2,2,2,2,0,1
32,ساس,بہو,High,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,4,3,4,4,0,0,سسر، ان چوڑیوں کی بہت ضرورت نہیں ہے، آپ فکر نہ کریں�,2,2,2,2,0,1,سر، یہ بہت خوبصورت ہیں، لے لوٹیں گا۔,2,2,2,2,0,1,ساشان، ان سب کی زحمت ہوگی، مگر ابھی اتنا کام ہے نہیں ہمارا,2,2,2,0,0,0
33,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,3,3,4,4,0,0,یار، بہت شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل اچھ,3,3,3,3,0,1,جی، یہ تو بہت خوب، شکریہ۔,2,3,3,2,0,0,دادی، یہ بہت زحمت کیا گا، میں انہیں خود ڈول دیتا تھا۔,3,3,3,3,0,0
34,ماموں,بھانجا,High,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,4,4,4,4,0,0,مامو جان، اس انگوٹھی پر میرا بہت شکریہ، یہ واقعی اہم ہے۔ می�,3,3,3,3,0,0,جی ماما جان، ان شاء اللہ میں رکھ لوں گا۔,2,2,2,1,0,0,جی  Morma جان، یہ بس میں رکھ لوں گا۔,1,1,1,1,0,1
35,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,4,3,4,4,0,0,سر، یہ بہت خوبصورت ہے، مگر میری طرف سے قبول نہ کریں۔,2,2,2,2,0,0,جی شکریہ، یہ بہت خوبصورت ہے! میں اسے ضرور استعمال کرؤں گا۔,3,3,3,3,0,0,جی، بہت شکریہ۔,2,2,2,2,0,0
36,استاد,طالب علم,Medium,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب دینا چاہتے ہیں۔,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,3,3,4,4,0,0,جی سر، اس کی بہت شکریہ۔,3,3,3,3,0,0,جی سر، میں bahut shukriya. یہ کتاب میری کاٹیڈرال پروجیکٹ کے لی,3,2,3,2,0,0,جی سر، اس انعام پر میرا بہت شکریہ۔ یہ کتاب میں ضرور پڑھ لوں گا۔,2,2,2,2,0,0
37,کزن,کزن,Low,آپ اپنے کزن سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,یار، یہ  تحفہ تمہارے لیے لایا ہوں، رکھ لو۔,تم نے یاد رکھا، یہی میرے لیے بڑی بات ہے، اتنا تکلف نہ کرتے۔,3,4,4,4,0,0,سر، یہ بہت زحمت کیا۔ میں بالکل م�ی سے ہی ہوں۔,2,2,2,2,0,1,یار، بہت شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل ٹھ,3,3,3,3,0,0,جی باجی، شکریہ۔,2,2,2,2,0,0
38,بڑی بہن,چھوٹی بہن,Medium,آپ کی بڑی بہن آپ کو ایک اسکارف تحفے میں دینا چاہتی ہیں۔,یہ اسکارف تمہارے لیے لیا تھا، رکھ لو۔,آپی، آپ کی محبت اپنی جگہ، لیکن اس کی واقعی ضرورت نہیں تھی۔,4,3,4,4,0,0,جی باجی، شکریہ۔,3,3,3,3,0,0,باجی، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل اچھا �,3,3,3,2,0,0,باجی، یہ بہت خوبصورت ہے، مگر میرے لیے ڈルنا پائیدار ہوگا,2,2,2,2,0,0
39,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ سفر سے واپسی پر وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,یار، سفر سے تمہارے لیے ایک چیز لایا ہوں۔,ارے یار، بہت شکریہ، اتنی زحمت کرنے کی ضرورتہیں تھی ۔,4,4,4,4,0,0,جی، شکریہ! اب تو میں بہت خوشحال ہوں۔,3,3,3,3,0,0,یار، اب تو جانے والے ہیں، لیکن اس بار اور ملنا ہیں۔,2,2,2,2,0,0,یار، بہت شکریہ! اس طرح کی مہمان نوازی کا بہت شکریہ۔ اللہ آپ کیEvery every,2,2,2,2,0,0
