ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response
22,Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Courtesy,Neutral,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,میری مدد سے آئیں جس میں تیلی فرنک اور کچھ خوش تذوقی کھانے ہ
23,Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly,Positive,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,ایکدیک بیٹا چلیں، میری خواہش ہے کہ تی氰同你，我们可以回家一起吃饭。
24,Urdu,Invitation to a Meal,استاد,طالب علم,Medium,Formal,Respectful Acceptance,Negative,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,میں نے دوپہر کا وقت کھانے کے لیے میٹنگ سمجھومیں ہے، اگر
25,Urdu,Invitation to a Meal,ماموں,بھانجی,High,Formal,Deference,Positive,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,میری بیچ میں بھی اس طرح کی صدایاں ہوتی ہیں۔
26,Urdu,Invitation to a Meal,دوست,دوست,Low,Informal,Friendly Refusal,Negative,ڈنر پر چلیں؟,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,بلکہ ڈنر پر چلنے کیلئے آپ کیا کاروبار کرتے ہیں؟
27,Urdu,Invitation to a Meal,پڑوسی,پڑوسی,Medium,Formal,Polite acknowledgment,Neutral,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,میری مادر نے آج شام کو میٹنگ پر دعوت دی۔
28,Urdu,Invitation to a Meal,خالہ,بھانجی,High,Formal,Respectful,Positive,کل کھانے پر آنا۔,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,میں آ رہا ہوں۔
29,Urdu,Invitation to a Meal,دوست,دوست,Low,Formal,Friendly acceptance,Negative,آج باہر کھانا کھاتے ہیں۔,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,میری خواہش ہے آپ کو پاک اور سالم رہنے کی۔
30,Urdu,Invitation to a Meal,بزرگ,نوجوان,High,Formal,Deferential,Positive,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,بھائی، میں نے کچھ بھیٹا نہیں لینا چاہتا۔
31,Urdu,Declining Gifts,بزرگ,نوجوان,High,Formal,Indirect refusal,Neutral,یہ رقم رکھ لو۔,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,رقم کو محفوظ رکھو۔
32,Urdu,Declining Gifts,ساس,بہو,High,Formal,Respectful refusal,Positive,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,لے کر مزید کیا کریں؟
33,Urdu,Declining Gifts,دوست,دوست,Low,Formal,Polite refusal,Neutral,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,میں بہت خوشی sayیں گے، آسان کرتے ہوئے ایک بہतرین چھوٹا
34,Urdu,Declining Gifts,ماموں,بھانجا,High,Formal,Deferential refusal,Neutral,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,تم پرستھ کے ذریعے اس خاندان کا ملک بن سکتے ہیں، لطف کर کے رک
35,Urdu,Declining Gifts,پڑوسی,پڑوسی,Medium,Formal,Face-saving refusal,Negative,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,ایک صمیمی تحفہ ہے، مجبور نہیں لے۔ لطف آگئے۔
36,Urdu,Declining Gifts,استاد,طالب علم,Medium,Formal,Respectful decline,Positive,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب دینا چاہتے ہیں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,ممنون، آپ نے میریلیکانی کتاب دی ہے۔
37,Urdu,Declining Gifts,کزن,کزن,Low,Informal,Soft refusal,Neutral,یار، یہ  تحفہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ اپنے کزن سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,تم نے یاد رکھا، یہی میرے لیے بڑی بات ہے، اتنا تکلف نہ کرتے۔,میں نے اس کو آپ کے لئے مخصوص طور پر بھیتچا، لطف دیں۔
38,Urdu,Declining Gifts,بڑی بہن,چھوٹی بہن,Medium,Formal,Gentle refusal,Positive,یہ اسکارف تمہارے لیے لیا تھا، رکھ لو۔,آپ کی بڑی بہن آپ کو ایک اسکارف تحفے میں دینا چاہتی ہیں۔,آپی، آپ کی محبت اپنی جگہ، لیکن اس کی واقعی ضرورت نہیں تھی۔,میں نے آپ کے لیے ایسے چوڑا اسکارف لینا چاہیے جس کی ط
39,Urdu,Declining Gifts,دوست,دوست,Low,Informal,Polite refusal,Negative,یار، سفر سے تمہارے لیے ایک چیز لایا ہوں۔,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ سفر سے واپسی پر وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,ارے یار، بہت شکریہ، اتنی زحمت کرنے کی ضرورتہیں تھی ۔,میری خواہش یہ ہے کہ آپ کی سفر میں میری ذہنی تعلقات کیلئے ب
40,Urdu,Declining Gifts,سسر,داماد,High,Formal,Respectful refusal,Negative,یہ کچھ رقم رکھ لیجیے، بعد میں کام آئے گی,آپ کے سسرملاقات کے اختتام پر آپ کو کچھ رقم دینا چاہتے ہیں۔,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,ایک لمحے تک صبور رہیں، میں کام کر رہا ہوں۔
41,Urdu,Declining Gifts,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Negative,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,ایک صمیمی تحفہ یہ ہے، مالک نے اسے بھی پناہ دینا چاہا۔
42,Urdu,Declining Gifts,بزرگ,نوجوان,High,Formal,Deference,Negative,یہ کچھ رقم رکھ لو، سفر میں کام آئے گی۔,آپ کے سفر پررخصت ہوتے وقت ایک بزرگ آپ کو کچھ رقم دینا چاہتے ہیں۔,آپ کی دعا ہی میرے لیے  کافی ہے بہت شکریہ اسکی ضرورت نہیں۔,ایسے کمپنیوں میں کیا کام کرنا چاہتے ہیں جس میں رقم کی ض
43,Urdu,Declining Gifts,نند,بھابھی,Medium,Formal,Soft decline,Neutral,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,آپ کی نند آپ کو خاندانی ملاقات کے دوران ایک شال تحفے میں دینا چاہتی ہیں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,میں نے اس شال کا تلاش کیا جس کے لیے آپ کی ضرورت ہے۔
44,Urdu,Declining Gifts,استاد,شاگرد,High,Formal,Respect,Positive,یہ خصوصی انعام تمہارے لیے ہے۔,آپ کے استاد آپ کی کارکردگی سے خوش ہو کر آپ کو انعام دینا چاہتے ہیں۔,سر، آپ کی حوصلہ افزائی ہی میرے لیے بڑی بات ہے۔,آهي، میری کسی تفصیل کی ضرورت نہیں۔
45,Urdu,Declining Gifts,بزرگ خاتون,نوجوان,High,Formal,Respectful restraint,Positive,یہ سویٹر تمہارے لیے بنایا تھا، رکھ لو۔,آپ کو ایک بزرگ خاتون اپنے ہاتھ سے بنا ہوا سویٹردینا چاہتی ہیں۔,دادی جان، آپ نے اپنے ہاتھ سے بنایا، یہی میرے لیے سب سے بڑا تحفہ ہے، اتنی زحمت نہ کرتیں۔,میں نے اس کو بچانے کے لیے رکھا گی۔
46,Urdu,Receiving Gifts,خالہ,بھانجی,Medium,Formal,Modesty,Neutral,یہ تمہارے لیے ایک چھوٹا سا تحفہ ہے۔,آپ اپنی خالہ سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ دیتی ہیں۔,خالہ جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لیے کافی ہے بہت شکریہ۔,میں نے آپ کے لیے کچھ بھیتیچہ ملایا۔
47,Urdu,Receiving Gifts,قریبی دوست,قریبی دوست,Low,Informal,Appreciation with modesty,Negative,یار، یہ تحفہ تمہارے لیے خاص طور پر لیا تھا۔,آپ کا قریبی دوست ملاقات کے دوران آپ کو ایک تحفہ دیتا ہے۔,ارے یار، اس کی کیا ضرورت تھی؟ پھر بھی تم نے یاد رکھا، اچھا لگا۔,میرے لئے بہت خاص ایندہ سمجھنے والی ہے۔
48,Urdu,Receiving Gifts,ساس,بہو,High,Formal,Respectful gratitude,Positive,یہ کپڑے تمہارے لیے لائی ہوں۔,آپ کی ساس گھر میں ملاقات کے دوران آپ کو کپڑوں کا ایک جوڑا تحفے میں دیتی ہیں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,ممنون، آپ نے میرے لئے بہت خوبصورت کام کیا۔
49,Urdu,Receiving Gifts,ماموں,بھانجا,High,Formal,Deference,Positive,یہ تمہارے لیے تحفہ ہے۔,آپ کے ماموں ملاقات کے دوران آپ کو ایک تحفہ دیتے ہیں۔,ماموں جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,میں کسی سے بہر نہیں ممکن۔
50,Urdu,Receiving Gifts,پڑوسی,پڑوسی,Medium,Formal,Grateful acceptance,Negative,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کے پڑوسی ایک خوشی کے موقع پر آپ کے گھر آئے ہیں۔ رخصت ہونے سے پہلے وہ آپ کو ایک تحفہ دیتے ہیں۔,آپ کا آنا ہی کافی تھا، لیکن پھر بھی بہت شکریہ۔,یہ خوبصورت تھکانہ ہے، موندیں آپ نے لیں۔
51,Urdu,Receiving Gifts,استاد,طالب علم,Medium,Formal,Respectful acceptance,Neutral,یہ کتاب رکھ لو۔,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب تحفے میں دیتے ہیں۔,سر، یہ میرے لیے اعزاز ہے، بہت شکریہ۔,ایسے کریں جیسے ایک موبائل کتاب کو رکھنا۔
52,Urdu,Receiving Gifts,کزن,کزن,Low,Formal,Modesty,Negative,یہ تحفہ خاص تمہارے لیے لائی ہوں، رکھ لو۔,آپ اپنے کزن سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ پیش کرتی ہے۔,بہت شکریہ! تم نے اتنی محبت سے دیا ہے تو رکھ لیتی ہوں، ورنہ اس تکلف کی بالکل ضرورت نہیں تھی۔,بس کہ لاءمگر، بہت متحیر ہوں۔
53,Urdu,Receiving Gifts,چچا,بھتیجا,High,Formal,Deference,Neutral,بیٹا، یہ میری طرف سے ایک چھوٹا سا تحفہ ہے، رکھ لو۔,آپ اپنے چچا سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو محبت میں کوئی چیز یا تحفہ پیش کرتے ہیں۔,چچا جان، آپ نے میرے لیے اتنا سوچا، یہ میرے لیے بہت معنی رکھتا ہے۔,بس، بатьا آپ کی طرف سے چھوٹا سا تحفہ ہے، میں اسے رکھ لیا
54,Urdu,Receiving Gifts,دوست,دوست,Low,Informal,Warm appreciation,Positive,یہ تمہارے لیے خاص تحفہ ہے۔,آپ کا دوست ملاقات کے دوران آپ کو ایک تحفہ دیتا ہے۔,یار، تم نے یاد رکھا، یہ میرے لیے واقعی خاص بات ہے۔,یہ آپ کے لئے بہت خاص اور محبوب ہے۔
55,Urdu,Receiving Gifts,خالہ,بھانجا,High,Formal,Modest gratitude,Positive,یہ تمہارے لیے لائی ہوں۔,آپ کی خالہ ملاقات کے دوران آپ کو ایک تحفہ دیتی ہیں۔,خالہ جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ اس شفقت کے لیے بہت شکریہ۔,میں آپ کے لیے کام کر رہا ہوں۔
56,Urdu,Receiving Gifts,سسر,داماد,High,Formal,Respectful gratitude,Negative,یہ تحفہ قبول کریں۔,آپ کے سسر ملاقات کے دوران آپ کو ایک تحفہ پیش کرتے ہیں۔,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، میں شکر گزار ہوں۔,میں نے اسے قبول کر liar۔
57,Urdu,Receiving Gifts,پڑوسی,پڑوسی,Medium,Formal,Appreciation,Neutral,یہ ہماری طرف سے تحفہ ہے۔,آپ کے پڑوسی ملاقات کے دوران آپ کو ایک چھوٹا سا تحفہ پیش کرتے ہیں۔,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,ایک تھانیہ کے لئے مجھے اسے بھیچنے کی ضرورت نہیں، وہاں ک
58,Urdu,Receiving Gifts,استاد,شاگرد,High,Formal,Humility,Neutral,یہ تمہاری محنت کا انعام ہے۔,ایک تعلیمی تقریب میں آپ کے استاد آپ کو اچھی کارکردگی پر انعام دیتے ہیں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے سب سے بڑا اعزاز ہے۔,یہ آپ کی محنت کا م slab ہے۔
59,Urdu,Receiving Gifts,قریبی دوست,قریبی دوست,Low,Informal,Modest thanks,Negative,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,دوست کسی سفر سے واپسی پر پ کو کوئی تحفہ دیتا ہے۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,میری کلیں سے بھی پچاس روپے لے لیں تھے، وہ آسانی سے رکھو۔
60,Urdu,Receiving Gifts,بزرگ,نوجوان,High,Formal,Deferential acceptance,Positive,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,ایک بزرگ سفر سے واپسی پر آپ کے لیے ایک چھوٹا سا تحفہ لاتے ہیں۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,بس کھلao اور میں نے آپ کے لیے بھی لایا ہے۔
