ID,Model,Topic,Power_Distance,Register,Sensitivity,CAS,FTV,Bias,model_Relational_Alignment,model_Indirectness,model_Facesaving,model_Cultural_Appropriateness,model_Directness_Threat,model_Hierarchy_Violation,gold_Relational_Alignment,gold_Indirectness,gold_Facesaving,gold_Cultural_Appropriateness,gold_Directness_Threat,gold_Hierarchy_Violation
6,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
6,Qalb-1.0-8B-Instruct,,Medium,,,0.375,0.125,0.625,1.0,1.0,1.0,1.0,0.0,1.0,3,3.5,3.5,4.0,0.0,0.0
7,GPT-4o-mini,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
7,Meta-Llama-3.1-8B-Instruct,,High,,,0.1875,0.0,0.8125,1.0,1.0,1.0,0.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
7,Qalb-1.0-8B-Instruct,,High,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
7,Qwen2.5-7B-Instruct,,High,,,0.25,0.125,0.75,1.0,1.0,1.0,1.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
8,Qwen2.5-7B-Instruct,,Medium,,,0.5938,0.0,0.4062,2.0,2.0,2.0,1.0,0.0,0.0,3,3.0,3.5,4.0,0.0,0.0
8,GPT-4o-mini,,Medium,,,0.9062,0.0,0.0938,3.0,3.0,3.0,3.0,0.0,0.0,3,3.0,3.5,4.0,0.0,0.0
8,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.9062,0.0,0.0938,3.0,3.0,3.0,3.0,0.0,0.0,3,3.0,3.5,4.0,0.0,0.0
8,Qalb-1.0-8B-Instruct,,Medium,,,0.6562,0.0,0.3438,2.0,2.0,2.0,2.0,0.0,0.0,3,3.0,3.5,4.0,0.0,0.0
9,GPT-4o-mini,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,3,4.0,4.0,4.0,0.0,0.0
9,Qalb-1.0-8B-Instruct,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,3,4.0,4.0,4.0,0.0,0.0
9,Meta-Llama-3.1-8B-Instruct,,Low,,,0.5625,0.0,0.4375,2.0,2.0,2.0,2.0,0.0,0.0,3,4.0,4.0,4.0,0.0,0.0
9,Qwen2.5-7B-Instruct,,Low,,,0.3125,0.0,0.6875,1.0,1.0,1.0,1.0,0.0,0.0,3,4.0,4.0,4.0,0.0,0.0
10,Qwen2.5-7B-Instruct,,High,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
10,GPT-4o-mini,,High,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
10,Meta-Llama-3.1-8B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,0.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
10,Qalb-1.0-8B-Instruct,,High,,,0.375,0.0,0.625,1.0,1.0,1.0,1.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
11,GPT-4o-mini,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
11,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
11,Qalb-1.0-8B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
11,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
12,Qwen2.5-7B-Instruct,,Low,,,0.8438,0.0,0.1562,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
12,GPT-4o-mini,,Low,,,0.9062,0.0,0.0938,4.0,4.0,4.0,4.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
12,Meta-Llama-3.1-8B-Instruct,,Low,,,0.3438,0.0,0.6562,1.0,1.0,1.0,1.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
12,Qalb-1.0-8B-Instruct,,Low,,,0.4688,0.125,0.5312,2.0,2.0,2.0,0.0,0.0,1.0,3,3.5,4.0,4.0,0.0,0.0
13,Meta-Llama-3.1-8B-Instruct,,High,,,0.5,0.125,0.5,2.0,2.0,2.0,2.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
13,Qwen2.5-7B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
13,Qalb-1.0-8B-Instruct,,High,,,0.25,0.125,0.75,1.0,1.0,1.0,1.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
13,GPT-4o-mini,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
14,GPT-4o-mini,,Medium,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
14,Qwen2.5-7B-Instruct,,Medium,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
14,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.1875,0.125,0.8125,1.0,1.0,1.0,0.0,1.0,0.0,4,4.0,4.0,4.0,0.0,0.0
14,Qalb-1.0-8B-Instruct,,Medium,,,0.4375,0.0,0.5625,2.0,2.0,2.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
15,Meta-Llama-3.1-8B-Instruct,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
15,Qalb-1.0-8B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
15,GPT-4o-mini,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
15,Qwen2.5-7B-Instruct,,High,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
16,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
16,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
16,Qalb-1.0-8B-Instruct,,Medium,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
16,GPT-4o-mini,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
17,GPT-4o-mini,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
17,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
17,Qwen2.5-7B-Instruct,,Medium,,,0.1875,0.0,0.8125,1.0,1.0,1.0,0.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
17,Qalb-1.0-8B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
18,Qalb-1.0-8B-Instruct,,High,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
18,Qwen2.5-7B-Instruct,,High,,,0.2812,0.0,0.7188,1.0,1.0,1.0,1.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
18,Meta-Llama-3.1-8B-Instruct,,High,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
18,GPT-4o-mini,,High,,,0.9688,0.0,0.0312,4.0,4.0,4.0,4.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
19,Qwen2.5-7B-Instruct,,Low,,,0.5625,0.0,0.4375,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,3.5,4.0,0.0,0.0
19,Meta-Llama-3.1-8B-Instruct,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,3.5,4.0,0.0,0.0
19,GPT-4o-mini,,Low,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,4,3.5,3.5,4.0,0.0,0.0
19,Qalb-1.0-8B-Instruct,,Low,,,0.5625,0.0,0.4375,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,3.5,4.0,0.0,0.0
20,GPT-4o-mini,,High,,,0.7812,0.125,0.2188,3.0,3.0,3.0,3.0,0.0,1.0,4,3.5,4.0,4.0,0.0,0.0
20,Qwen2.5-7B-Instruct,,High,,,0.5312,0.125,0.4688,2.0,2.0,2.0,2.0,0.0,1.0,4,3.5,4.0,4.0,0.0,0.0
20,Meta-Llama-3.1-8B-Instruct,,High,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
20,Qalb-1.0-8B-Instruct,,High,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
21,GPT-4o-mini,,Low,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
21,Qalb-1.0-8B-Instruct,,Low,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
21,Qwen2.5-7B-Instruct,,Low,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
21,Meta-Llama-3.1-8B-Instruct,,Low,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
22,Qalb-1.0-8B-Instruct,,Medium,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
22,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.5312,0.125,0.4688,2.0,2.0,2.0,2.0,0.0,1.0,4,3.5,4.0,4.0,0.0,0.0
22,GPT-4o-mini,,Medium,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
22,Qwen2.5-7B-Instruct,,Medium,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
23,Qalb-1.0-8B-Instruct,,Low,,,0.5625,0.0,0.4375,2.0,2.0,2.0,1.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
23,Qwen2.5-7B-Instruct,,Low,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
23,GPT-4o-mini,,Low,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
23,Meta-Llama-3.1-8B-Instruct,,Low,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
24,Qalb-1.0-8B-Instruct,,Medium,,,0.5938,0.0,0.4062,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
24,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.5938,0.0,0.4062,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
24,Qwen2.5-7B-Instruct,,Medium,,,0.5938,0.0,0.4062,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
24,GPT-4o-mini,,Medium,,,0.9062,0.0,0.0938,4.0,4.0,4.0,4.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
25,Meta-Llama-3.1-8B-Instruct,,High,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
25,GPT-4o-mini,,High,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
25,Qwen2.5-7B-Instruct,,High,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
25,Qalb-1.0-8B-Instruct,,High,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
26,Qalb-1.0-8B-Instruct,,Low,,,0.4375,0.0,0.5625,2.0,2.0,2.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
26,GPT-4o-mini,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
26,Qwen2.5-7B-Instruct,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
26,Meta-Llama-3.1-8B-Instruct,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
27,GPT-4o-mini,,Medium,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
27,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
27,Qwen2.5-7B-Instruct,,Medium,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
27,Qalb-1.0-8B-Instruct,,Medium,,,0.4688,0.0,0.5312,2.0,2.0,2.0,1.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
28,Qwen2.5-7B-Instruct,,High,,,0.5938,0.0,0.4062,2.0,2.0,2.0,2.0,0.0,0.0,4,2.5,4.0,4.0,0.0,0.0
28,Qalb-1.0-8B-Instruct,,High,,,0.5312,0.125,0.4688,2.0,2.0,2.0,1.0,0.0,1.0,4,2.5,4.0,4.0,0.0,0.0
28,Meta-Llama-3.1-8B-Instruct,,High,,,0.5938,0.125,0.4062,2.0,2.0,2.0,2.0,0.0,1.0,4,2.5,4.0,4.0,0.0,0.0
28,GPT-4o-mini,,High,,,0.9062,0.0,0.0938,4.0,4.0,4.0,4.0,0.0,0.0,4,2.5,4.0,4.0,0.0,0.0
29,Qalb-1.0-8B-Instruct,,Low,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
29,GPT-4o-mini,,Low,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
29,Qwen2.5-7B-Instruct,,Low,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
29,Meta-Llama-3.1-8B-Instruct,,Low,,,0.4688,0.0,0.5312,2.0,2.0,2.0,1.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
30,Qalb-1.0-8B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
30,Meta-Llama-3.1-8B-Instruct,,High,,,0.1875,0.0,0.8125,1.0,1.0,1.0,0.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
30,Qwen2.5-7B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
30,GPT-4o-mini,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
31,GPT-4o-mini,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
31,Qalb-1.0-8B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
31,Meta-Llama-3.1-8B-Instruct,,High,,,0.375,0.0,0.625,2.0,2.0,2.0,0.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
31,Qwen2.5-7B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
32,GPT-4o-mini,,High,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
32,Meta-Llama-3.1-8B-Instruct,,High,,,0.5312,0.125,0.4688,2.0,2.0,2.0,2.0,0.0,1.0,4,3.5,4.0,4.0,0.0,0.0
32,Qwen2.5-7B-Instruct,,High,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
32,Qalb-1.0-8B-Instruct,,High,,,0.5312,0.125,0.4688,2.0,2.0,2.0,2.0,0.0,1.0,4,3.5,4.0,4.0,0.0,0.0
33,GPT-4o-mini,,Low,,,0.9688,0.0,0.0312,4.0,4.0,4.0,4.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
33,Meta-Llama-3.1-8B-Instruct,,Low,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
33,Qwen2.5-7B-Instruct,,Low,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
33,Qalb-1.0-8B-Instruct,,Low,,,0.2812,0.0,0.7188,1.0,1.0,1.0,1.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
34,GPT-4o-mini,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
34,Meta-Llama-3.1-8B-Instruct,,High,,,0.375,0.0,0.625,2.0,2.0,2.0,0.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
34,Qwen2.5-7B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
34,Qalb-1.0-8B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
35,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
35,GPT-4o-mini,,Medium,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
35,Qalb-1.0-8B-Instruct,,Medium,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
35,Qwen2.5-7B-Instruct,,Medium,,,0.2812,0.0,0.7188,1.0,1.0,1.0,1.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
36,Qwen2.5-7B-Instruct,,Medium,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
36,GPT-4o-mini,,Medium,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
36,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.7812,0.0,0.2188,3.0,3.0,3.0,3.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
36,Qalb-1.0-8B-Instruct,,Medium,,,0.5312,0.0,0.4688,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,4.0,4.0,0.0,0.0
37,GPT-4o-mini,,Low,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
37,Qalb-1.0-8B-Instruct,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
37,Qwen2.5-7B-Instruct,,Low,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
37,Meta-Llama-3.1-8B-Instruct,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
38,Qalb-1.0-8B-Instruct,,Medium,,,0.5312,0.0,0.4688,2.0,2.0,2.0,1.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
38,Qwen2.5-7B-Instruct,,Medium,,,0.5938,0.0,0.4062,2.0,2.0,2.0,2.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
38,GPT-4o-mini,,Medium,,,0.8438,0.0,0.1562,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
38,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.8438,0.0,0.1562,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
39,GPT-4o-mini,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
39,Qwen2.5-7B-Instruct,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
39,Meta-Llama-3.1-8B-Instruct,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
39,Qalb-1.0-8B-Instruct,,Low,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
40,GPT-4o-mini,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
40,Qalb-1.0-8B-Instruct,,High,,,0.1875,0.125,0.8125,1.0,1.0,1.0,0.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
40,Qwen2.5-7B-Instruct,,High,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
40,Meta-Llama-3.1-8B-Instruct,,High,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
41,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,1.0,0.0,0.0,4,3.5,3.5,4.0,0.0,0.0
41,GPT-4o-mini,,Medium,,,0.5625,0.0,0.4375,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,3.5,4.0,0.0,0.0
41,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.5625,0.0,0.4375,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,3.5,4.0,0.0,0.0
41,Qalb-1.0-8B-Instruct,,Medium,,,0.5625,0.0,0.4375,2.0,2.0,2.0,2.0,0.0,0.0,4,3.5,3.5,4.0,0.0,0.0
