ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,1,1,1,1,0,0,جی، اگر ہی ٹھیک ہے۔ آپ کی بہت مہربانی، مگر اب تک می,1,1,1,1,0,0,سر، آپ کی مہربانی اپنی جگہ۔ آئندہ ضرورت پڑی تو ضرور آپ سے مدعوت۔,2,2,2,2,0,0,بہت شکریہ! آپ کی پیش کش قبول کرنے کی ضرورت نہیں، میں بس یہی حاضر ر�,2,2,2,2,0,0
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,2,2,2,1,0,0,بہت شکریہ یار، تمہاری بہت مہربانی۔,2,2,2,1,0,0,بہت شکریہ یار، تمہاری بہت مہربانی۔ میں ساتھ چلا جاؤں گ,1,2,2,1,0,0,بہت مبارک ہو۔ آئندہ مزید ایسے موقع ملنے پر ضرور جم لوں گا۔,2,2,2,2,0,0
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,2,2,2,2,0,1,بہت مبارک ہو امّی، اب واقعی کافی کھا چکا ہوں۔ آپ کی فکر کرنے کا,2,2,2,2,0,1,جی امی، اب پھر کھا لو۔ آج رات تمہاری فکر کرتی ہوں گی۔,1,1,1,1,0,1,جی دادی، تمہاری بہت مہربانی، مگر میں اپنے کام کا وقت چاہتا ت,3,3,3,3,0,0
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,2,1,2,1,0,0,بس، تمہاری بہت مہربانی، چلوں دوبارہ ڈال لوں گا۔,2,1,2,1,0,0,جی، پلیز ڈाल دیتے ہو۔,1,1,1,1,0,0,جی، معذرت چاہتی ہوں۔ ابھی میں نے زحمت کی تھی، ابھی دوبار,2,2,2,2,0,0
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,3,3,3,3,0,0,بھائی، آپ کی مہربانی اپنی جگہ، مگر میں سنبھال لوں گا، آپ فکر نہ کری�,3,3,3,3,0,0,چچا جان، میں آپ کی بہت شکر گزار ہوں۔ آپ کی پیشکش قبول کرلیجیے، می�,1,2,2,1,0,0,چچا جان، میں نے یاران کے سب کی ضرورت کی وجہ سے دل کا مبارک فک,2,2,2,2,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,2,2,2,2,0,0,بس، میں ہی آؤں گا، آپ فکر نہ کریں!,2,2,2,2,0,0,بہت مبارک ہو۔ ان شاء اللہ میں آ گیا ہوں۔,3,3,3,3,0,0,بہت شکریہ یار، تمہاری بہت مہربانی۔ آئندہ موقع پر ضرور سنبھال لو,2,2,2,2,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,1,1,1,1,0,0,بہت شکریہ! میں آپ کی دعوت قبول کر لوں گا۔ آپ کی بہت مہربانی۔,1,1,1,1,0,0,بہت شک، ان شاء اللہ آ سکوں گا۔,3,3,3,3,0,0,آنے والے شام میں بہت نمٹ لوں گا، اپنی مہربانی کی جاری رکھیج,3,3,3,3,0,0
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,1,1,1,1,0,0,بھائی، تم آ سکو، اتوار میں ہمارے گھر کھانے کا بندوبستalready ہو گی,1,1,1,1,0,0,بہت شکریہ چچا! یار، تمہاری بہت مبارک ہو۔ میں یاری سے,2,2,2,2,0,1,چچا جان، آپ کی بہت مہربانی، میں ضرور آؤں گا۔ اسکول کی وجہ سے,3,3,3,3,0,0
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,2,2,2,2,0,0,بہت شکریہ یار! تمہاری بہت مبارک حیاتیہ۔,2,2,2,2,0,0,بہت شکریہ یار، میں ضرور تمہاری کمپنی میں ہوں گا۔ آپ کی ب�,2,2,2,2,0,0,بہت مبارک ہو۔ ان شاء اللہ میں آ سکوں گا۔,3,3,3,3,0,0
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,2,2,2,2,0,1,بہت مبارک ہو۔ ان شاء اللہ میں آ سکوں گا۔,2,2,2,2,0,1,بس، میں ہمیشہ معذرت چاہتے تھے، میں آج بھی کھانے کے ل,3,2,3,3,0,0,سسر، آپ کی بہت مہربانی، مگر میں معاملہ یہی چھوڑ دوں گا۔,2,2,2,1,0,0
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,2,2,2,2,0,0,"بہت شکریہ یار، میں واقعی سنے گی۔ آپ کی بہت مہربانی۔
سر، آپ کی ب",2,2,2,2,0,0,بہت مبارک ہو۔ ان شاء اللہ میں آ سکوں گا۔,3,3,3,3,0,0,بہت مبارک ہو۔ آئے، میں بھی ڈنر کر لوں گا۔,2,2,2,1,0,0
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,1,1,1,1,0,0,بہت مبارک ہو۔ انشا اللہ آؤں گا۔,1,1,1,1,0,0,"بہت شکریہ یار، میں ضرور آؤں گا۔ آپ کی بہت مہربانی۔
سر،",3,3,3,3,0,0,بہت مبارک ہو! آئیے، چلو یار، ہمیشہ آپ کی ہی جگہ۔,3,3,3,3,0,0
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,2,2,2,2,0,0,بہت مبارک ہو۔ ان شاء اللہ آ گیا ہوں گا، اب آرام سے کھا لو,2,2,2,2,0,0,بہت شکریہ یار، تمہاری بہت مبارکہ اہمیت۔,3,3,3,3,0,0,"بہت شکریہ یار، میں سنکر آؤں گا۔ آپ کی بہت مہربانی۔
سر،",1,1,2,1,0,0
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,2,2,2,2,0,0,بہت شک، سر! آ جاؤں گا۔,2,2,2,2,0,0,سر، میں معذرت چاہتا ہوں، میں اس موقع پر نہیں آ سکوں گا�,2,2,2,2,0,0,بہت مبارک ہو۔ اگر میں پہلے لوٹ لوں تھوڑی دلوں تک۔,0,1,1,0,0,0
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,2,3,3,2,0,1,جی ڈادی، میں بھول گئی تھی۔ ہمیشہ ہی آؤں گا، اپن,2,3,3,2,0,1,ماموں، آپ کی بہت مہربانی، میں ہفتے کے دن ضرور آؤں گا۔,3,3,3,3,0,0,مامو جان، آپ کی بہت مہربانی۔ ان شاء اللہ ہفتے میں آؤں گی، آپکا,3,3,3,3,0,0
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,1,1,1,1,0,0,"بہت شکریہ یار، میں ساتھ آؤں گا۔ آپ کی بہت مہربانی۔
سر",1,1,1,1,0,0,بہت مبارک ہو، میں آ گیا ہوں۔,2,2,2,2,0,0,جی، میں بس چلاوں گا۔,2,2,2,2,0,0
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,3,3,3,3,0,0,بہت مبارک ہو۔ ان شاء اللہ میں آؤں گا۔,3,3,3,3,0,0,شکریہ یار! آج شام میں گھر جاؤں گا، سب مل کر کھانے کا,2,2,2,2,0,0,بہت شکریہ یار، تمہاری بہت مہربانی۔ آئندہ کسی موقع پر ضرور آؤں,2,1,2,1,0,0
28,خالہ,بھانجی,High,آپ اپنی خالہ سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو اگلے دن کھانے کی دعوت دیتی ہیں۔,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,3,3,3,3,0,0,بہت مبارک ہو۔ ان شاء اللہ میں آؤں گا۔,3,3,3,3,0,0,بہت مبارک ہو! آئیے، ان شاء اللہ میں بہت زودی آؤں گا۔,2,2,2,2,0,0,خالہ جان، آپ کی بہت مہربانی۔ میں definitely آؤں گا۔ آپ کی بہت مبارک,3,2,3,3,0,0
29,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو باہر کھانا کھانے کی تجویز دیتا ہے۔,آج باہر کھانا کھاتے ہیں۔,یہ اچھی تجویز ہے، ساتھ کچھ وقت بھی گزار لیں گے۔,2,2,2,2,0,0,بہت خبزی! آئندہ کی جاری رہی۔,2,2,2,2,0,0,بہتر، پہلے آئندہ میں سنبھال لوں گا۔,2,2,2,2,0,0,بہت شکریہ یار، تمہاری تجویز سن کر بہت اچھا لگا۔ آج ہم مل,1,1,1,1,0,0
30,بزرگ,نوجوان,High,آپ ایک سماجی موقع پر بزرگ سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ کھانے کی دعوت دیتے ہیں۔,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,2,2,2,2,0,0,شکریہ بابا، تمہاری بہت مہربانی، میں بھی آج ابھی سنبھال لوں,2,2,2,2,0,0,بزرگ جان، آپ کی مہربانی اپنی جگہ ہے۔ آج میں آپ کی میزبانی معاملہ ک,2,2,2,2,0,0,سر، میں سن کر بہت شکر گزار ہوں۔ آپ کی بہت مہربانی، میں ضرور,1,1,1,0,0,0
31,بزرگ,نوجوان,High,آپ ایک بزرگ سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,1,1,1,1,0,1,سر، آپ کی بہت مہربانی۔ میں سکریپ لیگا دوں گا، آپ فکر نہ کریں۔,1,1,1,1,0,1,بہت شکریہ۔ آپ کی مہربانی اپنی جگہ۔,2,2,2,2,0,1,جی، آپ کی بہت مہربانی، آئندہ کا ہی ڈال لو۔,2,2,2,1,1,1
32,ساس,بہو,High,آپ اپنی ساس سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو چوڑیاں تحفے میں دینے کی پیشکش کرتی ہیں۔,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,2,2,2,2,0,1,سسر، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ مجھ سے زیاد�,2,2,2,2,0,1,جی دادی، بس لوں جی، آپ کی تحفہ کی ضرورت نہیں، ان کو آپ فکر ن,3,3,3,3,0,1,ساسی جان، آپ کی رہنمائی میرے لیے بہت اہم ہے۔ آج سے می�,2,2,2,2,0,1
33,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک  تحفے دینا چاہتا ہے۔,یار، یہ چھوٹا سا تحفہ تمہارے لیے ہے۔,تم نے یاد رکھا، یہی کافی ہے، اتنا تکلف کیوں کیا؟,3,3,3,3,0,0,بہت شکریہ یار، اس کی بہت ضرورت تھی۔ تمہاری بہت مہربانی۔,3,3,3,3,0,0,ارے یار، تمہاری بہت مہربانی۔,2,3,3,2,0,0,شکریہ یار! آپ کی بہت مہربانی۔,3,3,3,3,0,0
34,ماموں,بھانجا,High,خاندانی گفتگو کے دوران آپ کے ماموں آپ کو ایک یادگاری انگوٹھی دینا چاہتے ہیں۔,یہ انگوٹھی خاندان کی نشانی ہے، تم رکھ لو۔,ماموں جان، یہ آپ کے پاس ہی زیادہ مناسب لگتی ہے، آپ نے میرے بارے میں سوچا یہی میرے لیے اعزاز ہے۔,2,2,2,2,0,0,ماموں، اس کی بہت مہربانی، میں سکرٹ میں رکھ لوں گا۔ ان شاء الل,2,2,2,2,0,0,سر، ماموں جان، میں رکھ لوں گا۔,2,2,2,1,0,0,بہت شکریہ! یار، یہ اپنی ماموں کی تجربہ کی ضرورت پڑی،,1,1,1,0,0,0
35,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,2,2,2,2,0,0,شکریہ! آپ کی بہت مہربانی۔,2,2,2,2,0,0,سر، اس سب کی ضرورت نہیں، بس آپ کی بہت مہربانی اپنی جگہ۔ آپ زحمت ن�,4,4,4,4,0,0,بہت شکریہ۔,0,0,1,0,0,0
36,استاد,طالب علم,Medium,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب دینا چاہتے ہیں۔,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,3,3,3,3,0,0,بہت شکریہ سر! آپ کی رہنمائی میرے لیے بہت اہم ہے۔,3,3,3,3,0,0,شکریہ سار! یہ اپنی مہربانی کی ضرورت نہیں، بلکہ اپنی تھ,3,2,3,3,0,0,سر، اس سب کی ضرورت نہیں، بس آپ کی رہنمائی ہی میرے لیے کافی ہے,2,2,2,2,0,0
37,کزن,کزن,Low,آپ اپنے کزن سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,یار، یہ  تحفہ تمہارے لیے لایا ہوں، رکھ لو۔,تم نے یاد رکھا، یہی میرے لیے بڑی بات ہے، اتنا تکلف نہ کرتے۔,2,2,2,2,0,0,شکریہ یار، یہ سب کرنے کا بہت شکریہ۔,2,2,2,2,0,0,سر، اس کی ضرورت نہیں، آپ زحمت نہ کریں۔ آپ کی بہت مہربانی، شکری�,3,3,3,3,0,0,بھائی، تمہاری بہت مہربانی۔,3,3,3,3,0,0
38,بڑی بہن,چھوٹی بہن,Medium,آپ کی بڑی بہن آپ کو ایک اسکارف تحفے میں دینا چاہتی ہیں۔,یہ اسکارف تمہارے لیے لیا تھا، رکھ لو۔,آپی، آپ کی محبت اپنی جگہ، لیکن اس کی واقعی ضرورت نہیں تھی۔,2,2,2,1,0,1,بہن جان، تمہاری بہت مہربانی۔,2,2,2,1,0,1,بہو، آپ کی بہت مہربانی۔ اسکراف لے لو، میں سنبھال لوں گا۔,3,3,3,3,0,0,بہت شکریہ! یہ سب کی ضرورت نہیں، ان کا میرے لیے دیجیے۔,2,2,2,2,0,0
39,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ سفر سے واپسی پر وہ آپ کو ایک تحفہ دینا چاہتا ہے۔,یار، سفر سے تمہارے لیے ایک چیز لایا ہوں۔,ارے یار، بہت شکریہ، اتنی زحمت کرنے کی ضرورتہیں تھی ۔,2,2,2,2,0,0,بھائی، تم آ گئے، میرے لیے یہی یہی کافی تھا۔,2,2,2,2,0,0,بہت شکریہ! تمہاری بہت مہربانی۔,2,2,2,2,0,0,بہت شکریہ یار، اس کے لیے دل سے تمہارا بہت شکریہ۔ چلو، اب,1,1,1,1,0,0
